date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024","1,208.66","1,227.44","1,199.68","1,215.76","1,215.76",0.75%,"457,500"
"Nov 22, 2024","1,202.35","1,207.47","1,195.38","1,206.65","1,206.65",1.02%,"206,717"
"Nov 21, 2024","1,182.67","1,199.44","1,173.28","1,194.41","1,194.41",1.35%,"156,996"
"Nov 20, 2024","1,172.00","1,179.47","1,162.02","1,178.45","1,178.45",0.54%,"143,439"
"Nov 19, 2024","1,159.57","1,177.43","1,159.57","1,172.07","1,172.07",-0.01%,"138,531"
"Nov 18, 2024","1,181.60","1,185.92","1,167.70","1,172.13","1,172.13",-0.53%,"191,937"
"Nov 15, 2024","1,174.01","1,179.29","1,168.82","1,178.33","1,178.33",0.20%,"232,113"
"Nov 14, 2024","1,198.52","1,200.00","1,166.26","1,176.01","1,176.01",-2.16%,"393,274"
"Nov 13, 2024","1,207.21","1,218.63","1,198.32","1,202.01","1,202.01",-0.52%,"186,056"
"Nov 12, 2024","1,220.07","1,222.34","1,204.56","1,208.34","1,208.34",-1.03%,"191,955"
"Nov 11, 2024","1,207.60","1,227.66","1,207.60","1,220.93","1,220.93",1.55%,"223,873"
"Nov 8, 2024","1,188.00","1,210.27","1,181.11","1,202.35","1,202.35",1.13%,"287,239"
"Nov 7, 2024","1,193.40","1,197.19","1,179.73","1,188.95","1,186.93",-0.50%,"264,071"
"Nov 6, 2024","1,164.43","1,199.00","1,150.00","1,194.96","1,192.93",6.50%,"399,191"
"Nov 5, 2024","1,095.02","1,122.78","1,095.02","1,122.02","1,120.11",2.40%,"171,582"
"Nov 4, 2024","1,107.91","1,107.91","1,094.06","1,095.68","1,093.82",-0.85%,"153,651"
"Nov 1, 2024","1,111.51","1,117.33","1,101.48","1,105.07","1,103.19",-0.38%,"248,255"
"Oct 31, 2024","1,128.56","1,130.01","1,091.19","1,109.23","1,107.34",0.90%,"490,514"
"Oct 30, 2024","1,100.04","1,112.88","1,097.05","1,099.34","1,097.47",0.09%,"292,539"
"Oct 29, 2024","1,100.52","1,107.58","1,095.03","1,098.35","1,096.48",-0.52%,"191,468"
"Oct 28, 2024","1,101.03","1,107.50","1,094.42","1,104.13","1,102.25",1.21%,"186,312"
"Oct 25, 2024","1,083.27","1,098.72","1,083.27","1,090.94","1,089.08",0.81%,"169,712"
"Oct 24, 2024","1,090.48","1,093.04","1,081.47","1,082.21","1,080.37",-0.94%,"148,919"
"Oct 23, 2024","1,091.38","1,097.73","1,085.68","1,092.53","1,090.67",-0.58%,"100,120"
"Oct 22, 2024","1,118.85","1,118.85","1,093.56","1,098.93","1,097.06",-1.91%,"243,003"
"Oct 21, 2024","1,129.82","1,129.92","1,111.04","1,120.36","1,118.45",-0.59%,"153,504"
