date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",320.33,327.47,319.49,325.62,325.62,0.21%,"2,688,415"
"Nov 22, 2024",328.51,329.65,320.08,324.93,324.93,-2.20%,"2,133,442"
"Nov 21, 2024",327.17,332.81,320.17,332.24,332.24,-0.23%,"2,322,055"
"Nov 20, 2024",335.61,335.61,327.88,333.00,333.00,-0.63%,"1,510,462"
"Nov 19, 2024",334.35,337.00,330.64,335.11,335.11,-0.22%,"1,173,179"
"Nov 18, 2024",342.68,343.28,332.89,335.85,335.85,-2.07%,"1,496,254"
"Nov 15, 2024",345.41,345.41,335.16,342.96,342.96,-0.74%,"1,863,478"
"Nov 14, 2024",349.82,360.18,345.30,345.51,345.51,-1.09%,"1,835,708"
"Nov 13, 2024",350.42,352.00,347.28,349.32,349.32,-0.35%,"1,433,131"
"Nov 12, 2024",357.71,358.15,350.32,350.53,350.53,-2.08%,"1,416,177"
"Nov 11, 2024",356.54,360.48,354.58,357.99,357.99,1.08%,"909,712"
"Nov 8, 2024",357.08,358.71,351.92,354.16,354.16,-0.53%,"1,252,655"
"Nov 7, 2024",348.26,356.84,345.83,356.03,356.03,2.09%,"1,670,895"
"Nov 6, 2024",349.26,357.73,345.89,348.75,348.75,-4.88%,"3,443,852"
"Nov 5, 2024",363.00,367.25,362.75,366.66,366.66,0.96%,"1,000,058"
"Nov 4, 2024",357.85,368.41,357.61,363.16,363.16,1.67%,"1,547,717"
"Nov 1, 2024",360.52,360.88,355.56,357.19,357.19,-0.43%,"1,317,726"
"Oct 31, 2024",358.00,361.40,357.26,358.74,358.74,-0.60%,"1,188,214"
"Oct 30, 2024",359.81,364.13,358.97,360.92,360.92,0.07%,"1,266,664"
"Oct 29, 2024",357.00,361.90,355.27,360.67,360.67,1.14%,"1,640,148"
"Oct 28, 2024",363.50,367.83,356.50,356.59,356.59,-1.91%,"1,969,859"
"Oct 25, 2024",370.00,371.00,357.03,363.55,363.55,-8.86%,"4,263,823"
"Oct 24, 2024",405.57,408.51,394.12,398.90,398.90,-2.71%,"2,224,324"
"Oct 23, 2024",408.18,410.79,406.33,410.03,410.03,0.46%,"905,461"
"Oct 22, 2024",408.07,411.36,405.15,408.17,408.17,-0.63%,"976,741"
"Oct 21, 2024",414.18,415.98,410.57,410.76,410.76,-1.15%,"962,036"
"Oct 18, 2024",406.46,417.14,404.75,415.54,415.54,2.23%,"1,093,996"
"Oct 17, 2024",406.73,410.51,404.12,406.48,406.48,-0.67%,"1,109,839"
"Oct 16, 2024",405.00,416.72,403.24,409.23,409.23,1.99%,"1,769,032"
"Oct 15, 2024",397.28,411.87,397.28,401.26,401.26,1.38%,"1,602,874"
"Oct 14, 2024",394.61,397.99,393.20,395.78,395.78,0.31%,"865,382"
"Oct 11, 2024",391.05,395.75,390.04,394.54,394.54,1.88%,"754,972"
"Oct 10, 2024",386.00,388.41,383.14,387.25,387.25,0.23%,"956,863"
"Oct 9, 2024",378.48,386.66,376.03,386.36,386.36,2.06%,"1,435,327"
"Oct 8, 2024",382.70,385.63,370.46,378.58,378.58,-1.03%,"1,893,747"
"Oct 7, 2024",392.21,393.68,381.62,382.53,382.53,-2.93%,"1,641,741"
"Oct 4, 2024",394.34,395.34,390.40,394.07,394.07,0.41%,"787,871"
"Oct 3, 2024",402.91,402.91,390.60,392.46,392.46,-2.82%,"932,553"
"Oct 2, 2024",404.36,407.84,402.55,403.85,403.85,-0.39%,"999,642"
"Oct 1, 2024",405.71,407.32,401.87,405.45,405.45,-0.24%,"852,064"
"Sep 30, 2024",403.15,407.09,396.00,406.43,406.43,0.78%,"910,759"
"Sep 27, 2024",404.37,405.43,396.57,403.28,403.28,-0.14%,"823,099"
"Sep 26, 2024",404.33,406.71,400.61,403.86,403.86,-0.31%,"857,776"
"Sep 25, 2024",403.62,406.33,401.64,405.11,405.11,0.82%,"824,625"
"Sep 24, 2024",403.86,405.99,400.61,401.80,401.80,-0.96%,"1,000,520"
"Sep 23, 2024",406.28,409.42,404.23,405.70,405.70,0.26%,"957,870"
"Sep 20, 2024",402.41,405.70,398.33,404.66,404.66,0.28%,"3,447,744"
"Sep 19, 2024",402.85,404.65,397.81,403.52,403.52,0.91%,"938,095"
"Sep 18, 2024",397.45,403.76,395.19,399.89,399.89,0.60%,"936,097"
"Sep 17, 2024",403.52,404.90,396.07,397.50,397.50,-1.47%,"1,394,610"
"Sep 16, 2024",397.00,404.33,395.72,403.43,403.43,2.22%,"922,870"
"Sep 13, 2024",390.93,395.83,390.93,394.68,394.04,0.77%,"876,337"
"Sep 12, 2024",385.42,392.90,385.42,391.67,391.03,0.78%,"1,191,748"
"Sep 11, 2024",384.85,398.25,384.74,388.65,388.02,0.57%,"1,823,903"
"Sep 10, 2024",385.95,389.31,384.95,386.43,385.80,0.38%,"912,010"
"Sep 9, 2024",390.15,390.15,379.26,384.95,384.32,-0.78%,"1,522,618"
"Sep 6, 2024",399.00,403.05,386.78,387.98,387.35,-2.46%,"2,248,803"
"Sep 5, 2024",393.77,398.63,391.70,397.75,397.10,0.87%,"903,558"
"Sep 4, 2024",396.69,397.16,392.12,394.30,393.66,-0.39%,"828,804"
"Sep 3, 2024",396.00,397.73,393.92,395.83,395.18,0.06%,"930,147"
"Aug 30, 2024",391.86,395.91,390.26,395.59,394.94,0.71%,"904,652"
"Aug 29, 2024",392.00,394.09,387.98,392.79,392.15,0.67%,"914,990"
"Aug 28, 2024",390.88,392.00,388.26,390.18,389.54,-,"591,975"
"Aug 27, 2024",388.86,391.88,387.57,390.18,389.54,0.43%,"762,230"
"Aug 26, 2024",389.37,391.34,387.62,388.50,387.87,-0.07%,"929,492"
"Aug 23, 2024",386.58,388.82,383.85,388.78,388.15,1.48%,"795,383"
"Aug 22, 2024",378.80,383.87,378.80,383.12,382.49,1.71%,"979,207"
"Aug 21, 2024",375.17,379.52,374.49,376.67,376.06,0.36%,"721,932"
"Aug 20, 2024",375.02,377.88,373.59,375.31,374.70,0.29%,"688,754"
"Aug 19, 2024",373.77,375.81,372.34,374.21,373.60,0.12%,"515,451"
"Aug 16, 2024",372.12,375.33,371.33,373.77,373.16,0.51%,"734,590"
"Aug 15, 2024",374.89,375.64,368.91,371.89,371.28,0.08%,"773,146"
"Aug 14, 2024",370.00,374.71,369.85,371.58,370.97,0.74%,"1,023,115"
"Aug 13, 2024",363.00,369.27,361.41,368.86,368.26,2.06%,"884,552"
"Aug 12, 2024",360.32,362.97,358.50,361.40,360.81,0.14%,"808,065"
"Aug 9, 2024",360.72,361.85,356.96,360.90,360.31,0.06%,"624,240"
"Aug 8, 2024",352.37,360.86,352.37,360.67,360.08,2.38%,"811,503"
"Aug 7, 2024",355.41,359.75,351.10,352.27,351.70,-0.19%,"824,082"
"Aug 6, 2024",351.34,358.32,348.91,352.93,352.35,0.79%,"1,205,495"
"Aug 5, 2024",349.61,352.70,342.14,350.18,349.61,-1.73%,"1,418,600"
"Aug 2, 2024",362.89,365.45,352.82,356.36,355.78,-1.86%,"1,604,536"
"Aug 1, 2024",364.11,369.41,360.93,363.12,362.53,0.02%,"1,385,289"
"Jul 31, 2024",363.05,366.10,358.12,363.05,362.46,0.47%,"1,243,379"
"Jul 30, 2024",358.65,364.19,358.12,361.35,360.76,0.73%,"1,054,020"
"Jul 29, 2024",355.53,361.12,353.95,358.73,358.14,1.11%,"1,196,733"
"Jul 26, 2024",356.00,356.09,351.18,354.78,354.20,0.56%,"1,215,941"
"Jul 25, 2024",343.94,356.30,343.94,352.79,352.21,2.57%,"2,152,124"
"Jul 24, 2024",344.20,344.95,337.16,343.94,343.38,1.11%,"1,974,293"
"Jul 23, 2024",346.50,348.00,334.38,340.17,339.61,4.55%,"2,767,226"
"Jul 22, 2024",323.18,331.04,320.30,325.38,324.85,1.00%,"1,571,687"
"Jul 19, 2024",324.21,325.97,321.64,322.16,321.63,0.13%,"1,239,846"
"Jul 18, 2024",322.53,327.64,319.23,321.73,321.21,-0.39%,"1,544,962"
"Jul 17, 2024",317.90,330.84,317.43,322.98,322.45,1.28%,"1,976,733"
"Jul 16, 2024",318.81,322.03,314.29,318.91,318.39,0.61%,"1,853,116"
"Jul 15, 2024",314.80,322.37,313.82,316.98,316.46,-2.26%,"1,693,552"
"Jul 12, 2024",318.79,326.04,317.19,324.32,323.79,2.14%,"1,237,281"
"Jul 11, 2024",316.12,320.00,312.67,317.51,316.99,0.68%,"1,674,687"
"Jul 10, 2024",319.37,319.37,312.64,315.35,314.84,-0.49%,"1,433,185"
"Jul 9, 2024",316.76,320.17,314.66,316.91,316.39,0.22%,"1,202,958"
"Jul 8, 2024",321.07,321.29,313.24,316.21,315.69,-1.28%,"1,378,092"
