date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",18.33,18.57,18.29,18.42,18.42,0.93%,"13,101,610"
"Nov 22, 2024",17.90,18.31,17.88,18.25,18.25,2.01%,"6,184,088"
"Nov 21, 2024",17.54,17.99,17.46,17.89,17.89,2.70%,"4,364,739"
"Nov 20, 2024",17.23,17.46,17.17,17.42,17.42,0.52%,"4,901,128"
"Nov 19, 2024",17.20,17.37,17.08,17.33,17.33,-0.46%,"6,211,353"
"Nov 18, 2024",17.31,17.45,17.16,17.41,17.41,0.87%,"5,446,122"
"Nov 15, 2024",17.51,17.68,17.26,17.26,17.26,-1.15%,"12,826,627"
"Nov 14, 2024",17.98,18.12,17.43,17.46,17.46,-3.00%,"9,861,424"
"Nov 13, 2024",18.01,18.21,17.91,18.00,18.00,0.06%,"5,505,213"
"Nov 12, 2024",17.96,18.26,17.76,17.99,17.99,-0.39%,"7,736,912"
"Nov 11, 2024",18.05,18.46,17.77,18.06,18.06,0.28%,"12,972,306"
"Nov 8, 2024",18.06,18.22,17.87,18.01,18.01,0.06%,"8,591,568"
"Nov 7, 2024",18.35,18.72,17.68,18.00,18.00,0.06%,"13,613,370"
"Nov 6, 2024",18.50,18.80,17.94,17.99,17.99,1.93%,"21,413,438"
"Nov 5, 2024",17.24,17.66,17.22,17.65,17.65,1.50%,"5,501,988"
"Nov 4, 2024",17.33,17.52,17.27,17.39,17.39,0.35%,"6,825,026"
"Nov 1, 2024",17.20,17.55,17.20,17.33,17.33,0.52%,"4,661,998"
"Oct 31, 2024",17.68,17.76,17.21,17.24,17.24,-2.87%,"6,287,063"
"Oct 30, 2024",17.62,17.90,17.58,17.75,17.75,0.74%,"3,805,896"
"Oct 29, 2024",17.67,17.78,17.54,17.62,17.62,-0.51%,"2,627,737"
"Oct 28, 2024",17.76,17.87,17.68,17.71,17.71,0.74%,"3,761,721"
"Oct 25, 2024",17.80,17.83,17.57,17.58,17.58,-0.45%,"3,273,847"
"Oct 24, 2024",17.47,17.68,17.37,17.66,17.66,1.61%,"5,456,042"
"Oct 23, 2024",17.50,17.54,17.07,17.38,17.38,-1.19%,"6,680,816"
"Oct 22, 2024",17.56,17.63,17.46,17.59,17.59,-0.23%,"4,038,502"
"Oct 21, 2024",17.68,17.74,17.49,17.63,17.63,-0.79%,"4,104,622"
"Oct 18, 2024",17.99,18.15,17.64,17.77,17.77,-1.50%,"8,034,433"
"Oct 17, 2024",18.19,18.20,17.83,18.04,18.04,0.28%,"7,588,787"
"Oct 16, 2024",17.93,18.16,17.91,17.99,17.99,0.39%,"4,461,042"
"Oct 15, 2024",17.95,18.22,17.89,17.92,17.92,0.11%,"6,507,440"
"Oct 14, 2024",17.75,17.92,17.60,17.90,17.90,0.51%,"4,647,130"
"Oct 11, 2024",17.68,17.88,17.54,17.81,17.81,1.14%,"4,618,276"
"Oct 10, 2024",17.39,17.61,17.31,17.61,17.61,0.92%,"4,648,063"
"Oct 9, 2024",17.40,17.57,17.28,17.45,17.45,-0.06%,"5,386,380"
"Oct 8, 2024",17.53,17.58,17.00,17.46,17.46,-0.11%,"7,589,218"
"Oct 7, 2024",17.75,18.04,17.34,17.48,17.48,-2.13%,"7,174,838"
"Oct 4, 2024",17.61,17.99,17.56,17.86,17.86,2.76%,"5,337,267"
"Oct 3, 2024",17.46,17.46,17.15,17.38,17.38,-1.08%,"8,247,213"
"Oct 2, 2024",17.38,17.69,17.35,17.57,17.57,0.11%,"10,699,402"
"Oct 1, 2024",17.58,17.65,17.18,17.55,17.55,-0.28%,"7,221,130"
"Sep 30, 2024",17.91,18.00,17.46,17.60,17.60,-2.92%,"7,463,269"
"Sep 27, 2024",18.42,18.46,18.09,18.13,17.93,-0.60%,"6,475,563"
"Sep 26, 2024",18.35,18.47,18.13,18.24,18.04,0.16%,"10,801,071"
"Sep 25, 2024",18.74,18.82,18.20,18.21,18.01,-2.52%,"6,528,099"
"Sep 24, 2024",18.70,18.89,18.55,18.68,18.47,0.27%,"8,588,643"
"Sep 23, 2024",18.88,18.95,18.39,18.63,18.42,-0.53%,"7,459,097"
"Sep 20, 2024",18.55,18.84,18.28,18.73,18.52,1.08%,"15,487,416"
"Sep 19, 2024",18.26,18.67,18.12,18.53,18.32,3.64%,"14,809,220"
"Sep 18, 2024",17.84,18.27,17.73,17.88,17.68,0.39%,"9,059,566"
"Sep 17, 2024",17.59,17.92,17.59,17.81,17.61,2.00%,"5,161,917"
"Sep 16, 2024",17.50,17.62,17.36,17.46,17.26,0.23%,"5,366,712"
"Sep 13, 2024",17.26,17.61,17.26,17.42,17.22,1.28%,"5,171,153"
