date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",117.59,118.34,115.06,115.84,115.84,-2.20%,"2,907,490"
"Nov 22, 2024",117.87,118.80,116.37,118.44,118.44,1.25%,"5,093,495"
"Nov 21, 2024",118.10,119.28,116.94,116.98,116.98,-0.95%,"2,592,866"
"Nov 20, 2024",117.07,118.20,115.09,118.10,118.10,1.81%,"3,650,318"
"Nov 19, 2024",113.19,116.03,113.00,116.00,116.00,2.50%,"2,488,802"
"Nov 18, 2024",112.04,113.44,111.73,113.17,113.17,1.04%,"1,817,861"
"Nov 15, 2024",112.30,113.08,111.14,112.01,112.01,-1.07%,"2,221,703"
"Nov 14, 2024",115.77,116.74,112.44,113.22,113.22,-2.20%,"2,688,130"
"Nov 13, 2024",114.72,116.59,114.17,115.77,115.77,1.93%,"2,331,734"
"Nov 12, 2024",115.00,115.51,112.32,113.58,113.58,-0.96%,"2,177,158"
"Nov 11, 2024",115.25,115.98,114.04,114.68,114.68,0.91%,"1,534,827"
"Nov 8, 2024",112.00,114.08,111.01,113.65,113.65,2.18%,"2,012,930"
"Nov 7, 2024",114.35,115.00,111.14,111.22,111.14,-3.17%,"2,607,778"
"Nov 6, 2024",111.05,115.38,106.18,114.86,114.78,12.43%,"5,796,255"
"Nov 5, 2024",100.29,102.16,99.90,102.16,102.09,2.32%,"2,556,875"
"Nov 4, 2024",100.16,101.05,99.40,99.84,99.77,-0.19%,"1,728,653"
"Nov 1, 2024",100.60,101.00,99.80,100.03,99.96,0.31%,"1,523,319"
"Oct 31, 2024",100.86,101.48,99.10,99.72,99.65,-1.40%,"2,673,815"
"Oct 30, 2024",100.10,101.35,99.81,101.14,101.07,1.05%,"3,435,035"
"Oct 29, 2024",101.06,101.22,98.83,100.09,100.02,-2.24%,"2,844,984"
"Oct 28, 2024",102.08,102.60,101.31,102.38,102.31,0.98%,"2,230,864"
"Oct 25, 2024",101.00,101.84,100.68,101.39,101.32,0.77%,"1,398,259"
