date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",234.23,237.38,233.69,236.06,236.06,1.53%,"726,612"
"Nov 22, 2024",228.44,233.08,228.32,232.50,232.50,2.22%,"409,966"
"Nov 21, 2024",223.35,228.30,223.15,227.45,227.45,1.95%,"507,138"
"Nov 20, 2024",224.18,224.18,219.95,223.11,223.11,-0.22%,"465,205"
"Nov 19, 2024",224.33,225.98,222.79,223.61,223.61,-1.35%,"685,046"
"Nov 18, 2024",226.20,228.78,226.20,226.66,226.66,-0.51%,"659,599"
"Nov 15, 2024",229.43,231.32,227.66,227.83,227.83,-0.68%,"1,896,161"
"Nov 14, 2024",230.64,232.62,229.19,229.39,229.39,-0.70%,"596,344"
"Nov 13, 2024",227.14,231.52,226.86,231.00,231.00,1.33%,"780,643"
"Nov 12, 2024",228.26,228.98,226.60,227.97,227.97,-0.60%,"377,474"
"Nov 11, 2024",229.68,231.52,227.84,229.34,229.34,0.36%,"369,265"
"Nov 8, 2024",228.68,230.98,227.51,228.51,228.51,-0.17%,"488,681"
"Nov 7, 2024",235.22,235.31,228.56,228.90,228.90,-2.55%,"608,671"
"Nov 6, 2024",234.39,238.22,233.20,234.90,234.90,4.53%,"917,470"
"Nov 5, 2024",218.37,225.96,218.26,224.71,224.71,2.61%,"839,881"
"Nov 4, 2024",217.60,223.18,216.68,219.00,219.00,1.37%,"638,557"
"Nov 1, 2024",215.67,218.82,213.80,216.05,216.05,0.66%,"725,543"
"Oct 31, 2024",219.37,221.24,214.18,214.64,214.64,-1.83%,"984,611"
"Oct 30, 2024",209.57,219.09,206.04,218.64,218.64,7.24%,"1,365,000"
"Oct 29, 2024",203.27,205.43,203.01,203.88,203.88,-0.47%,"452,922"
"Oct 28, 2024",204.47,207.41,204.47,204.84,204.84,1.00%,"398,841"
"Oct 25, 2024",204.72,205.20,202.36,202.82,202.82,-0.32%,"268,778"
"Oct 24, 2024",204.08,205.13,202.08,203.48,203.48,-0.67%,"462,128"
"Oct 23, 2024",207.57,208.49,204.70,204.86,204.86,-1.46%,"275,376"
"Oct 22, 2024",208.79,209.42,206.65,207.89,207.89,-0.67%,"336,162"
"Oct 21, 2024",210.48,210.54,207.77,209.29,209.29,-0.59%,"221,259"
"Oct 18, 2024",210.96,210.96,208.95,210.53,210.53,0.31%,"283,789"
