date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",641.61,651.11,632.88,634.62,634.62,-0.86%,"2,951,827"
"Nov 22, 2024",668.18,675.00,639.15,640.12,640.12,-5.68%,"3,294,240"
"Nov 21, 2024",659.78,681.59,656.75,678.70,678.70,4.32%,"2,318,306"
"Nov 20, 2024",642.09,652.28,637.60,650.60,650.60,1.00%,"1,880,673"
"Nov 19, 2024",636.10,646.87,632.40,644.17,644.17,-5.10%,"2,536,019"
"Nov 18, 2024",685.65,688.12,675.80,678.81,678.81,-1.32%,"1,580,409"
"Nov 15, 2024",691.16,692.85,680.21,687.87,687.87,-1.84%,"1,799,379"
"Nov 14, 2024",701.58,706.00,693.40,700.76,700.76,-0.78%,"1,769,831"
"Nov 13, 2024",697.25,714.78,695.02,706.25,706.25,0.97%,"1,472,423"
"Nov 12, 2024",695.00,703.88,694.30,699.47,699.47,0.30%,"1,409,525"
"Nov 11, 2024",683.79,698.96,682.30,697.35,697.35,1.92%,"1,514,491"
"Nov 8, 2024",678.00,688.88,672.23,684.22,684.22,1.49%,"1,705,774"
"Nov 7, 2024",651.74,675.10,651.74,674.15,674.15,3.97%,"1,928,020"
"Nov 6, 2024",643.12,668.00,642.75,648.39,648.39,4.78%,"2,963,912"
"Nov 5, 2024",619.86,622.29,610.71,618.83,618.83,-0.03%,"1,564,288"
"Nov 4, 2024",623.00,624.52,615.83,619.01,619.01,-0.44%,"1,152,530"
"Nov 1, 2024",605.00,626.38,603.00,621.74,621.74,1.87%,"1,436,999"
"Oct 31, 2024",620.17,621.74,608.55,610.30,610.30,-1.74%,"1,478,604"
"Oct 30, 2024",623.79,629.47,619.91,621.11,621.11,-0.42%,"1,082,398"
"Oct 29, 2024",612.99,625.60,609.38,623.70,623.70,1.90%,"1,134,801"
"Oct 28, 2024",612.84,613.77,607.89,612.09,612.09,0.46%,"1,291,982"
"Oct 25, 2024",610.00,617.22,607.83,609.27,609.27,0.88%,"1,000,674"
"Oct 24, 2024",602.91,608.79,602.00,603.98,603.98,0.33%,"883,317"
"Oct 23, 2024",608.02,609.99,599.65,602.01,602.01,-1.24%,"1,119,205"
"Oct 22, 2024",608.92,613.29,605.28,609.59,609.59,-0.71%,"1,088,541"
"Oct 21, 2024",608.23,615.62,607.11,613.93,613.93,0.10%,"1,058,121"
"Oct 18, 2024",601.34,615.44,600.11,613.29,613.29,0.67%,"1,299,488"
"Oct 17, 2024",619.08,619.14,607.85,609.23,609.23,-0.03%,"1,135,351"
"Oct 16, 2024",616.58,618.07,607.46,609.39,609.39,-1.38%,"1,132,427"
"Oct 15, 2024",619.82,623.04,615.76,617.89,617.89,0.12%,"1,259,317"
"Oct 14, 2024",620.31,620.31,612.80,617.16,617.16,0.08%,"990,064"
"Oct 11, 2024",619.18,622.35,613.73,616.68,616.68,-0.42%,"1,275,688"
"Oct 10, 2024",618.00,621.49,616.00,619.30,619.30,-0.37%,"1,127,917"
"Oct 9, 2024",615.00,621.97,611.61,621.61,620.57,1.34%,"1,183,577"
"Oct 8, 2024",608.01,614.55,603.82,613.37,612.34,1.82%,"1,201,928"
"Oct 7, 2024",607.03,610.54,600.71,602.43,601.42,-1.35%,"1,711,215"
"Oct 4, 2024",608.20,614.34,605.12,610.67,609.65,1.14%,"1,220,267"
"Oct 3, 2024",601.31,607.00,599.89,603.81,602.80,-0.57%,"1,290,000"
"Oct 2, 2024",607.40,612.63,604.26,607.28,606.26,0.16%,"1,164,726"
"Oct 1, 2024",618.02,618.60,603.85,606.28,605.26,-2.37%,"1,869,058"
"Sep 30, 2024",618.20,623.70,616.20,621.00,619.96,0.32%,"1,361,563"
"Sep 27, 2024",636.83,638.49,618.33,619.03,617.99,-2.80%,"1,425,425"
"Sep 26, 2024",645.00,645.93,633.87,636.83,635.76,0.33%,"1,084,495"
"Sep 25, 2024",634.89,643.19,632.34,634.74,633.68,-0.54%,"1,414,583"
"Sep 24, 2024",640.96,643.97,635.52,638.20,637.13,-0.59%,"1,454,688"
"Sep 23, 2024",649.50,649.50,639.51,641.97,640.89,-0.47%,"1,069,463"
"Sep 20, 2024",644.36,651.23,638.78,644.99,643.91,-1.41%,"2,960,991"
"Sep 19, 2024",651.06,660.61,646.06,654.24,653.14,3.34%,"1,567,380"
"Sep 18, 2024",642.93,646.13,632.10,633.07,632.01,-1.82%,"1,000,155"
"Sep 17, 2024",650.00,650.00,644.21,644.82,643.74,-0.22%,"934,751"
"Sep 16, 2024",655.24,656.01,643.43,646.25,645.17,-1.38%,"939,837"
"Sep 13, 2024",642.90,660.90,641.37,655.31,654.21,1.38%,"1,226,674"
"Sep 12, 2024",643.73,646.89,638.34,646.37,645.29,0.38%,"1,178,936"
"Sep 11, 2024",631.69,645.75,613.95,643.92,642.84,1.63%,"1,327,115"
"Sep 10, 2024",630.61,633.75,620.86,633.62,632.56,1.06%,"1,022,235"
"Sep 9, 2024",621.49,628.74,617.00,626.99,625.94,1.93%,"1,005,778"
"Sep 6, 2024",625.00,626.11,611.81,615.12,614.09,-1.02%,"999,734"
"Sep 5, 2024",621.36,622.93,611.92,621.48,620.44,-0.26%,"773,542"
"Sep 4, 2024",621.03,626.38,617.51,623.10,622.06,-0.27%,"800,797"
"Sep 3, 2024",632.64,638.88,621.00,624.81,623.76,-0.86%,"1,324,728"
"Aug 30, 2024",625.02,631.17,617.40,630.26,629.20,1.20%,"2,069,467"
"Aug 29, 2024",622.64,631.54,621.22,622.80,621.76,0.93%,"986,762"
"Aug 28, 2024",624.32,627.87,614.41,617.04,616.01,-1.48%,"1,035,024"
"Aug 27, 2024",615.48,628.38,611.69,626.32,625.27,1.49%,"1,477,757"
"Aug 26, 2024",623.00,633.95,615.73,617.12,616.09,-0.44%,"1,968,101"
"Aug 23, 2024",660.00,660.00,610.40,619.85,618.81,-6.83%,"4,113,425"
"Aug 22, 2024",673.01,674.78,663.13,665.29,664.18,-0.78%,"1,467,722"
"Aug 21, 2024",669.69,672.54,664.97,670.49,669.37,0.48%,"1,256,086"
"Aug 20, 2024",663.30,669.70,661.88,667.28,666.16,0.60%,"1,110,833"
"Aug 19, 2024",654.50,664.71,653.02,663.30,662.19,1.49%,"1,217,321"
"Aug 16, 2024",652.65,657.20,650.94,653.53,652.43,0.21%,"765,779"
"Aug 15, 2024",645.39,652.96,644.20,652.14,651.05,2.42%,"937,097"
"Aug 14, 2024",627.27,640.23,625.00,636.74,635.67,-1.41%,"1,501,283"
"Aug 13, 2024",634.69,648.56,630.01,645.83,644.75,2.94%,"1,040,171"
"Aug 12, 2024",629.22,635.29,624.83,627.41,626.36,-0.44%,"647,079"
"Aug 9, 2024",625.00,634.79,622.20,630.20,629.14,0.65%,"802,793"
"Aug 8, 2024",615.52,628.54,613.74,626.12,625.07,2.74%,"1,042,370"
"Aug 7, 2024",622.96,630.12,608.03,609.45,608.43,-0.46%,"1,123,535"
"Aug 6, 2024",610.13,622.06,607.02,612.29,611.26,1.55%,"1,339,489"
"Aug 5, 2024",608.26,614.77,597.22,602.97,601.96,-3.36%,"1,787,125"
"Aug 2, 2024",626.94,626.94,611.09,623.92,622.87,-2.18%,"1,788,726"
"Aug 1, 2024",647.00,660.21,630.09,637.82,636.75,-1.47%,"1,301,236"
"Jul 31, 2024",652.00,662.67,641.91,647.35,646.27,1.82%,"1,423,914"
"Jul 30, 2024",640.00,645.48,629.53,635.80,634.73,-0.09%,"1,064,190"
"Jul 29, 2024",637.45,642.64,629.59,636.36,635.29,0.47%,"1,242,197"
"Jul 26, 2024",632.60,643.50,628.40,633.36,632.30,1.12%,"987,151"
"Jul 25, 2024",629.87,641.12,620.27,626.32,625.27,0.98%,"1,240,978"
"Jul 24, 2024",629.82,637.06,619.10,620.24,619.20,-2.65%,"1,590,300"
"Jul 23, 2024",643.68,648.26,636.61,637.10,636.03,-1.15%,"1,193,616"
"Jul 22, 2024",643.61,645.98,635.91,644.52,643.44,1.25%,"1,473,576"
"Jul 19, 2024",638.78,640.45,632.40,636.56,635.49,-0.14%,"1,056,569"
"Jul 18, 2024",661.66,661.66,632.70,637.47,636.40,-3.25%,"1,383,880"
"Jul 17, 2024",663.07,666.32,658.06,658.91,657.81,-1.09%,"1,156,378"
"Jul 16, 2024",660.00,668.64,655.53,666.15,665.03,1.21%,"988,709"
"Jul 15, 2024",641.04,658.54,640.18,658.18,657.08,2.53%,"1,043,896"
"Jul 12, 2024",631.64,646.10,629.60,641.95,640.87,1.99%,"1,044,892"
"Jul 11, 2024",638.59,643.17,627.22,629.41,628.36,-0.54%,"1,235,127"
"Jul 10, 2024",636.69,636.69,622.65,632.84,631.78,-2.70%,"1,962,616"
"Jul 9, 2024",659.58,660.00,649.09,650.42,648.41,-1.39%,"861,431"
"Jul 8, 2024",660.58,663.09,655.94,659.58,657.54,-1.37%,"1,022,474"
