date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",81.00,81.16,80.80,81.11,81.11,-0.07%,"4,011,555"
"Nov 22, 2024",81.00,81.20,80.84,81.17,81.17,0.19%,"1,525,418"
"Nov 21, 2024",80.71,81.09,80.69,81.02,81.02,0.30%,"1,833,276"
"Nov 20, 2024",80.51,80.79,80.50,80.78,80.78,0.29%,"1,383,867"
"Nov 19, 2024",80.40,80.58,80.37,80.55,80.55,-0.06%,"1,752,297"
"Nov 18, 2024",80.64,80.85,80.49,80.60,80.60,0.04%,"2,480,665"
"Nov 15, 2024",81.00,81.15,80.40,80.57,80.57,-0.35%,"3,846,286"
"Nov 14, 2024",81.25,81.25,80.80,80.85,80.85,-0.41%,"2,454,209"
"Nov 13, 2024",81.13,81.21,81.00,81.18,81.18,0.19%,"1,124,776"
"Nov 12, 2024",81.10,81.34,81.02,81.03,81.03,-0.09%,"1,180,909"
"Nov 11, 2024",80.96,81.18,80.96,81.10,81.10,0.12%,"1,410,205"
"Nov 8, 2024",80.94,81.10,80.77,81.00,81.00,0.42%,"1,241,579"
"Nov 7, 2024",80.97,81.04,80.65,80.66,80.66,-0.35%,"2,632,032"
"Nov 6, 2024",81.06,81.19,80.80,80.94,80.94,0.10%,"3,799,952"
"Nov 5, 2024",80.69,80.89,80.58,80.86,80.86,0.32%,"2,081,775"
"Nov 4, 2024",80.70,80.75,80.49,80.60,80.60,-0.01%,"1,858,077"
"Nov 1, 2024",80.59,80.79,80.59,80.61,80.61,-0.05%,"3,773,971"
"Oct 31, 2024",80.76,80.99,80.53,80.65,80.65,-0.25%,"3,244,044"
"Oct 30, 2024",80.57,80.90,80.52,80.85,80.85,0.35%,"1,221,739"
"Oct 29, 2024",80.60,80.76,80.55,80.57,80.57,-0.04%,"1,911,047"
"Oct 28, 2024",80.96,81.03,80.60,80.60,80.60,-0.35%,"2,488,517"
"Oct 25, 2024",80.91,80.97,80.80,80.88,80.88,-0.19%,"1,894,268"
