date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",19.78,20.04,19.77,19.81,19.81,1.07%,"8,796,105"
"Nov 22, 2024",19.18,19.63,19.18,19.60,19.60,1.98%,"7,997,185"
"Nov 21, 2024",19.10,19.46,19.05,19.22,19.22,1.05%,"6,311,840"
"Nov 20, 2024",19.12,19.16,18.85,19.02,19.02,0.11%,"5,298,800"
"Nov 19, 2024",18.90,19.20,18.84,19.00,19.00,-1.20%,"8,823,253"
"Nov 18, 2024",19.14,19.28,19.09,19.23,19.23,0.37%,"7,320,361"
"Nov 15, 2024",19.21,19.35,18.96,19.16,19.16,0.10%,"7,951,870"
"Nov 14, 2024",19.09,19.31,18.94,19.14,19.14,0.47%,"4,836,350"
"Nov 13, 2024",19.26,19.54,19.04,19.05,19.05,-0.68%,"7,669,967"
"Nov 12, 2024",19.12,19.36,19.05,19.18,19.18,-0.36%,"8,403,852"
"Nov 11, 2024",19.34,19.49,19.19,19.25,19.25,1.48%,"6,623,408"
"Nov 8, 2024",19.05,19.28,18.80,18.97,18.97,-0.99%,"15,226,271"
"Nov 7, 2024",19.56,19.74,19.02,19.16,19.16,-4.06%,"13,881,182"
"Nov 6, 2024",18.49,20.00,18.49,19.97,19.97,15.70%,"27,055,786"
"Nov 5, 2024",17.14,17.31,17.08,17.26,17.26,1.29%,"5,585,064"
"Nov 4, 2024",17.22,17.27,17.02,17.04,17.04,-0.87%,"8,129,962"
"Nov 1, 2024",17.34,17.54,17.15,17.19,17.19,-0.35%,"7,053,213"
"Oct 31, 2024",17.51,17.59,17.25,17.25,17.25,-1.37%,"9,138,918"
"Oct 30, 2024",17.38,17.81,17.38,17.49,17.49,0.63%,"11,124,130"
"Oct 29, 2024",17.50,17.58,17.35,17.38,17.38,-0.97%,"10,252,672"
"Oct 28, 2024",17.23,17.63,17.14,17.55,17.55,2.99%,"10,705,153"
"Oct 25, 2024",17.44,17.45,16.99,17.04,17.04,-1.10%,"7,423,181"
"Oct 24, 2024",17.17,17.28,17.02,17.23,17.23,0.88%,"8,355,648"
"Oct 23, 2024",17.09,17.29,16.96,17.08,17.08,-0.52%,"5,979,109"
"Oct 22, 2024",17.06,17.23,17.00,17.17,17.17,0.47%,"8,539,145"
"Oct 21, 2024",17.36,17.53,17.06,17.09,17.09,-1.50%,"7,560,391"
"Oct 18, 2024",17.16,17.48,17.16,17.35,17.35,0.58%,"10,728,839"
"Oct 17, 2024",17.20,17.52,16.90,17.25,17.25,-2.54%,"16,550,845"
"Oct 16, 2024",17.72,17.88,17.56,17.70,17.70,1.20%,"11,862,201"
"Oct 15, 2024",17.48,17.94,17.46,17.49,17.49,0.52%,"11,298,923"
"Oct 14, 2024",17.03,17.44,16.91,17.40,17.40,1.05%,"11,829,790"
"Oct 11, 2024",16.98,17.47,16.93,17.22,17.22,2.26%,"10,220,343"
"Oct 10, 2024",16.74,16.91,16.62,16.84,16.84,-0.18%,"7,297,701"
"Oct 9, 2024",16.73,17.01,16.65,16.87,16.87,0.84%,"7,331,867"
