date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",172.00,175.39,170.54,171.68,171.68,0.82%,"5,733,273"
"Nov 22, 2024",169.60,171.05,168.25,170.28,170.28,-0.09%,"1,424,466"
"Nov 21, 2024",165.39,170.52,162.83,170.43,170.43,2.99%,"1,917,386"
"Nov 20, 2024",165.21,168.46,159.00,165.48,165.48,8.78%,"3,223,438"
"Nov 19, 2024",149.14,152.58,147.90,152.13,152.13,0.47%,"2,278,262"
"Nov 18, 2024",149.56,151.60,148.43,151.42,151.42,1.37%,"1,937,449"
"Nov 15, 2024",151.92,152.79,149.27,149.37,149.37,-2.80%,"1,282,196"
"Nov 14, 2024",157.04,157.70,153.02,153.68,153.68,-2.30%,"1,223,400"
"Nov 13, 2024",160.00,160.63,156.51,157.30,157.30,-2.43%,"1,299,785"
"Nov 12, 2024",163.41,164.32,160.66,161.21,161.21,-1.55%,"743,206"
"Nov 11, 2024",165.40,166.28,162.11,163.74,163.74,-1.02%,"903,642"
"Nov 8, 2024",164.30,165.52,163.22,165.42,165.42,0.15%,"844,267"
"Nov 7, 2024",162.51,165.36,162.06,165.18,165.18,2.06%,"1,147,399"
"Nov 6, 2024",160.74,162.34,158.67,161.85,161.85,4.49%,"1,729,915"
"Nov 5, 2024",153.69,155.39,152.61,154.89,154.89,0.87%,"1,043,084"
"Nov 4, 2024",154.01,155.79,153.41,153.56,153.56,1.33%,"1,127,427"
"Nov 1, 2024",150.08,152.66,149.85,151.55,151.55,1.70%,"1,014,004"
"Oct 31, 2024",151.00,151.19,148.37,149.01,149.01,-1.95%,"864,148"
"Oct 30, 2024",154.24,154.80,151.96,151.98,151.98,-2.12%,"918,890"
"Oct 29, 2024",155.58,156.81,155.22,155.27,155.27,-0.30%,"1,009,719"
"Oct 28, 2024",157.52,157.72,155.70,155.73,155.73,-0.16%,"733,728"
"Oct 25, 2024",154.90,156.46,154.86,155.98,155.98,1.45%,"795,947"
"Oct 24, 2024",154.20,154.69,152.94,153.75,153.75,0.26%,"587,113"
"Oct 23, 2024",155.00,155.62,151.44,153.35,153.35,-1.29%,"621,481"
"Oct 22, 2024",156.93,157.51,153.05,155.36,155.36,-1.56%,"916,483"
"Oct 21, 2024",159.20,159.34,157.06,157.82,157.82,-1.33%,"851,288"
"Oct 18, 2024",159.44,161.00,158.29,159.95,159.95,1.13%,"940,769"
"Oct 17, 2024",157.97,158.81,157.43,158.17,158.17,0.59%,"893,475"
"Oct 16, 2024",158.69,159.76,157.13,157.25,157.25,-0.51%,"959,735"
"Oct 15, 2024",159.41,162.42,156.68,158.06,158.06,-0.57%,"2,345,751"
"Oct 14, 2024",159.00,159.33,157.69,158.96,158.96,-0.03%,"1,348,644"
"Oct 11, 2024",157.20,159.86,157.20,159.01,159.01,0.95%,"653,846"
"Oct 10, 2024",156.17,157.89,155.51,157.51,157.51,-0.38%,"673,776"
"Oct 9, 2024",156.18,160.17,155.66,158.11,158.11,1.63%,"1,025,224"
"Oct 8, 2024",156.04,156.39,154.63,155.58,155.58,-0.26%,"804,751"
"Oct 7, 2024",155.07,156.50,154.85,155.99,155.99,-0.25%,"989,988"
"Oct 4, 2024",157.18,157.26,154.93,156.38,156.38,1.17%,"667,589"
"Oct 3, 2024",154.53,155.09,152.62,154.57,154.57,-0.72%,"602,692"
"Oct 2, 2024",154.50,157.15,153.76,155.69,155.69,0.63%,"689,929"
"Oct 1, 2024",158.34,158.34,153.68,154.71,154.71,-2.66%,"973,488"
"Sep 30, 2024",157.95,159.70,157.16,158.93,158.93,0.14%,"918,280"
"Sep 27, 2024",159.00,160.71,158.00,158.70,158.70,0.04%,"1,018,858"
"Sep 26, 2024",156.52,158.75,155.48,158.64,158.64,3.87%,"1,175,107"
"Sep 25, 2024",153.61,154.52,151.99,152.73,152.73,-0.88%,"748,683"
"Sep 24, 2024",152.81,154.37,152.05,154.09,154.09,1.67%,"800,992"
"Sep 23, 2024",152.92,153.06,151.07,151.56,151.56,-0.56%,"1,024,503"
"Sep 20, 2024",154.21,154.80,151.88,152.42,152.42,-1.91%,"1,806,408"
