date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",159.50,161.11,158.01,158.94,158.94,0.20%,"3,856,430"
"Nov 22, 2024",157.68,159.58,157.00,158.63,158.63,0.61%,"3,164,165"
"Nov 21, 2024",153.83,158.46,152.34,157.67,157.67,3.61%,"4,027,547"
"Nov 20, 2024",153.21,154.58,150.67,152.18,152.18,-0.39%,"3,723,395"
"Nov 19, 2024",152.22,153.05,150.95,152.78,152.78,0.22%,"2,457,045"
"Nov 18, 2024",150.58,152.64,149.33,152.45,152.45,1.62%,"3,196,475"
"Nov 15, 2024",149.83,151.47,148.09,150.02,150.02,-0.33%,"2,929,182"
"Nov 14, 2024",152.43,153.14,150.11,150.52,150.52,-1.06%,"2,700,612"
"Nov 13, 2024",152.65,153.89,151.08,152.13,152.13,-0.67%,"2,142,309"
"Nov 12, 2024",155.00,155.79,152.32,153.16,153.16,-1.76%,"2,167,654"
"Nov 11, 2024",154.12,156.54,153.80,155.90,155.90,2.43%,"3,901,090"
"Nov 8, 2024",150.21,152.62,150.21,152.20,152.20,0.99%,"3,253,622"
"Nov 7, 2024",151.56,152.25,149.02,150.71,150.71,-1.02%,"3,261,213"
"Nov 6, 2024",147.48,153.51,147.06,152.27,152.27,9.55%,"7,213,843"
"Nov 5, 2024",137.17,139.66,137.07,138.99,138.99,1.59%,"3,421,883"
"Nov 4, 2024",137.52,138.47,135.83,136.81,136.81,-0.56%,"2,013,037"
"Nov 1, 2024",138.50,140.86,137.38,137.58,137.40,-0.48%,"2,672,861"
"Oct 31, 2024",139.09,140.35,137.40,138.24,138.06,-1.38%,"2,620,323"
"Oct 30, 2024",140.05,141.82,139.93,140.18,140.00,0.61%,"2,023,653"
"Oct 29, 2024",140.00,140.49,138.74,139.33,139.15,-1.01%,"2,234,729"
"Oct 28, 2024",141.34,142.14,139.88,140.75,140.57,0.62%,"2,716,386"
"Oct 25, 2024",144.60,144.67,138.90,139.88,139.70,-2.37%,"2,866,224"
"Oct 24, 2024",143.04,147.15,141.31,143.28,143.10,3.41%,"4,353,815"
"Oct 23, 2024",140.03,141.31,137.94,138.55,138.37,-1.16%,"4,774,705"
"Oct 22, 2024",139.69,140.98,138.96,140.17,139.99,-0.28%,"2,200,225"
"Oct 21, 2024",139.80,141.68,139.74,140.57,140.39,0.54%,"2,853,688"
"Oct 18, 2024",137.87,140.15,137.35,139.81,139.63,1.43%,"2,954,453"
"Oct 17, 2024",137.00,139.82,136.36,137.84,137.66,1.60%,"3,135,704"
"Oct 16, 2024",136.29,137.88,135.20,135.67,135.50,-0.08%,"2,433,170"
"Oct 15, 2024",136.86,137.80,135.14,135.78,135.61,-0.56%,"2,352,643"
"Oct 14, 2024",136.23,137.11,134.72,136.54,136.37,0.70%,"1,941,063"
"Oct 11, 2024",134.08,135.90,134.08,135.59,135.42,1.86%,"2,084,733"
"Oct 10, 2024",134.51,135.25,133.03,133.12,132.95,-1.36%,"3,215,732"
"Oct 9, 2024",131.79,135.10,131.55,134.95,134.78,2.74%,"2,863,896"
"Oct 8, 2024",131.70,132.45,130.74,131.35,131.18,0.02%,"2,069,536"
"Oct 7, 2024",132.91,133.70,130.23,131.33,131.16,-1.46%,"2,291,677"
"Oct 4, 2024",133.16,133.55,131.68,133.28,133.11,1.82%,"2,096,768"
"Oct 3, 2024",131.69,132.09,129.63,130.90,130.73,-1.00%,"2,147,440"
"Oct 2, 2024",130.00,132.86,130.00,132.22,132.05,1.81%,"2,118,734"
"Oct 1, 2024",130.58,131.52,128.70,129.87,129.70,-0.54%,"2,577,682"
"Sep 30, 2024",131.32,131.84,128.37,130.58,130.41,-1.18%,"3,315,293"
"Sep 27, 2024",131.95,132.96,130.73,132.14,131.97,0.58%,"2,909,347"
