date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",139.08,139.75,137.87,139.14,139.14,0.52%,"4,025,196"
"Nov 22, 2024",137.76,139.10,137.49,138.42,138.42,1.01%,"1,977,596"
"Nov 21, 2024",136.50,137.99,136.05,137.03,137.03,0.48%,"1,618,496"
"Nov 20, 2024",135.31,136.51,134.65,136.37,136.37,0.56%,"1,883,617"
"Nov 19, 2024",135.72,136.65,134.89,135.61,135.61,-0.29%,"1,771,307"
"Nov 18, 2024",133.74,136.32,133.44,136.01,136.01,1.44%,"2,038,330"
"Nov 15, 2024",131.57,135.22,131.50,134.08,134.08,1.82%,"3,199,116"
"Nov 14, 2024",131.71,132.76,130.84,131.68,131.68,-0.39%,"1,543,529"
"Nov 13, 2024",133.51,133.51,131.96,132.19,132.19,0.04%,"1,494,936"
"Nov 12, 2024",134.00,134.24,132.02,132.14,132.14,-0.84%,"2,525,049"
"Nov 11, 2024",133.32,134.59,133.07,133.26,133.26,-0.26%,"1,569,794"
"Nov 8, 2024",132.54,134.39,132.20,133.61,133.61,1.03%,"1,703,481"
"Nov 7, 2024",132.27,133.86,132.10,132.25,132.25,0.46%,"1,879,913"
"Nov 6, 2024",136.15,136.27,130.85,131.64,131.64,-2.37%,"2,235,358"
"Nov 5, 2024",133.89,134.86,133.50,134.83,134.83,0.82%,"1,415,099"
"Nov 4, 2024",135.05,135.94,133.62,133.74,133.74,-0.65%,"1,537,723"
"Nov 1, 2024",134.62,135.49,134.14,134.61,134.61,0.32%,"1,678,234"
"Oct 31, 2024",134.36,135.09,133.87,134.18,134.18,-0.17%,"3,322,564"
"Oct 30, 2024",134.25,134.80,133.54,134.41,134.41,-0.07%,"1,636,301"
"Oct 29, 2024",134.76,135.85,134.41,134.51,134.51,-0.82%,"1,608,860"
"Oct 28, 2024",136.30,136.74,135.20,135.62,135.62,0.07%,"2,036,702"
"Oct 25, 2024",136.65,137.23,135.33,135.52,135.52,-1.09%,"2,273,945"
"Oct 24, 2024",137.04,137.80,136.16,137.01,137.01,0.09%,"1,835,406"
"Oct 23, 2024",136.94,138.54,136.30,136.89,136.89,-0.62%,"2,640,961"
"Oct 22, 2024",137.05,139.46,136.74,137.75,137.75,-4.48%,"4,180,219"
"Oct 21, 2024",145.41,146.13,144.00,144.21,144.21,-0.83%,"2,508,338"
"Oct 18, 2024",144.85,145.69,143.12,145.41,145.41,-0.47%,"3,915,416"
"Oct 17, 2024",145.85,146.65,145.42,146.09,146.09,0.10%,"2,537,222"
"Oct 16, 2024",144.44,146.41,143.67,145.94,145.94,0.49%,"1,819,273"
"Oct 15, 2024",144.00,146.53,143.93,145.23,145.23,1.18%,"1,964,070"
"Oct 14, 2024",142.23,143.77,142.14,143.54,143.54,0.91%,"1,366,622"
"Oct 11, 2024",141.77,142.40,141.10,142.25,142.25,0.84%,"1,384,424"
"Oct 10, 2024",142.23,142.82,140.62,141.06,141.06,-0.79%,"1,296,463"
"Oct 9, 2024",141.85,142.70,141.48,142.18,142.18,0.12%,"1,249,367"
"Oct 8, 2024",141.19,142.27,140.51,142.01,142.01,0.87%,"1,527,309"
"Oct 7, 2024",141.79,142.66,140.57,140.78,140.78,-0.08%,"2,037,152"
"Oct 4, 2024",139.12,141.20,138.56,140.89,140.89,0.61%,"1,593,036"
"Oct 3, 2024",141.41,141.44,139.90,140.04,140.04,-1.21%,"1,436,014"
"Oct 2, 2024",142.07,142.26,140.83,141.76,141.76,-0.46%,"1,587,555"
"Oct 1, 2024",142.35,143.13,141.46,142.41,142.41,0.09%,"1,849,657"
"Sep 30, 2024",143.31,143.50,141.54,142.28,142.28,-0.18%,"1,962,155"
"Sep 27, 2024",142.22,143.39,141.98,142.54,142.54,0.25%,"1,689,433"
"Sep 26, 2024",140.41,142.69,140.37,142.18,142.18,0.69%,"1,478,671"
"Sep 25, 2024",142.00,142.55,140.89,141.20,141.20,0.11%,"1,683,076"
"Sep 24, 2024",140.61,141.95,140.39,141.05,141.05,-0.11%,"1,858,553"
"Sep 23, 2024",140.47,141.76,140.07,141.21,141.21,0.33%,"1,776,917"
"Sep 20, 2024",139.78,141.13,139.25,140.75,140.75,0.46%,"5,576,094"
"Sep 19, 2024",140.85,141.52,139.97,140.10,140.10,-0.74%,"1,553,548"
"Sep 18, 2024",141.50,142.38,140.34,141.14,141.14,-0.37%,"1,717,308"
"Sep 17, 2024",143.61,143.95,141.41,141.66,141.66,-1.76%,"1,851,207"
"Sep 16, 2024",144.11,144.82,143.73,144.20,144.20,0.47%,"1,650,898"
"Sep 13, 2024",141.77,143.69,141.50,143.52,143.52,0.80%,"1,960,421"
"Sep 12, 2024",143.41,143.74,141.68,142.38,142.38,-0.57%,"1,977,121"
"Sep 11, 2024",145.79,145.79,142.39,143.20,143.20,-2.09%,"2,350,354"
"Sep 10, 2024",147.18,148.32,145.99,146.25,146.25,-0.63%,"1,498,564"
"Sep 9, 2024",146.69,147.61,146.38,147.18,147.18,0.18%,"1,836,548"
"Sep 6, 2024",146.83,148.14,146.77,146.91,146.91,-0.77%,"2,160,596"
"Sep 5, 2024",148.86,149.31,147.33,148.05,146.83,-0.20%,"1,788,158"
"Sep 4, 2024",147.75,148.87,147.44,148.35,147.13,0.68%,"1,852,559"
