date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",239.72,242.53,238.07,241.29,241.29,0.68%,"982,001"
"Nov 22, 2024",240.22,240.97,238.82,239.67,239.67,-0.21%,"436,362"
"Nov 21, 2024",237.66,240.80,235.00,240.17,240.17,0.98%,"302,725"
"Nov 20, 2024",236.58,238.68,235.11,237.85,237.85,0.69%,"486,678"
"Nov 19, 2024",232.23,237.84,231.19,236.23,236.23,-1.01%,"584,359"
"Nov 18, 2024",235.00,241.21,235.00,238.64,238.64,1.46%,"632,083"
"Nov 15, 2024",237.93,239.26,232.38,235.21,235.21,-1.25%,"2,051,433"
"Nov 14, 2024",245.62,246.34,237.92,238.18,238.18,-3.27%,"898,948"
"Nov 13, 2024",244.17,247.18,244.17,246.22,246.22,0.80%,"624,368"
"Nov 12, 2024",242.99,246.96,242.99,244.26,244.26,0.14%,"737,887"
"Nov 11, 2024",243.47,247.99,242.91,243.92,243.92,0.63%,"752,727"
"Nov 8, 2024",239.78,243.78,237.96,242.39,242.39,1.40%,"854,652"
"Nov 7, 2024",235.00,240.39,233.75,239.05,239.05,1.99%,"718,170"
"Nov 6, 2024",230.02,234.63,228.18,234.38,234.38,2.30%,"566,922"
"Nov 5, 2024",226.03,229.85,224.64,229.11,229.11,0.85%,"395,303"
"Nov 4, 2024",227.42,229.62,225.62,227.17,227.17,0.03%,"401,255"
"Nov 1, 2024",229.50,231.51,227.08,227.10,227.10,-0.51%,"641,442"
"Oct 31, 2024",230.04,231.70,227.69,228.27,228.27,-0.99%,"566,863"
"Oct 30, 2024",229.68,231.92,228.16,230.56,230.56,1.08%,"652,101"
"Oct 29, 2024",225.72,230.48,225.66,228.09,228.09,0.31%,"645,378"
"Oct 28, 2024",230.25,230.41,225.37,227.38,227.38,-0.55%,"720,473"
"Oct 25, 2024",229.28,231.59,227.25,228.63,228.63,-0.63%,"819,212"
"Oct 24, 2024",225.55,239.50,222.75,230.07,230.07,4.62%,"1,610,972"
"Oct 23, 2024",220.67,226.44,219.16,219.90,219.90,-0.28%,"1,388,777"
"Oct 22, 2024",213.81,222.77,212.45,220.51,220.51,2.98%,"878,047"
"Oct 21, 2024",215.76,216.76,212.97,214.13,214.13,-0.76%,"710,481"
"Oct 18, 2024",215.89,216.38,213.37,215.77,215.77,0.30%,"354,097"
"Oct 17, 2024",217.34,217.34,214.00,215.13,215.13,-0.72%,"345,152"
"Oct 16, 2024",216.00,218.65,215.31,216.69,216.69,-,"345,696"
"Oct 15, 2024",216.83,220.20,215.97,216.68,216.68,-0.08%,"595,493"
"Oct 14, 2024",216.73,217.74,215.69,216.85,216.85,0.21%,"351,929"
"Oct 11, 2024",215.48,217.47,215.44,216.39,216.39,0.69%,"435,100"
"Oct 10, 2024",215.50,215.99,213.70,214.90,214.90,-0.32%,"474,585"
"Oct 9, 2024",213.35,215.99,212.80,215.58,215.58,1.37%,"401,305"
"Oct 8, 2024",212.75,214.10,211.28,212.66,212.66,0.29%,"297,757"
