date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",50.60,51.72,50.36,51.40,51.40,2.64%,"5,146,205"
"Nov 22, 2024",49.85,50.50,49.68,50.08,50.08,0.02%,"3,408,466"
"Nov 21, 2024",49.41,50.25,49.17,50.07,50.07,0.32%,"3,347,344"
"Nov 20, 2024",49.32,49.94,49.18,49.91,49.91,1.48%,"3,206,034"
"Nov 19, 2024",48.84,49.24,48.43,49.18,49.18,0.08%,"3,360,256"
"Nov 18, 2024",48.01,49.15,47.83,49.14,49.14,2.46%,"4,904,746"
"Nov 15, 2024",48.45,48.79,47.72,47.96,47.96,-1.17%,"6,334,201"
"Nov 14, 2024",49.28,49.44,48.16,48.53,48.53,-2.02%,"7,592,525"
"Nov 13, 2024",49.17,49.58,48.93,49.53,49.53,0.55%,"5,498,568"
"Nov 12, 2024",50.22,50.34,48.88,49.26,49.26,-2.73%,"9,383,976"
"Nov 11, 2024",50.69,51.05,50.22,50.64,50.64,0.52%,"3,694,849"
"Nov 8, 2024",50.55,50.75,49.49,50.38,50.38,-2.10%,"8,699,094"
"Nov 7, 2024",51.34,52.06,51.18,51.46,51.46,1.50%,"6,048,637"
"Nov 6, 2024",50.89,50.89,49.37,50.70,50.70,0.72%,"6,280,207"
"Nov 5, 2024",51.19,51.22,49.95,50.34,50.34,-2.01%,"7,339,241"
"Nov 4, 2024",51.75,51.93,51.16,51.37,51.17,-0.70%,"7,091,694"
"Nov 1, 2024",52.40,53.17,51.70,51.73,51.53,-0.23%,"4,849,214"
"Oct 31, 2024",52.63,52.81,51.83,51.85,51.65,-2.04%,"6,325,402"
"Oct 30, 2024",52.86,53.31,52.76,52.93,52.72,-0.86%,"5,813,542"
"Oct 29, 2024",54.16,54.20,53.38,53.39,53.18,-0.43%,"5,596,851"
"Oct 28, 2024",52.91,53.91,52.91,53.62,53.41,1.63%,"4,213,887"
"Oct 25, 2024",52.63,54.11,52.63,52.76,52.55,0.55%,"7,170,194"
"Oct 24, 2024",52.15,53.40,51.30,52.47,52.26,2.80%,"8,057,294"
"Oct 23, 2024",51.13,51.49,50.82,51.04,50.84,-1.37%,"4,486,863"
"Oct 22, 2024",51.30,51.98,50.97,51.75,51.55,1.13%,"4,714,179"
"Oct 21, 2024",51.33,51.39,50.67,51.17,50.97,-0.74%,"3,430,310"
"Oct 18, 2024",51.50,51.98,51.32,51.55,51.35,1.48%,"3,229,245"
"Oct 17, 2024",51.31,51.44,50.63,50.80,50.60,-1.70%,"4,377,979"
"Oct 16, 2024",51.37,51.89,50.94,51.68,51.48,1.43%,"2,725,254"
"Oct 15, 2024",51.67,51.84,50.82,50.95,50.75,-2.53%,"5,008,836"
"Oct 14, 2024",52.18,52.86,51.63,52.27,52.06,-1.13%,"4,263,473"
"Oct 11, 2024",51.86,53.41,51.75,52.87,52.66,1.65%,"5,721,736"
"Oct 10, 2024",51.94,52.29,51.55,52.01,51.80,0.15%,"3,438,674"
"Oct 9, 2024",50.92,52.15,50.77,51.93,51.72,0.17%,"7,827,292"
"Oct 8, 2024",51.58,52.33,50.79,51.84,51.64,-2.79%,"8,469,808"
"Oct 7, 2024",53.83,54.39,52.72,53.33,53.12,1.43%,"8,817,577"
"Oct 4, 2024",52.76,53.17,52.16,52.58,52.37,1.17%,"6,426,506"
"Oct 3, 2024",50.97,52.06,50.60,51.97,51.76,0.29%,"6,042,122"
"Oct 2, 2024",52.11,53.04,51.58,51.82,51.62,-0.02%,"10,484,839"
"Oct 1, 2024",50.48,52.40,50.48,51.83,51.63,2.96%,"12,142,150"
"Sep 30, 2024",51.37,51.62,49.97,50.34,50.14,-1.53%,"9,420,041"
"Sep 27, 2024",50.00,51.50,49.43,51.12,50.92,5.62%,"16,750,228"
"Sep 26, 2024",48.50,48.75,47.12,48.40,48.21,7.99%,"16,656,500"
"Sep 25, 2024",43.89,44.94,43.48,44.82,44.64,0.99%,"8,223,813"
"Sep 24, 2024",44.40,45.38,44.01,44.38,44.20,5.34%,"10,905,532"
"Sep 23, 2024",42.18,42.85,41.86,42.13,41.96,0.36%,"7,011,731"
"Sep 20, 2024",42.19,42.21,41.59,41.98,41.81,-0.29%,"7,983,586"
"Sep 19, 2024",41.81,42.67,41.71,42.10,41.93,3.21%,"5,322,758"
