date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",77.47,78.36,76.73,76.78,76.78,-0.18%,"2,729,633"
"Nov 22, 2024",76.88,77.82,75.93,76.92,76.92,0.22%,"1,171,726"
"Nov 21, 2024",76.35,77.02,75.44,76.75,76.75,0.84%,"1,266,043"
"Nov 20, 2024",74.85,76.22,74.44,76.11,76.11,1.39%,"1,131,905"
"Nov 19, 2024",76.28,76.28,73.97,75.07,75.07,-2.28%,"1,696,890"
"Nov 18, 2024",75.67,77.36,75.67,76.82,76.82,1.79%,"2,215,153"
"Nov 15, 2024",79.82,80.39,75.26,75.47,75.47,-6.14%,"4,403,248"
"Nov 14, 2024",80.12,80.93,79.33,80.41,80.41,0.42%,"1,750,838"
"Nov 13, 2024",80.44,80.84,79.47,80.07,80.07,-0.41%,"1,393,240"
"Nov 12, 2024",81.10,81.49,79.64,80.40,80.40,-0.73%,"1,420,423"
"Nov 11, 2024",81.55,81.94,80.79,80.99,80.99,-0.26%,"1,197,792"
"Nov 8, 2024",79.99,81.33,79.65,81.20,81.20,1.12%,"1,580,097"
"Nov 7, 2024",79.91,81.29,79.68,80.30,80.30,0.39%,"2,131,651"
"Nov 6, 2024",80.43,81.21,79.57,79.99,79.99,1.04%,"1,886,828"
"Nov 5, 2024",77.63,79.37,77.07,79.17,79.17,2.21%,"1,601,375"
"Nov 4, 2024",77.41,78.04,77.14,77.46,77.46,0.48%,"1,725,632"
"Nov 1, 2024",77.57,78.03,76.95,77.09,77.09,-0.77%,"1,750,176"
"Oct 31, 2024",77.07,78.01,76.92,77.69,77.33,0.57%,"1,861,847"
"Oct 30, 2024",77.41,77.56,76.14,77.25,76.89,-0.21%,"1,749,689"
"Oct 29, 2024",77.27,78.26,76.71,77.41,77.05,-0.31%,"1,960,945"
"Oct 28, 2024",77.15,78.26,76.99,77.65,77.29,0.95%,"1,877,927"
"Oct 25, 2024",77.40,78.01,76.70,76.92,76.56,-0.59%,"2,568,293"
"Oct 24, 2024",77.15,77.72,76.78,77.38,77.02,0.30%,"2,336,223"
"Oct 23, 2024",76.35,77.52,76.01,77.15,76.79,-0.14%,"2,384,940"
"Oct 22, 2024",77.31,77.76,76.46,77.26,76.90,-0.06%,"1,682,258"
"Oct 21, 2024",78.10,78.73,76.54,77.31,76.95,-1.16%,"2,286,646"
"Oct 18, 2024",79.16,79.29,75.16,78.22,77.86,10.17%,"7,982,876"
"Oct 17, 2024",70.11,71.55,70.02,71.00,70.67,1.79%,"2,068,062"
"Oct 16, 2024",71.49,71.73,69.48,69.75,69.43,-2.19%,"3,777,289"
