date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",286.08,289.63,285.80,288.00,288.00,1.31%,"1,808,427"
"Nov 22, 2024",283.33,284.95,282.88,284.29,284.29,0.30%,"990,343"
"Nov 21, 2024",281.92,283.83,280.27,283.44,283.44,1.16%,"944,564"
"Nov 20, 2024",279.55,280.83,278.54,280.18,279.56,0.33%,"938,554"
"Nov 19, 2024",279.30,280.71,276.28,279.27,278.65,-0.77%,"890,495"
"Nov 18, 2024",280.59,282.24,278.05,281.45,280.83,0.96%,"1,734,237"
"Nov 15, 2024",281.99,282.47,277.67,278.78,278.16,-1.15%,"1,751,074"
"Nov 14, 2024",286.48,287.51,281.76,282.02,281.40,-1.55%,"1,396,808"
"Nov 13, 2024",284.69,289.04,284.36,286.47,285.84,0.16%,"1,274,029"
"Nov 12, 2024",285.62,287.00,283.71,286.02,285.39,0.04%,"1,143,262"
"Nov 11, 2024",281.07,286.19,281.07,285.91,285.28,1.82%,"1,895,938"
"Nov 8, 2024",277.81,282.80,277.21,280.80,280.18,1.12%,"1,516,591"
"Nov 7, 2024",276.13,278.50,273.86,277.68,277.06,0.51%,"1,472,662"
"Nov 6, 2024",270.11,277.41,268.49,276.26,275.65,6.39%,"2,148,694"
"Nov 5, 2024",254.08,261.07,254.08,259.66,259.08,1.26%,"1,604,478"
"Nov 4, 2024",255.43,256.69,249.55,256.43,255.86,-1.59%,"2,222,042"
"Nov 1, 2024",258.48,263.39,258.43,260.57,259.99,0.21%,"1,481,686"
"Oct 31, 2024",264.26,265.37,259.92,260.02,259.44,-1.60%,"1,308,428"
"Oct 30, 2024",263.67,265.60,263.25,264.26,263.67,0.14%,"897,851"
"Oct 29, 2024",262.80,265.11,262.28,263.89,263.31,0.51%,"791,538"
"Oct 28, 2024",264.35,264.60,260.68,262.55,261.97,0.16%,"1,127,532"
"Oct 25, 2024",263.31,265.13,261.36,262.12,261.54,0.57%,"1,162,123"
"Oct 24, 2024",259.97,261.82,257.43,260.63,260.05,1.09%,"1,195,081"
"Oct 23, 2024",260.48,263.00,255.48,257.82,257.25,-2.89%,"1,990,316"
"Oct 22, 2024",264.80,265.89,263.35,265.50,264.91,0.20%,"1,198,254"
"Oct 21, 2024",264.49,266.44,263.26,264.97,264.38,-0.24%,"869,066"
"Oct 18, 2024",264.57,266.58,263.08,265.60,265.01,0.39%,"886,768"
"Oct 17, 2024",264.50,265.20,262.29,264.57,263.98,0.76%,"1,163,528"
"Oct 16, 2024",260.43,263.29,259.60,262.57,261.99,0.76%,"709,199"
"Oct 15, 2024",261.37,263.32,259.50,260.58,260.00,-0.37%,"1,252,364"
"Oct 14, 2024",261.22,263.34,260.42,261.56,260.98,-0.41%,"1,139,628"
"Oct 11, 2024",261.23,264.14,261.05,262.63,262.05,0.80%,"1,084,725"
"Oct 10, 2024",260.89,261.92,259.29,260.54,259.96,-0.51%,"1,038,242"
"Oct 9, 2024",256.29,263.02,256.00,261.88,261.30,2.07%,"1,442,671"
"Oct 8, 2024",255.32,257.35,253.53,256.58,256.01,0.56%,"1,207,924"
"Oct 7, 2024",254.00,255.85,253.07,255.16,254.59,0.22%,"2,406,904"
"Oct 4, 2024",253.28,254.84,252.22,254.61,254.05,2.06%,"1,129,513"
"Oct 3, 2024",246.06,249.67,246.01,249.48,248.93,0.27%,"935,640"
"Oct 2, 2024",245.29,249.00,244.85,248.82,248.27,1.11%,"857,615"
"Oct 1, 2024",248.71,249.31,243.10,246.08,245.53,-1.01%,"1,382,540"
"Sep 30, 2024",252.05,253.95,246.46,248.60,248.05,-1.75%,"1,646,374"
"Sep 27, 2024",252.81,254.43,251.67,253.04,252.48,0.93%,"1,238,389"
"Sep 26, 2024",248.17,251.00,246.22,250.71,250.15,2.12%,"1,431,803"
"Sep 25, 2024",247.47,247.62,244.63,245.50,244.96,-0.76%,"951,362"
"Sep 24, 2024",243.02,247.46,242.85,247.38,246.83,2.36%,"1,225,328"
"Sep 23, 2024",244.85,245.13,241.36,241.67,241.13,-1.11%,"1,393,435"
"Sep 20, 2024",243.90,244.74,240.90,244.39,243.85,-0.03%,"3,663,555"
"Sep 19, 2024",242.97,246.02,242.04,244.46,243.92,2.40%,"1,676,231"
"Sep 18, 2024",238.90,241.73,236.80,238.74,238.21,1.33%,"1,539,802"
"Sep 17, 2024",233.73,236.23,232.76,235.61,235.09,1.36%,"1,005,287"
"Sep 16, 2024",233.07,235.75,231.90,232.46,231.94,0.31%,"993,122"
"Sep 13, 2024",231.55,232.56,229.67,231.74,231.23,0.45%,"1,034,102"
"Sep 12, 2024",228.80,230.82,227.59,230.70,230.19,1.48%,"1,044,702"
"Sep 11, 2024",225.67,227.78,221.84,227.33,226.83,0.74%,"1,330,936"
"Sep 10, 2024",227.68,229.00,221.95,225.67,225.17,-1.28%,"1,755,184"
"Sep 9, 2024",228.93,230.95,226.54,228.59,228.08,0.43%,"1,876,853"
"Sep 6, 2024",229.47,232.90,227.16,227.60,227.10,-0.64%,"3,355,319"
"Sep 5, 2024",229.73,230.55,226.86,229.06,228.55,-0.17%,"1,808,762"
"Sep 4, 2024",230.00,230.66,228.11,229.46,228.95,-0.55%,"1,411,186"
