date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",67.75,71.10,67.26,69.85,69.85,4.74%,"11,092,852"
"Nov 22, 2024",65.68,66.89,65.26,66.69,66.69,0.27%,"5,378,239"
"Nov 21, 2024",65.91,66.84,65.23,66.51,66.06,2.13%,"7,146,743"
"Nov 20, 2024",64.11,65.15,63.67,65.12,64.68,0.37%,"8,669,520"
"Nov 19, 2024",64.69,65.24,63.67,64.88,64.44,-0.57%,"9,720,291"
"Nov 18, 2024",63.18,65.32,62.96,65.25,64.81,3.80%,"8,006,029"
"Nov 15, 2024",64.91,65.07,62.63,62.86,62.43,-4.18%,"9,280,916"
"Nov 14, 2024",67.03,67.49,65.48,65.60,65.16,-1.49%,"6,115,152"
"Nov 13, 2024",66.36,67.07,65.56,66.59,66.14,-1.05%,"6,997,531"
"Nov 12, 2024",68.95,69.62,66.08,67.30,66.84,-3.69%,"9,799,750"
"Nov 11, 2024",72.32,72.49,69.00,69.88,69.41,-4.10%,"6,591,232"
"Nov 8, 2024",73.23,73.53,72.08,72.87,72.38,-1.98%,"6,290,308"
"Nov 7, 2024",74.34,75.23,73.62,74.34,73.84,0.80%,"7,232,268"
"Nov 6, 2024",76.30,77.20,72.26,73.75,73.25,-1.78%,"11,382,190"
"Nov 5, 2024",73.66,75.26,73.00,75.09,74.58,0.83%,"8,185,748"
"Nov 4, 2024",74.10,75.61,73.80,74.47,73.97,-0.45%,"4,223,410"
"Nov 1, 2024",73.59,75.27,73.41,74.81,74.30,1.96%,"5,472,977"
"Oct 31, 2024",75.65,75.68,72.67,73.37,72.87,-2.92%,"9,069,525"
"Oct 30, 2024",77.09,78.13,75.49,75.58,75.07,-4.39%,"5,706,784"
"Oct 29, 2024",76.97,79.44,76.69,79.05,78.51,2.40%,"5,456,227"
"Oct 28, 2024",75.80,77.57,75.35,77.20,76.68,1.19%,"3,654,697"
"Oct 25, 2024",76.65,77.55,76.25,76.29,75.77,0.57%,"3,940,337"
"Oct 24, 2024",76.32,76.38,74.82,75.86,75.35,0.78%,"3,920,075"
"Oct 23, 2024",75.79,76.75,74.07,75.27,74.76,-0.21%,"4,102,703"
"Oct 22, 2024",74.60,75.66,74.40,75.43,74.92,0.33%,"4,572,979"
"Oct 21, 2024",76.66,77.07,74.55,75.18,74.67,-2.79%,"4,738,086"
"Oct 18, 2024",77.33,77.65,76.70,77.34,76.82,0.99%,"3,542,186"
"Oct 17, 2024",77.63,77.90,76.44,76.58,76.06,0.91%,"4,849,036"
"Oct 16, 2024",76.65,77.68,75.70,75.89,75.38,0.88%,"4,499,277"
"Oct 15, 2024",78.64,79.18,74.67,75.23,74.72,-4.76%,"7,695,196"
"Oct 14, 2024",78.60,79.22,77.82,78.99,78.46,1.30%,"3,852,859"
"Oct 11, 2024",77.11,78.70,77.00,77.98,77.45,0.83%,"3,811,941"
"Oct 10, 2024",76.82,77.72,76.44,77.34,76.82,-1.09%,"3,832,806"
"Oct 9, 2024",77.00,78.34,76.84,78.19,77.66,1.14%,"4,724,844"
"Oct 8, 2024",76.10,77.64,75.41,77.31,76.79,1.12%,"4,913,235"
"Oct 7, 2024",76.83,77.21,75.69,76.45,75.93,-1.58%,"5,306,347"
"Oct 4, 2024",79.47,79.53,76.81,77.68,77.15,0.45%,"4,228,462"
"Oct 3, 2024",77.38,78.03,76.52,77.33,76.81,-1.14%,"4,483,667"
"Oct 2, 2024",77.75,78.99,76.89,78.22,77.69,0.94%,"5,632,161"
"Oct 1, 2024",79.99,80.33,76.78,77.49,76.97,-3.49%,"6,934,360"
"Sep 30, 2024",79.05,80.42,78.91,80.29,79.75,-0.37%,"5,612,587"
"Sep 27, 2024",80.86,81.64,80.25,80.59,80.04,0.35%,"6,496,167"
"Sep 26, 2024",78.84,80.76,77.28,80.31,79.77,5.52%,"8,061,407"
"Sep 25, 2024",76.67,77.17,75.87,76.11,75.59,-1.79%,"6,082,263"
"Sep 24, 2024",78.09,78.93,77.27,77.50,76.98,0.57%,"4,434,274"
"Sep 23, 2024",76.52,77.33,76.32,77.06,76.54,0.06%,"4,909,249"
"Sep 20, 2024",77.26,77.58,75.81,77.01,76.49,-2.31%,"14,159,500"
"Sep 19, 2024",79.48,80.65,77.89,78.83,78.30,3.23%,"12,211,846"
"Sep 18, 2024",77.64,78.35,76.12,76.36,75.84,-0.83%,"9,379,108"
"Sep 17, 2024",78.25,78.85,76.32,77.00,76.48,-,"4,735,840"
"Sep 16, 2024",76.81,77.48,75.89,77.00,76.48,-0.80%,"3,831,805"
"Sep 13, 2024",76.89,78.00,76.75,77.62,77.09,2.02%,"3,444,754"
"Sep 12, 2024",77.30,77.30,75.42,76.08,75.56,-1.77%,"3,351,556"
"Sep 11, 2024",75.19,77.64,73.60,77.45,76.93,3.01%,"6,678,877"
"Sep 10, 2024",75.12,75.32,73.15,75.19,74.68,-0.29%,"4,748,196"
"Sep 9, 2024",74.95,75.70,74.21,75.41,74.90,1.78%,"5,323,685"
