date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",484.16,494.76,483.34,494.03,494.03,2.78%,"1,203,982"
"Nov 22, 2024",477.93,483.23,477.02,480.66,480.66,0.57%,"435,986"
"Nov 21, 2024",477.50,479.42,474.28,477.92,477.08,0.70%,"723,641"
"Nov 20, 2024",472.54,478.47,463.57,474.59,473.75,1.24%,"934,001"
"Nov 19, 2024",469.52,472.36,467.97,468.78,467.95,-0.67%,"545,048"
"Nov 18, 2024",470.84,473.65,467.81,471.94,471.11,-0.29%,"525,073"
"Nov 15, 2024",478.99,479.71,472.37,473.31,472.47,-1.82%,"653,029"
"Nov 14, 2024",485.36,487.44,480.83,482.09,481.24,0.56%,"857,233"
"Nov 13, 2024",476.35,483.02,475.93,479.42,478.57,0.83%,"911,735"
"Nov 12, 2024",478.16,480.11,474.47,475.48,474.64,-0.62%,"530,579"
"Nov 11, 2024",478.81,480.70,476.35,478.45,477.61,0.27%,"704,340"
"Nov 8, 2024",469.18,479.35,467.60,477.18,476.34,2.49%,"720,016"
"Nov 7, 2024",464.17,466.59,460.74,465.57,464.75,0.96%,"741,114"
"Nov 6, 2024",474.12,476.52,450.44,461.14,460.33,-0.23%,"1,335,465"
"Nov 5, 2024",458.69,462.20,458.41,462.20,461.38,0.83%,"454,828"
"Nov 4, 2024",455.92,458.57,454.17,458.41,457.60,0.45%,"542,115"
"Nov 1, 2024",455.98,459.54,454.94,456.36,455.55,0.51%,"582,578"
"Oct 31, 2024",457.25,459.78,453.95,454.04,453.24,-1.07%,"688,183"
"Oct 30, 2024",459.37,463.27,457.24,458.96,458.15,-0.33%,"565,665"
"Oct 29, 2024",460.00,463.87,458.78,460.50,459.69,-0.35%,"675,007"
"Oct 28, 2024",467.09,468.00,461.31,462.14,461.32,-0.14%,"455,168"
"Oct 25, 2024",468.49,469.71,461.24,462.80,461.98,-0.89%,"481,692"
"Oct 24, 2024",466.01,470.69,463.49,466.94,466.12,-0.41%,"795,956"
"Oct 23, 2024",470.00,473.06,465.58,468.86,468.03,0.24%,"695,030"
"Oct 22, 2024",475.44,475.44,464.50,467.73,466.90,-3.95%,"1,254,281"
"Oct 21, 2024",486.64,489.16,483.97,486.96,486.10,-0.31%,"886,193"
"Oct 18, 2024",487.46,489.01,483.96,488.46,487.60,0.48%,"656,016"
"Oct 17, 2024",490.14,494.20,484.91,486.11,485.25,-0.80%,"703,635"
"Oct 16, 2024",484.95,490.36,482.74,490.04,489.18,0.59%,"587,768"
"Oct 15, 2024",481.00,489.31,481.00,487.18,486.32,1.61%,"752,908"
"Oct 14, 2024",475.05,480.19,474.79,479.44,478.59,0.91%,"459,160"
"Oct 11, 2024",471.58,475.29,471.01,475.11,474.27,1.22%,"527,478"
"Oct 10, 2024",472.00,473.43,467.78,469.40,468.57,-0.77%,"556,157"
"Oct 9, 2024",471.02,474.21,468.82,473.04,472.21,0.43%,"1,086,591"
"Oct 8, 2024",463.68,471.70,462.59,471.00,470.17,2.95%,"1,049,126"
"Oct 7, 2024",461.83,464.00,456.65,457.52,456.71,-0.65%,"1,022,411"
"Oct 4, 2024",469.36,469.59,458.90,460.53,459.72,-1.52%,"1,308,959"
"Oct 3, 2024",471.36,472.00,466.50,467.63,466.81,-0.54%,"576,155"
"Oct 2, 2024",472.21,474.51,468.33,470.19,469.36,-0.26%,"717,562"
"Oct 1, 2024",476.91,476.91,469.00,471.40,470.57,-0.67%,"1,137,549"
"Sep 30, 2024",473.27,476.69,471.44,474.59,473.75,0.23%,"1,366,235"
"Sep 27, 2024",474.48,477.25,473.00,473.49,472.65,-0.11%,"582,637"
"Sep 26, 2024",475.26,477.93,471.26,474.03,473.19,-0.45%,"592,073"
"Sep 25, 2024",480.29,480.80,474.84,476.15,475.31,-0.67%,"545,202"
"Sep 24, 2024",477.40,479.54,472.03,479.38,478.53,0.08%,"810,561"
