date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",64.54,65.10,64.42,64.94,64.94,0.84%,"10,733,802"
"Nov 22, 2024",64.56,65.10,64.03,64.40,64.40,-0.60%,"7,125,277"
"Nov 21, 2024",64.43,64.91,63.95,64.79,64.79,0.57%,"6,971,787"
"Nov 20, 2024",63.86,64.51,63.64,64.42,64.42,0.86%,"5,232,709"
"Nov 19, 2024",63.70,63.97,63.40,63.87,63.87,0.05%,"5,621,715"
"Nov 18, 2024",64.67,64.68,63.72,63.84,63.84,-1.01%,"6,983,698"
"Nov 15, 2024",65.32,65.34,63.91,64.49,64.49,-1.63%,"7,204,038"
"Nov 14, 2024",66.18,66.41,65.48,65.56,65.56,-0.67%,"6,837,737"
"Nov 13, 2024",66.05,66.19,65.37,66.00,66.00,-0.78%,"5,389,181"
"Nov 12, 2024",66.33,66.74,65.80,66.52,66.52,0.64%,"6,304,294"
"Nov 11, 2024",65.70,66.57,65.65,66.10,66.10,-0.15%,"7,972,393"
"Nov 8, 2024",65.72,66.26,65.56,66.20,66.20,0.73%,"4,864,543"
"Nov 7, 2024",66.42,66.58,65.59,65.72,65.72,-0.98%,"6,511,632"
"Nov 6, 2024",69.02,69.19,66.12,66.37,66.37,-3.88%,"9,758,623"
"Nov 5, 2024",68.37,69.20,68.01,69.05,69.05,1.01%,"5,383,773"
"Nov 4, 2024",68.80,68.81,67.75,68.36,68.36,-0.22%,"5,704,387"
"Nov 1, 2024",68.76,68.97,68.22,68.51,68.51,0.04%,"6,470,448"
"Oct 31, 2024",69.65,69.85,68.46,68.48,68.48,-1.88%,"7,207,838"
"Oct 30, 2024",68.31,70.16,67.80,69.79,69.79,0.93%,"10,475,181"
"Oct 29, 2024",69.25,69.71,69.07,69.15,69.15,-0.56%,"8,407,609"
"Oct 28, 2024",69.41,70.05,69.02,69.54,69.54,0.45%,"4,821,898"
"Oct 25, 2024",70.05,70.31,69.17,69.23,69.23,-1.03%,"6,176,667"
"Oct 24, 2024",70.30,70.80,69.92,69.95,69.95,-0.86%,"4,756,803"
"Oct 23, 2024",70.88,71.33,70.52,70.56,70.56,-1.11%,"6,588,680"
"Oct 22, 2024",70.25,71.39,70.05,71.35,71.35,1.31%,"5,687,550"
"Oct 21, 2024",71.50,71.82,70.40,70.43,70.43,-1.61%,"4,811,746"
