date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",86.50,86.83,84.77,85.75,85.75,-0.53%,"10,635,955"
"Nov 22, 2024",84.79,86.30,84.62,86.21,86.21,1.73%,"6,532,130"
"Nov 21, 2024",84.20,85.13,83.92,84.74,84.74,0.75%,"5,699,821"
"Nov 20, 2024",84.73,84.98,83.55,84.11,84.11,-1.05%,"7,389,082"
"Nov 19, 2024",86.00,86.48,84.50,85.00,85.00,-2.96%,"12,000,798"
"Nov 18, 2024",87.50,88.72,87.00,87.59,87.59,0.07%,"10,341,890"
"Nov 15, 2024",85.47,87.57,85.01,87.53,87.53,1.78%,"7,952,317"
"Nov 14, 2024",87.70,88.15,85.90,86.00,86.00,-2.24%,"7,956,078"
"Nov 13, 2024",87.99,88.26,87.50,87.97,87.97,-0.37%,"8,338,962"
"Nov 12, 2024",88.23,88.82,87.80,88.30,88.30,0.03%,"7,202,797"
"Nov 11, 2024",88.21,88.82,87.75,88.27,88.27,0.63%,"4,544,773"
"Nov 8, 2024",88.36,88.69,87.57,87.72,87.72,-0.45%,"8,137,674"
"Nov 7, 2024",89.49,89.50,87.70,88.12,88.12,-2.21%,"7,077,445"
"Nov 6, 2024",91.87,92.03,88.90,90.11,90.11,0.48%,"6,282,042"
"Nov 5, 2024",89.05,89.69,88.61,89.68,89.68,0.41%,"4,578,164"
"Nov 4, 2024",90.03,90.52,89.22,89.31,89.31,-0.84%,"4,513,845"
"Nov 1, 2024",89.83,91.00,89.26,90.07,90.07,0.92%,"5,052,408"
"Oct 31, 2024",89.83,89.93,88.99,89.25,89.25,-1.38%,"6,955,679"
"Oct 30, 2024",89.98,91.80,89.95,90.50,90.50,0.20%,"5,325,699"
"Oct 29, 2024",90.37,91.43,90.31,90.32,90.32,-0.31%,"7,279,759"
"Oct 28, 2024",90.68,91.35,90.55,90.60,90.60,0.01%,"4,241,980"
"Oct 25, 2024",91.14,91.60,90.13,90.59,90.59,-0.44%,"3,446,977"
"Oct 24, 2024",92.49,92.68,90.94,90.99,90.99,-1.39%,"3,813,834"
"Oct 23, 2024",90.74,92.39,90.68,92.27,92.27,1.26%,"6,842,268"
"Oct 22, 2024",90.70,91.34,89.98,91.12,91.12,0.10%,"4,400,400"
"Oct 21, 2024",92.00,92.05,90.78,91.03,91.03,-1.31%,"4,411,573"
"Oct 18, 2024",89.97,92.25,89.84,92.24,92.24,2.73%,"7,355,589"
"Oct 17, 2024",90.15,90.15,89.63,89.79,89.79,-0.22%,"5,392,852"
"Oct 16, 2024",89.82,90.24,89.49,89.99,89.99,0.17%,"3,773,313"
"Oct 15, 2024",90.05,90.50,89.44,89.84,89.84,-0.19%,"4,173,757"
"Oct 14, 2024",89.53,90.06,89.15,90.01,90.01,0.73%,"3,849,199"
"Oct 11, 2024",88.98,89.59,88.91,89.36,89.36,0.57%,"4,482,912"
"Oct 10, 2024",89.26,89.44,88.79,88.85,88.85,0.57%,"3,219,927"
"Oct 9, 2024",87.96,88.44,87.67,88.35,88.35,0.24%,"2,773,514"
"Oct 8, 2024",87.32,88.56,87.23,88.14,88.14,1.26%,"4,608,836"
"Oct 7, 2024",87.86,87.98,86.88,87.04,87.04,-1.38%,"3,794,463"
"Oct 4, 2024",87.96,88.29,87.21,88.26,88.26,0.56%,"3,598,594"
"Oct 3, 2024",89.02,89.24,87.66,87.77,87.77,-1.51%,"3,435,187"
"Oct 2, 2024",89.54,89.69,88.99,89.12,89.12,-0.98%,"4,438,984"
"Oct 1, 2024",90.25,90.35,89.21,90.00,90.00,-0.03%,"4,907,093"
"Sep 30, 2024",89.48,90.10,89.02,90.03,90.03,0.79%,"4,784,911"
"Sep 27, 2024",89.36,90.02,89.11,89.32,89.32,-0.15%,"5,232,492"
"Sep 26, 2024",89.08,89.57,88.51,89.45,88.75,0.07%,"6,320,985"
"Sep 25, 2024",90.17,90.40,89.19,89.39,88.70,-0.41%,"3,944,437"
"Sep 24, 2024",89.73,90.29,89.15,89.76,89.06,-0.11%,"7,657,662"
"Sep 23, 2024",89.54,90.05,89.01,89.86,89.16,0.58%,"6,324,621"
"Sep 20, 2024",89.48,89.59,88.74,89.34,88.65,-0.15%,"25,452,927"
"Sep 19, 2024",88.69,89.95,88.55,89.47,88.77,1.52%,"9,374,681"
"Sep 18, 2024",88.03,88.51,87.67,88.13,87.45,-0.56%,"7,691,433"
"Sep 17, 2024",90.00,90.24,88.04,88.63,87.94,-1.64%,"7,012,291"
"Sep 16, 2024",90.00,90.24,89.44,90.11,89.41,0.12%,"5,620,395"
"Sep 13, 2024",90.06,90.52,89.89,90.00,89.30,-,"5,209,364"
"Sep 12, 2024",90.26,90.56,89.20,90.00,89.30,-0.39%,"4,856,481"
"Sep 11, 2024",90.67,90.67,88.82,90.35,89.65,-0.70%,"5,805,980"
"Sep 10, 2024",90.76,91.12,90.20,90.99,90.28,0.41%,"5,628,083"
"Sep 9, 2024",90.00,91.15,89.88,90.62,89.92,0.81%,"8,642,962"
"Sep 6, 2024",89.72,90.54,89.30,89.89,89.19,0.56%,"7,116,627"
"Sep 5, 2024",91.16,91.18,89.10,89.39,88.70,-1.80%,"7,007,382"
"Sep 4, 2024",88.80,91.49,88.80,91.03,90.32,2.33%,"7,550,836"
"Sep 3, 2024",88.27,89.36,88.07,88.96,88.27,0.43%,"4,745,317"
"Aug 30, 2024",88.33,88.60,87.23,88.58,87.89,0.44%,"7,940,126"
"Aug 29, 2024",88.89,88.94,88.02,88.19,87.50,-0.16%,"5,024,526"
"Aug 28, 2024",88.97,89.14,87.95,88.33,87.64,-0.53%,"5,230,635"
"Aug 27, 2024",89.56,89.72,88.08,88.80,88.11,-0.60%,"4,174,736"
"Aug 26, 2024",88.60,90.13,88.12,89.34,88.65,1.12%,"5,948,360"
"Aug 23, 2024",88.26,88.50,87.71,88.35,87.66,0.59%,"4,843,533"
"Aug 22, 2024",87.91,89.24,87.55,87.83,87.15,0.33%,"8,429,821"
"Aug 21, 2024",85.93,87.57,85.87,87.54,86.86,2.53%,"10,608,513"
"Aug 20, 2024",84.00,87.70,83.28,85.38,84.72,0.66%,"10,841,595"
"Aug 19, 2024",84.68,85.29,84.49,84.82,84.16,0.26%,"7,492,752"
"Aug 16, 2024",84.03,84.74,83.80,84.60,83.94,1.14%,"5,374,797"
"Aug 15, 2024",82.56,84.03,82.17,83.65,83.00,2.34%,"6,743,480"
"Aug 14, 2024",81.42,81.86,80.78,81.74,81.10,-0.64%,"5,612,856"
"Aug 13, 2024",81.41,82.37,81.11,82.27,81.63,1.33%,"3,704,777"
"Aug 12, 2024",82.03,82.06,80.81,81.19,80.56,-1.04%,"4,502,246"
"Aug 9, 2024",82.28,82.40,81.50,82.04,81.40,-0.21%,"3,094,299"
"Aug 8, 2024",81.23,82.62,80.91,82.21,81.57,1.38%,"4,088,206"
"Aug 7, 2024",80.81,82.74,80.55,81.09,80.46,0.38%,"5,596,608"
"Aug 6, 2024",80.46,81.68,79.92,80.78,80.15,0.56%,"5,514,028"
"Aug 5, 2024",80.82,81.81,80.21,80.33,79.71,-1.45%,"7,503,446"
"Aug 2, 2024",81.04,81.89,80.32,81.51,80.88,1.27%,"5,057,940"
"Aug 1, 2024",80.69,81.09,79.38,80.49,79.86,0.21%,"4,873,077"
"Jul 31, 2024",80.36,80.99,78.97,80.32,79.70,-0.61%,"7,573,272"
"Jul 30, 2024",79.72,81.00,79.70,80.81,80.18,1.01%,"6,568,358"
"Jul 29, 2024",79.00,80.39,78.60,80.00,79.38,1.65%,"6,551,527"
"Jul 26, 2024",78.62,79.45,78.32,78.70,78.09,0.31%,"4,574,693"
"Jul 25, 2024",79.63,81.46,78.40,78.46,77.85,-1.89%,"6,356,996"
"Jul 24, 2024",79.58,80.36,78.93,79.97,79.35,0.72%,"5,658,574"
"Jul 23, 2024",79.45,79.66,78.81,79.40,78.78,0.13%,"5,022,949"
"Jul 22, 2024",79.55,80.08,79.08,79.30,78.68,-0.23%,"5,904,536"
"Jul 19, 2024",81.58,81.67,79.41,79.48,78.86,-2.13%,"9,292,752"
"Jul 18, 2024",80.45,83.63,80.08,81.21,80.58,-0.06%,"8,427,750"
"Jul 17, 2024",77.95,81.56,77.94,81.26,80.63,4.05%,"9,848,124"
"Jul 16, 2024",77.04,78.20,76.68,78.10,77.49,1.32%,"6,811,206"
"Jul 15, 2024",77.82,78.01,76.96,77.08,76.48,-1.12%,"4,497,792"
"Jul 12, 2024",78.20,78.66,77.82,77.95,77.34,-0.15%,"5,661,443"
"Jul 11, 2024",77.43,78.21,77.19,78.07,77.46,1.31%,"6,226,298"
"Jul 10, 2024",76.84,77.09,76.33,77.06,76.46,0.23%,"6,736,475"
"Jul 9, 2024",76.84,76.99,75.96,76.88,76.28,0.05%,"6,145,101"
"Jul 8, 2024",77.43,77.60,76.58,76.84,76.24,-0.99%,"5,606,455"
