date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",86.90,87.64,86.63,87.34,87.34,0.87%,"4,118,790"
"Nov 22, 2024",85.09,86.79,84.79,86.59,86.59,1.64%,"3,270,131"
"Nov 21, 2024",83.16,85.43,83.00,85.19,85.19,3.14%,"3,678,183"
"Nov 20, 2024",83.12,83.25,82.21,82.60,82.60,-0.04%,"2,513,405"
"Nov 19, 2024",82.31,83.01,81.59,82.63,82.63,-0.89%,"2,402,851"
"Nov 18, 2024",83.34,83.79,83.04,83.37,83.37,0.05%,"1,883,361"
"Nov 15, 2024",82.43,83.81,82.43,83.33,83.33,0.88%,"4,393,104"
"Nov 14, 2024",82.55,83.48,82.29,82.60,82.60,0.71%,"2,737,568"
"Nov 13, 2024",82.11,82.86,81.95,82.02,82.02,-0.22%,"2,366,595"
"Nov 12, 2024",81.80,82.57,81.71,82.20,82.20,0.53%,"2,449,800"
"Nov 11, 2024",81.57,83.15,81.57,81.77,81.77,0.93%,"3,988,462"
"Nov 8, 2024",81.47,81.56,80.28,81.02,81.02,-,"3,643,221"
"Nov 7, 2024",82.38,83.28,80.96,81.02,81.02,-2.68%,"4,769,461"
"Nov 6, 2024",82.00,83.91,81.43,83.25,83.25,6.53%,"9,211,521"
"Nov 5, 2024",78.16,78.88,77.44,78.15,78.15,-0.52%,"3,020,648"
"Nov 4, 2024",78.68,78.89,78.05,78.56,78.02,0.17%,"2,427,503"
"Nov 1, 2024",78.45,79.73,78.24,78.43,77.89,0.01%,"2,661,028"
"Oct 31, 2024",76.57,79.17,76.08,78.42,77.88,-5.72%,"7,360,567"
"Oct 30, 2024",83.05,83.95,82.81,83.18,82.60,0.42%,"2,737,719"
"Oct 29, 2024",82.73,83.64,82.63,82.83,82.26,-0.31%,"3,121,027"
"Oct 28, 2024",83.21,83.67,82.97,83.09,82.52,0.85%,"2,698,387"
"Oct 25, 2024",84.54,84.55,82.03,82.39,81.82,-2.34%,"3,114,659"
"Oct 24, 2024",84.26,84.49,83.82,84.36,83.78,0.27%,"1,679,876"
"Oct 23, 2024",84.41,84.61,83.70,84.13,83.55,-0.73%,"1,687,566"
"Oct 22, 2024",84.72,85.05,83.98,84.75,84.16,-0.11%,"1,904,879"
"Oct 21, 2024",85.33,85.53,84.65,84.84,84.25,-0.56%,"2,592,345"
"Oct 18, 2024",85.88,85.96,84.93,85.32,84.73,-0.43%,"2,359,297"
"Oct 17, 2024",85.85,86.03,85.30,85.69,85.10,0.60%,"1,969,369"
"Oct 16, 2024",85.85,86.33,84.90,85.18,84.59,-0.56%,"2,828,551"
"Oct 15, 2024",86.10,86.95,85.53,85.66,85.07,-0.26%,"2,446,273"
"Oct 14, 2024",85.57,85.97,85.19,85.88,85.29,0.43%,"1,459,841"
"Oct 11, 2024",84.50,85.97,84.50,85.51,84.92,1.76%,"2,587,129"
"Oct 10, 2024",84.70,84.95,83.84,84.03,83.45,-0.60%,"3,128,661"
"Oct 9, 2024",83.30,85.07,82.94,84.54,83.96,1.51%,"4,216,420"
"Oct 8, 2024",83.49,83.76,82.74,83.28,82.70,0.34%,"2,572,510"
"Oct 7, 2024",83.95,83.99,82.75,83.00,82.43,-1.24%,"3,624,390"
"Oct 4, 2024",82.89,84.26,82.67,84.04,83.46,3.42%,"4,905,746"
"Oct 3, 2024",81.56,81.81,80.46,81.26,80.70,-0.65%,"2,082,777"
"Oct 2, 2024",81.94,82.89,81.68,81.79,81.22,0.01%,"1,879,128"
"Oct 1, 2024",82.15,82.35,80.70,81.78,81.21,-0.85%,"2,380,559"
"Sep 30, 2024",82.47,82.72,81.66,82.48,81.91,-,"2,587,724"
