date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",56.92,57.20,56.40,56.75,56.75,0.04%,"13,567,738"
"Nov 22, 2024",56.25,56.84,56.24,56.73,56.73,1.25%,"6,617,637"
"Nov 21, 2024",55.99,56.48,55.72,56.03,56.03,0.09%,"5,333,623"
"Nov 20, 2024",55.98,56.07,55.41,55.98,55.98,0.21%,"5,716,335"
"Nov 19, 2024",56.29,56.49,55.83,55.86,55.86,-0.85%,"6,915,825"
"Nov 18, 2024",56.03,56.55,55.98,56.34,56.34,0.73%,"8,719,203"
"Nov 15, 2024",55.55,56.32,55.53,55.93,55.93,0.97%,"8,201,730"
"Nov 14, 2024",54.80,55.62,54.50,55.39,55.39,0.25%,"6,815,200"
"Nov 13, 2024",54.72,55.40,54.40,55.25,55.25,1.49%,"7,233,701"
"Nov 12, 2024",54.07,54.72,53.78,54.44,54.44,0.95%,"8,101,155"
"Nov 11, 2024",54.11,54.79,53.82,53.93,53.93,-0.22%,"5,610,426"
"Nov 8, 2024",53.54,54.27,53.50,54.05,54.05,0.95%,"5,712,292"
"Nov 7, 2024",54.33,54.46,53.43,53.54,53.54,-1.38%,"6,368,443"
"Nov 6, 2024",54.58,55.05,54.08,54.29,54.29,0.18%,"8,953,099"
"Nov 5, 2024",53.80,54.30,53.59,54.19,54.19,0.58%,"5,864,084"
"Nov 4, 2024",53.93,54.05,53.57,53.88,53.88,0.02%,"7,831,908"
"Nov 1, 2024",54.46,54.60,53.74,53.87,53.87,-1.08%,"10,986,246"
"Oct 31, 2024",51.38,54.84,51.34,54.46,54.46,7.84%,"25,560,621"
"Oct 30, 2024",49.90,50.67,49.88,50.50,50.50,1.10%,"11,067,495"
"Oct 29, 2024",50.02,50.43,49.95,49.95,49.95,-0.60%,"8,017,282"
"Oct 28, 2024",49.75,50.38,49.73,50.25,50.25,1.09%,"6,314,726"
"Oct 25, 2024",49.99,50.11,49.59,49.71,49.71,-0.46%,"5,325,545"
"Oct 24, 2024",49.89,50.16,49.68,49.94,49.94,0.28%,"4,282,076"
"Oct 23, 2024",50.00,50.05,49.60,49.80,49.80,-0.52%,"5,520,336"
"Oct 22, 2024",49.44,50.12,49.16,50.06,50.06,2.04%,"6,087,256"
"Oct 21, 2024",49.62,49.69,48.98,49.06,49.06,-1.11%,"5,011,523"
"Oct 18, 2024",49.68,49.72,48.86,49.61,49.61,-0.26%,"7,148,405"
"Oct 17, 2024",50.08,50.31,49.68,49.74,49.74,-0.84%,"6,263,941"
"Oct 16, 2024",49.97,50.38,49.87,50.16,50.16,0.52%,"4,928,655"
"Oct 15, 2024",50.00,50.34,49.73,49.90,49.90,0.08%,"5,140,767"
"Oct 14, 2024",49.75,49.89,49.33,49.86,49.86,0.04%,"5,696,273"
"Oct 11, 2024",49.90,49.99,49.56,49.84,49.84,0.32%,"4,542,807"
"Oct 10, 2024",50.49,50.75,49.57,49.68,49.68,-1.09%,"8,847,868"
"Oct 9, 2024",49.66,50.34,49.61,50.23,50.23,1.37%,"7,375,703"
"Oct 8, 2024",49.98,50.15,49.46,49.55,49.55,-0.74%,"5,272,015"
"Oct 7, 2024",50.10,50.14,49.69,49.92,49.92,-0.36%,"6,276,359"
"Oct 4, 2024",49.70,50.12,49.60,50.10,50.10,0.24%,"7,410,989"
"Oct 3, 2024",50.50,50.51,49.68,49.98,49.98,-1.21%,"6,877,620"
"Oct 2, 2024",50.90,50.93,50.36,50.59,50.59,-0.67%,"7,721,727"
"Oct 1, 2024",51.06,51.33,50.77,50.93,50.93,-0.22%,"7,243,940"
"Sep 30, 2024",51.17,51.36,50.56,51.04,51.04,-0.02%,"10,018,213"
"Sep 27, 2024",51.20,51.37,51.01,51.05,51.05,-0.08%,"4,602,443"
"Sep 26, 2024",50.79,51.44,50.73,51.09,51.09,0.10%,"6,264,470"
"Sep 25, 2024",51.44,51.47,50.93,51.04,51.04,-0.29%,"7,148,017"
"Sep 24, 2024",50.79,51.38,50.64,51.19,51.19,0.33%,"7,712,696"
"Sep 23, 2024",50.40,51.20,50.30,51.02,51.02,1.25%,"10,945,043"
"Sep 20, 2024",50.25,50.40,49.92,50.39,50.39,0.32%,"22,650,482"
"Sep 19, 2024",50.62,50.74,50.07,50.23,50.23,-0.79%,"10,464,395"
"Sep 18, 2024",50.50,51.05,50.38,50.63,50.63,0.26%,"7,778,424"
"Sep 17, 2024",51.47,51.59,50.43,50.50,50.50,-2.32%,"10,897,514"
"Sep 16, 2024",52.04,52.30,51.62,51.70,51.70,-2.38%,"11,012,249"
"Sep 13, 2024",52.80,52.97,52.58,52.96,51.94,0.61%,"7,963,225"
"Sep 12, 2024",53.01,53.22,52.52,52.64,51.62,-1.00%,"7,326,687"
"Sep 11, 2024",53.96,53.96,52.53,53.17,52.14,-1.68%,"7,794,744"
"Sep 10, 2024",54.11,54.29,53.84,54.08,53.03,-0.09%,"6,122,520"
"Sep 9, 2024",53.70,54.20,53.60,54.13,53.08,0.82%,"8,153,966"
"Sep 6, 2024",54.27,54.54,53.56,53.69,52.65,-1.07%,"8,207,736"
"Sep 5, 2024",54.88,54.95,54.20,54.27,53.22,-0.80%,"8,077,386"
"Sep 4, 2024",54.24,54.76,54.18,54.71,53.65,1.18%,"7,595,824"
"Sep 3, 2024",53.78,54.48,53.74,54.07,53.02,0.56%,"10,687,974"
"Aug 30, 2024",53.45,53.82,53.25,53.77,52.73,0.77%,"8,010,061"
"Aug 29, 2024",53.31,53.47,53.09,53.36,52.33,0.26%,"5,264,974"
"Aug 28, 2024",53.15,53.53,52.99,53.22,52.19,0.40%,"6,794,390"
"Aug 27, 2024",52.91,53.03,52.62,53.01,51.98,0.57%,"4,705,264"
"Aug 26, 2024",52.51,53.08,52.45,52.71,51.69,0.51%,"8,068,306"
"Aug 23, 2024",51.98,52.46,51.75,52.44,51.43,1.18%,"9,149,219"
"Aug 22, 2024",51.89,51.94,51.47,51.83,50.83,0.04%,"6,982,822"
"Aug 21, 2024",51.54,51.86,51.44,51.81,50.81,0.72%,"6,169,448"
"Aug 20, 2024",51.33,51.70,51.20,51.44,50.45,0.23%,"7,306,725"
"Aug 19, 2024",51.38,51.56,51.21,51.32,50.33,-,"6,500,465"
"Aug 16, 2024",50.78,51.36,50.70,51.32,50.33,1.14%,"7,722,716"
"Aug 15, 2024",51.25,51.36,50.63,50.74,49.76,-0.88%,"8,382,523"
"Aug 14, 2024",50.99,51.40,50.84,51.19,50.20,0.16%,"6,000,611"
"Aug 13, 2024",50.34,51.16,50.34,51.11,50.12,1.59%,"6,652,443"
"Aug 12, 2024",50.44,50.74,50.15,50.31,49.34,-0.24%,"5,941,065"
"Aug 9, 2024",50.36,50.66,50.26,50.43,49.45,-0.04%,"5,449,755"
"Aug 8, 2024",49.73,50.81,49.73,50.45,49.47,0.84%,"7,662,130"
"Aug 7, 2024",49.58,50.68,49.54,50.03,49.06,1.11%,"10,292,075"
"Aug 6, 2024",49.32,50.13,49.30,49.48,48.52,0.26%,"8,012,003"
"Aug 5, 2024",49.99,50.78,49.01,49.35,48.40,-3.37%,"14,335,789"
"Aug 2, 2024",50.39,51.40,49.88,51.07,50.08,2.10%,"12,662,503"
"Aug 1, 2024",49.61,50.04,49.40,50.02,49.05,2.06%,"9,974,933"
"Jul 31, 2024",48.40,49.05,47.57,49.01,48.06,-3.05%,"19,165,992"
"Jul 30, 2024",50.38,50.85,50.27,50.55,49.57,0.04%,"8,662,989"
"Jul 29, 2024",50.35,50.73,49.99,50.53,49.55,0.20%,"6,272,577"
"Jul 26, 2024",49.80,50.47,49.55,50.43,49.45,1.27%,"6,995,663"
"Jul 25, 2024",49.73,50.47,49.60,49.80,48.84,0.77%,"10,341,074"
"Jul 24, 2024",49.19,49.54,48.71,49.42,48.46,0.61%,"8,777,194"
"Jul 23, 2024",49.49,49.73,49.00,49.12,48.17,-0.57%,"6,919,286"
"Jul 22, 2024",49.41,49.56,49.04,49.40,48.44,-0.10%,"5,103,222"
"Jul 19, 2024",49.61,49.64,49.27,49.45,48.49,0.24%,"5,776,517"
"Jul 18, 2024",49.05,49.92,48.94,49.33,48.38,-0.12%,"6,788,472"
"Jul 17, 2024",48.13,49.47,48.13,49.39,48.43,2.83%,"10,040,100"
"Jul 16, 2024",47.85,48.18,47.66,48.03,47.10,0.65%,"6,205,367"
"Jul 15, 2024",47.80,48.06,47.53,47.72,46.80,-0.02%,"8,733,954"
"Jul 12, 2024",47.20,47.83,47.11,47.73,46.81,1.38%,"7,337,353"
"Jul 11, 2024",46.80,47.14,46.60,47.08,46.17,0.32%,"7,441,713"
"Jul 10, 2024",46.87,47.21,46.54,46.93,46.02,0.49%,"9,584,616"
"Jul 9, 2024",46.03,46.99,46.02,46.70,45.80,1.48%,"9,398,482"
"Jul 8, 2024",46.10,46.37,45.87,46.02,45.13,-0.17%,"5,318,814"
