date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",293.64,300.55,292.28,297.97,297.97,2.47%,"1,250,785"
"Nov 22, 2024",296.20,297.33,287.66,290.79,290.79,-1.78%,"708,298"
"Nov 21, 2024",293.64,298.89,288.05,296.07,296.07,0.49%,"727,739"
"Nov 20, 2024",284.40,294.81,283.50,294.64,294.64,4.30%,"705,629"
"Nov 19, 2024",290.00,292.04,281.95,282.50,282.50,-3.32%,"800,496"
"Nov 18, 2024",293.81,296.40,289.81,292.19,292.19,-0.73%,"929,110"
"Nov 15, 2024",306.22,308.26,292.62,294.34,294.34,-3.81%,"712,051"
"Nov 14, 2024",310.45,316.40,303.32,306.00,306.00,-1.07%,"676,212"
"Nov 13, 2024",319.30,320.70,307.59,309.30,309.30,-3.01%,"954,228"
"Nov 12, 2024",325.49,329.76,316.32,318.91,318.91,-2.95%,"653,205"
"Nov 11, 2024",333.87,333.87,326.39,328.59,328.59,-0.32%,"714,838"
"Nov 8, 2024",337.25,342.52,328.09,329.65,329.65,-2.38%,"1,009,526"
"Nov 7, 2024",328.18,339.59,326.47,337.69,337.69,3.52%,"578,758"
"Nov 6, 2024",308.36,334.62,307.00,326.20,326.20,-2.16%,"1,319,186"
"Nov 5, 2024",330.01,333.58,325.92,333.39,333.39,0.83%,"443,010"
"Nov 4, 2024",329.00,334.97,325.62,330.66,330.66,1.20%,"636,133"
"Nov 1, 2024",321.77,329.27,320.90,326.75,326.75,1.72%,"601,396"
"Oct 31, 2024",325.29,327.07,321.12,321.22,321.22,-0.92%,"478,944"
"Oct 30, 2024",322.49,330.51,321.44,324.19,324.19,0.33%,"508,553"
"Oct 29, 2024",314.36,324.10,314.00,323.13,323.13,2.52%,"868,079"
"Oct 28, 2024",326.74,326.74,315.12,315.20,315.20,-3.18%,"834,447"
"Oct 25, 2024",324.74,342.54,324.74,325.54,325.54,0.60%,"1,579,538"
"Oct 24, 2024",325.00,341.99,318.05,323.59,323.59,17.67%,"2,770,504"
"Oct 23, 2024",286.07,287.28,272.69,275.00,275.00,-3.16%,"1,662,230"
"Oct 22, 2024",286.00,286.97,282.19,283.96,283.96,-0.92%,"1,008,486"
"Oct 21, 2024",289.22,290.66,285.76,286.60,286.60,-1.08%,"948,203"
"Oct 18, 2024",288.50,290.77,287.01,289.72,289.72,0.09%,"944,165"
"Oct 17, 2024",295.00,299.08,285.00,289.46,289.46,-12.55%,"2,381,923"
"Oct 16, 2024",321.51,331.15,321.09,331.00,331.00,2.49%,"492,914"
"Oct 15, 2024",330.00,335.09,322.53,322.95,322.95,-5.05%,"753,987"
"Oct 14, 2024",330.82,342.24,330.00,340.12,340.12,3.03%,"537,588"
"Oct 11, 2024",325.39,333.02,325.39,330.12,330.12,1.44%,"381,556"
"Oct 10, 2024",331.01,331.01,325.19,325.43,325.43,-1.47%,"235,162"
"Oct 9, 2024",326.31,331.04,326.31,330.30,330.30,1.65%,"320,400"
"Oct 8, 2024",327.50,327.50,323.29,324.93,324.93,-0.10%,"261,731"
"Oct 7, 2024",329.62,330.60,324.93,325.26,325.26,-1.64%,"392,424"
"Oct 4, 2024",331.67,334.00,329.06,330.67,330.67,-0.21%,"252,930"
"Oct 3, 2024",332.07,332.07,326.25,331.36,331.36,-0.13%,"316,701"
"Oct 2, 2024",341.03,341.03,330.54,331.80,331.80,-2.96%,"541,312"
"Oct 1, 2024",345.89,347.02,341.44,341.91,341.91,-0.77%,"272,083"
"Sep 30, 2024",341.57,346.36,339.97,344.56,344.56,0.79%,"411,622"
"Sep 27, 2024",340.53,344.80,339.30,341.86,341.86,0.99%,"389,637"
"Sep 26, 2024",344.16,345.36,337.30,338.52,338.52,-1.74%,"441,607"
"Sep 25, 2024",348.74,348.74,341.87,344.50,344.50,-0.52%,"324,408"
"Sep 24, 2024",346.04,348.83,344.89,346.29,346.29,-0.49%,"414,465"
"Sep 23, 2024",351.48,352.49,347.53,347.98,347.98,-0.98%,"418,658"
"Sep 20, 2024",349.63,353.35,347.62,351.42,351.42,0.43%,"588,217"
"Sep 19, 2024",358.52,359.48,349.21,349.91,349.91,-1.48%,"395,903"
"Sep 18, 2024",352.97,359.04,350.98,355.15,355.15,0.59%,"338,254"
