date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",26.11,26.44,26.01,26.23,26.23,0.77%,"6,762,147"
"Nov 22, 2024",25.93,26.25,25.79,26.03,26.03,-0.08%,"3,653,621"
"Nov 21, 2024",25.55,26.14,25.48,26.05,26.05,2.40%,"4,545,184"
"Nov 20, 2024",25.25,25.59,25.18,25.44,25.44,0.20%,"5,157,421"
"Nov 19, 2024",25.50,25.78,25.38,25.39,25.39,-1.63%,"3,299,415"
"Nov 18, 2024",26.34,26.46,25.71,25.81,25.81,-2.16%,"3,066,929"
"Nov 15, 2024",26.74,26.97,26.36,26.38,26.38,0.23%,"3,414,113"
"Nov 14, 2024",26.00,26.40,25.66,26.32,26.32,0.77%,"3,367,956"
"Nov 13, 2024",25.86,26.78,25.79,26.12,26.12,1.01%,"5,096,062"
"Nov 12, 2024",27.59,27.81,25.30,25.86,25.86,-7.74%,"7,630,251"
"Nov 11, 2024",27.69,28.29,27.60,28.03,28.03,1.08%,"3,445,185"
"Nov 8, 2024",28.02,28.08,27.39,27.73,27.73,-2.15%,"3,728,077"
"Nov 7, 2024",27.81,28.55,27.56,28.34,28.34,2.72%,"5,269,771"
"Nov 6, 2024",28.53,28.83,27.00,27.59,27.59,-1.75%,"5,560,773"
"Nov 5, 2024",27.86,28.29,27.50,28.08,28.08,-0.88%,"3,095,175"
"Nov 4, 2024",28.39,29.20,28.26,28.33,28.33,5.36%,"7,448,568"
"Nov 1, 2024",26.83,27.29,26.70,26.89,26.89,0.49%,"2,132,178"
"Oct 31, 2024",27.34,27.48,26.76,26.76,26.76,-1.51%,"3,314,660"
"Oct 30, 2024",26.74,27.40,26.73,27.17,27.17,1.80%,"3,044,576"
"Oct 29, 2024",27.21,27.39,26.67,26.69,26.69,-2.06%,"2,975,143"
"Oct 28, 2024",26.92,27.32,26.78,27.25,27.25,1.15%,"2,805,363"
"Oct 25, 2024",26.98,27.41,26.85,26.94,26.94,0.86%,"3,651,031"
"Oct 24, 2024",26.70,26.81,25.99,26.71,26.71,0.91%,"4,805,339"
"Oct 23, 2024",26.18,26.60,26.18,26.47,26.47,0.11%,"3,377,427"
"Oct 22, 2024",26.02,26.47,25.71,26.44,26.44,1.61%,"2,152,555"
"Oct 21, 2024",26.34,26.39,25.83,26.02,26.02,-0.91%,"2,155,638"
"Oct 18, 2024",26.24,26.55,26.12,26.26,26.26,1.12%,"3,322,861"
"Oct 17, 2024",25.80,25.97,25.51,25.97,25.97,-0.35%,"3,606,394"
"Oct 16, 2024",25.73,26.22,25.66,26.06,26.06,2.08%,"3,569,497"
"Oct 15, 2024",25.92,26.09,25.50,25.53,25.53,-2.37%,"3,849,446"
"Oct 14, 2024",25.90,26.31,25.79,26.15,26.15,-0.04%,"3,934,503"
"Oct 11, 2024",26.38,26.63,26.14,26.16,26.16,-0.87%,"3,071,052"
"Oct 10, 2024",25.74,26.85,25.68,26.39,26.39,4.43%,"6,713,577"
"Oct 9, 2024",25.72,26.08,25.21,25.27,25.27,-2.09%,"5,241,807"
"Oct 8, 2024",25.40,25.86,24.98,25.81,25.81,0.27%,"5,658,281"
"Oct 7, 2024",26.96,26.96,25.50,25.74,25.74,-4.42%,"5,197,602"
"Oct 4, 2024",27.10,27.24,26.82,26.93,26.93,0.52%,"2,025,737"
"Oct 3, 2024",26.78,26.92,26.36,26.79,26.79,-1.14%,"2,951,169"
"Oct 2, 2024",27.31,27.72,26.87,27.10,27.10,0.18%,"3,115,116"
"Oct 1, 2024",26.68,27.27,26.34,27.05,27.05,1.01%,"3,565,734"
"Sep 30, 2024",26.93,27.14,26.60,26.78,26.78,-0.89%,"3,106,044"
"Sep 27, 2024",26.69,27.53,26.69,27.02,27.02,1.85%,"3,531,138"
"Sep 26, 2024",25.76,27.00,25.66,26.53,26.53,4.65%,"5,848,372"
"Sep 25, 2024",26.01,26.02,25.32,25.35,25.35,-0.98%,"3,006,389"
