date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",158.62,160.00,156.19,156.50,156.50,-1.25%,"3,721,225"
"Nov 22, 2024",159.34,160.66,158.07,158.48,158.48,-0.51%,"1,421,230"
"Nov 21, 2024",160.29,161.61,158.46,159.29,159.29,-0.06%,"1,505,501"
"Nov 20, 2024",158.33,159.45,156.61,159.38,159.38,0.37%,"1,606,792"
"Nov 19, 2024",158.22,161.10,157.96,158.80,157.90,-0.70%,"1,637,077"
"Nov 18, 2024",158.46,160.19,157.26,159.92,159.01,1.52%,"2,099,671"
"Nov 15, 2024",156.01,160.01,156.01,157.52,156.63,-0.39%,"2,258,883"
"Nov 14, 2024",159.16,159.86,156.53,158.14,157.24,-0.61%,"1,863,206"
"Nov 13, 2024",154.40,159.20,154.10,159.11,158.21,2.51%,"2,448,115"
"Nov 12, 2024",155.76,156.43,154.38,155.21,154.33,-0.54%,"1,785,629"
"Nov 11, 2024",153.47,156.14,152.65,156.06,155.17,1.50%,"1,992,444"
"Nov 8, 2024",153.31,154.00,151.28,153.75,152.88,-0.16%,"1,718,368"
"Nov 7, 2024",155.20,155.70,152.39,154.00,153.13,-0.81%,"1,772,064"
"Nov 6, 2024",155.00,156.97,152.29,155.25,154.37,3.80%,"3,094,237"
"Nov 5, 2024",152.36,152.40,146.49,149.56,148.71,3.19%,"4,008,716"
"Nov 4, 2024",143.72,146.38,143.40,144.94,144.12,1.26%,"2,377,947"
"Nov 1, 2024",146.40,147.48,142.84,143.13,142.32,-1.61%,"2,149,700"
"Oct 31, 2024",145.97,146.63,144.69,145.47,144.64,0.49%,"2,316,216"
"Oct 30, 2024",145.23,146.44,144.27,144.76,143.94,-0.36%,"2,541,191"
"Oct 29, 2024",150.58,150.67,144.90,145.28,144.46,-3.83%,"2,827,885"
"Oct 28, 2024",150.00,151.54,148.29,151.07,150.21,-0.85%,"3,899,330"
"Oct 25, 2024",154.28,154.61,151.93,152.36,151.50,-0.34%,"1,046,293"
"Oct 24, 2024",154.50,154.72,151.86,152.88,152.01,-0.57%,"1,550,664"
"Oct 23, 2024",157.00,158.63,152.38,153.76,152.89,-2.83%,"3,439,062"
"Oct 22, 2024",157.50,158.57,156.75,158.24,157.34,0.85%,"1,867,192"
"Oct 21, 2024",158.79,159.04,156.16,156.91,156.02,-0.88%,"2,203,808"
"Oct 18, 2024",158.20,159.22,156.95,158.30,157.40,-0.01%,"2,214,886"
"Oct 17, 2024",158.42,159.78,157.25,158.31,157.41,0.26%,"2,409,107"
"Oct 16, 2024",157.43,158.80,157.01,157.90,157.00,0.56%,"1,504,950"
"Oct 15, 2024",157.94,159.80,156.81,157.02,156.13,-3.37%,"2,557,761"
"Oct 14, 2024",163.33,163.87,162.05,162.50,161.58,-1.07%,"2,086,132"
"Oct 11, 2024",164.01,166.85,163.40,164.26,163.33,-0.36%,"1,839,445"
"Oct 10, 2024",162.58,167.24,161.95,164.85,163.91,1.38%,"1,990,190"
"Oct 9, 2024",159.00,163.43,158.40,162.61,161.69,1.64%,"2,243,382"
