date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",221.50,225.70,221.47,221.95,221.95,0.38%,"1,482,767"
"Nov 22, 2024",216.25,221.52,216.22,221.12,221.12,2.08%,"951,376"
"Nov 21, 2024",213.63,218.92,212.98,216.62,216.62,1.45%,"751,858"
"Nov 20, 2024",214.75,214.75,211.40,213.52,213.52,-0.09%,"651,016"
"Nov 19, 2024",211.71,214.69,211.21,213.71,213.71,-0.52%,"558,624"
"Nov 18, 2024",214.48,215.67,213.71,214.82,214.82,0.04%,"745,783"
"Nov 15, 2024",213.81,216.19,212.57,214.74,214.74,0.69%,"849,133"
"Nov 14, 2024",212.45,213.96,211.56,213.27,213.27,0.63%,"919,178"
"Nov 13, 2024",214.04,216.60,211.81,211.93,211.93,-0.61%,"708,128"
"Nov 12, 2024",213.97,215.81,212.88,213.23,213.23,-0.66%,"1,063,213"
"Nov 11, 2024",213.02,216.82,213.00,214.64,214.64,2.50%,"1,219,089"
"Nov 8, 2024",208.96,211.52,207.39,209.41,209.41,0.62%,"939,939"
"Nov 7, 2024",211.44,212.90,206.62,208.11,208.11,-3.90%,"1,518,003"
"Nov 6, 2024",206.53,216.84,205.77,216.56,216.56,12.13%,"3,082,259"
"Nov 5, 2024",191.72,194.54,190.90,193.14,193.14,1.30%,"1,208,760"
"Nov 4, 2024",192.41,192.51,189.25,190.67,190.67,-0.82%,"736,687"
"Nov 1, 2024",195.58,196.71,191.89,192.25,192.25,-1.25%,"924,880"
"Oct 31, 2024",196.93,197.89,194.14,194.68,194.68,-1.46%,"1,083,152"
"Oct 30, 2024",195.75,199.50,195.52,197.56,197.56,0.94%,"863,347"
"Oct 29, 2024",197.27,198.35,195.57,195.72,195.72,-0.77%,"833,054"
"Oct 28, 2024",193.97,197.78,193.04,197.23,197.23,2.42%,"1,009,158"
"Oct 25, 2024",195.90,196.40,191.80,192.57,192.57,-0.99%,"1,086,483"
"Oct 24, 2024",194.52,195.95,192.89,194.50,194.50,0.34%,"1,233,898"
"Oct 23, 2024",193.33,195.13,191.70,193.85,193.85,-0.11%,"1,120,764"
"Oct 22, 2024",194.36,195.56,192.72,194.07,194.07,0.23%,"1,093,522"
"Oct 21, 2024",197.00,197.77,192.93,193.63,193.63,-1.98%,"1,072,258"
"Oct 18, 2024",200.32,200.32,196.22,197.55,197.55,-0.66%,"1,632,530"
"Oct 17, 2024",198.18,200.94,193.40,198.87,198.87,5.03%,"3,219,825"
"Oct 16, 2024",186.53,190.41,186.25,189.35,189.35,1.87%,"1,557,750"
"Oct 15, 2024",187.08,190.23,185.28,185.88,185.88,0.17%,"1,814,334"
"Oct 14, 2024",185.19,186.91,182.91,185.56,185.56,0.20%,"980,439"
"Oct 11, 2024",179.85,185.98,179.85,185.19,185.19,3.41%,"1,154,921"
"Oct 10, 2024",179.17,179.54,177.58,179.08,179.08,-0.04%,"827,125"
"Oct 9, 2024",177.46,180.54,177.16,179.15,179.15,0.92%,"661,534"
"Oct 8, 2024",178.44,179.19,176.99,177.52,177.52,-0.17%,"849,659"
"Oct 7, 2024",177.86,178.53,176.67,177.83,177.83,-0.51%,"838,428"
"Oct 4, 2024",176.62,178.97,176.16,178.74,178.74,3.71%,"1,105,237"
