date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024","1,228.72","1,264.87","1,222.13","1,224.47","1,224.47",0.53%,"257,626"
"Nov 22, 2024","1,196.31","1,226.10","1,194.37","1,217.97","1,217.97",1.77%,"180,223"
"Nov 21, 2024","1,166.90","1,197.87","1,156.88","1,196.82","1,196.82",2.56%,"164,708"
"Nov 20, 2024","1,160.67","1,175.07","1,155.59","1,166.90","1,166.90",0.54%,"274,512"
"Nov 19, 2024","1,162.17","1,176.04","1,160.67","1,160.67","1,160.67",-1.18%,"179,759"
"Nov 18, 2024","1,176.10","1,191.51","1,172.76","1,174.56","1,174.56",-0.43%,"162,878"
"Nov 15, 2024","1,237.19","1,237.19","1,176.66","1,179.58","1,179.58",-4.70%,"356,231"
"Nov 14, 2024","1,255.00","1,255.00","1,228.29","1,237.78","1,237.78",-1.66%,"178,179"
"Nov 13, 2024","1,254.84","1,266.48","1,253.15","1,258.66","1,258.66",-0.18%,"116,617"
"Nov 12, 2024","1,255.70","1,270.09","1,245.00","1,260.97","1,260.97",0.87%,"161,141"
"Nov 11, 2024","1,310.43","1,311.70","1,235.98","1,250.07","1,250.07",-4.58%,"308,006"
"Nov 8, 2024","1,342.83","1,363.75","1,302.64","1,310.03","1,310.03",-7.19%,"254,186"
"Nov 7, 2024","1,410.00","1,417.00","1,387.41","1,411.52","1,411.52",0.95%,"154,776"
"Nov 6, 2024","1,431.46","1,431.46","1,362.16","1,398.19","1,398.19",0.89%,"210,425"
"Nov 5, 2024","1,358.71","1,390.08","1,348.43","1,385.79","1,385.79",1.60%,"104,497"
"Nov 4, 2024","1,349.96","1,371.54","1,348.14","1,364.02","1,364.02",1.63%,"117,845"
"Nov 1, 2024","1,338.60","1,387.73","1,323.88","1,342.09","1,342.09",3.90%,"173,844"
"Oct 31, 2024","1,289.00","1,304.15","1,288.38","1,291.75","1,291.75",-0.81%,"117,215"
"Oct 30, 2024","1,299.85","1,317.03","1,299.85","1,302.24","1,302.24",0.39%,"81,585"
"Oct 29, 2024","1,286.37","1,300.00","1,285.26","1,297.17","1,297.17",0.17%,"107,919"
"Oct 28, 2024","1,308.41","1,308.52","1,285.67","1,294.92","1,294.92",0.17%,"132,808"
"Oct 25, 2024","1,302.73","1,305.06","1,289.52","1,292.77","1,292.77",-0.05%,"91,528"
"Oct 24, 2024","1,320.15","1,320.15","1,290.18","1,293.38","1,293.38",-2.04%,"141,668"
"Oct 23, 2024","1,354.12","1,354.14","1,314.09","1,320.35","1,320.35",-2.33%,"138,920"
"Oct 22, 2024","1,349.93","1,356.83","1,332.72","1,351.78","1,351.78",-1.02%,"124,528"
"Oct 21, 2024","1,363.14","1,372.70","1,357.08","1,365.68","1,365.68",-0.60%,"93,995"
