date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",261.97,266.86,259.76,263.62,263.62,0.90%,"409,636"
"Nov 22, 2024",257.24,261.79,257.24,261.27,261.27,1.83%,"201,148"
"Nov 21, 2024",253.12,258.37,252.57,256.58,256.58,1.59%,"135,180"
"Nov 20, 2024",249.86,253.00,248.28,252.56,252.56,1.08%,"136,633"
"Nov 19, 2024",250.08,252.45,249.18,249.86,249.86,-1.42%,"176,644"
"Nov 18, 2024",253.68,255.70,252.87,253.45,253.45,-0.52%,"228,010"
"Nov 15, 2024",257.04,259.27,254.07,254.78,254.78,-0.69%,"290,544"
"Nov 14, 2024",257.93,259.51,255.97,256.56,256.56,-0.96%,"214,723"
"Nov 13, 2024",257.28,259.18,255.03,259.04,259.04,0.56%,"269,774"
"Nov 12, 2024",260.52,261.89,257.40,257.61,257.61,-1.38%,"313,286"
"Nov 11, 2024",262.27,264.94,261.13,261.21,261.21,-0.09%,"123,894"
"Nov 8, 2024",260.10,264.25,259.30,261.44,261.44,0.33%,"165,302"
"Nov 7, 2024",264.25,264.25,259.71,260.57,260.57,-1.43%,"136,054"
"Nov 6, 2024",262.45,266.71,262.25,264.36,264.36,4.33%,"270,575"
"Nov 5, 2024",247.10,253.49,245.25,253.38,253.38,2.35%,"143,247"
"Nov 4, 2024",249.31,251.33,247.17,247.56,247.56,-0.59%,"382,017"
"Nov 1, 2024",248.19,251.59,247.92,249.03,249.03,0.46%,"191,592"
"Oct 31, 2024",250.29,251.04,247.77,247.89,247.89,-1.19%,"253,665"
"Oct 30, 2024",249.14,252.74,249.13,250.88,250.88,0.70%,"176,291"
"Oct 29, 2024",248.65,250.29,246.11,249.14,249.14,-0.49%,"234,009"
"Oct 28, 2024",249.44,252.36,249.44,250.37,250.37,0.91%,"194,216"
"Oct 25, 2024",249.84,251.60,247.85,248.10,248.10,-0.32%,"135,266"
"Oct 24, 2024",249.76,249.76,247.37,248.89,248.89,-0.43%,"218,726"
"Oct 23, 2024",251.11,251.92,248.96,249.97,249.97,-0.45%,"405,551"
"Oct 22, 2024",253.11,253.11,249.39,251.11,251.11,-0.88%,"199,162"
"Oct 21, 2024",256.66,257.55,252.95,253.35,253.35,-1.49%,"159,816"
"Oct 18, 2024",256.66,257.59,253.99,257.17,257.17,0.40%,"246,224"
"Oct 17, 2024",257.75,259.77,255.17,256.14,256.14,-0.20%,"142,833"
"Oct 16, 2024",257.59,260.50,256.47,256.65,256.65,-0.21%,"123,809"
"Oct 15, 2024",258.32,261.53,256.58,257.18,257.18,-0.27%,"170,431"
"Oct 14, 2024",256.27,258.30,255.81,257.87,257.87,0.49%,"136,295"
"Oct 11, 2024",253.60,257.96,253.60,256.62,256.62,1.19%,"111,690"
"Oct 10, 2024",251.32,253.90,250.67,253.60,253.60,0.16%,"121,434"
"Oct 9, 2024",249.98,253.79,249.92,253.19,253.19,1.15%,"227,641"
"Oct 8, 2024",252.00,252.36,248.71,250.31,250.31,-0.98%,"261,640"
"Oct 7, 2024",251.62,253.74,250.57,252.79,252.79,0.31%,"297,706"
"Oct 4, 2024",257.98,257.98,250.73,252.00,252.00,-1.30%,"260,078"
"Oct 3, 2024",258.77,259.33,253.59,255.31,255.31,-2.03%,"227,999"
"Oct 2, 2024",259.79,261.30,258.57,260.59,260.59,-0.09%,"139,221"
"Oct 1, 2024",261.57,262.60,257.61,260.83,260.83,-0.69%,"154,386"
"Sep 30, 2024",261.80,263.28,260.42,262.63,262.63,0.37%,"161,146"
"Sep 27, 2024",262.00,265.86,260.56,261.66,261.66,0.27%,"162,687"
"Sep 26, 2024",257.66,261.68,257.66,260.96,260.96,2.10%,"168,785"
"Sep 25, 2024",259.39,259.39,255.25,255.59,255.59,-0.90%,"142,235"
"Sep 24, 2024",256.49,258.17,254.88,257.92,257.92,0.99%,"142,134"
"Sep 23, 2024",255.75,257.05,253.12,255.39,255.39,-0.07%,"145,044"
"Sep 20, 2024",258.63,258.83,254.01,255.58,255.58,-1.71%,"452,675"
"Sep 19, 2024",259.74,261.30,257.54,260.03,260.03,1.73%,"189,611"
"Sep 18, 2024",256.16,259.22,254.36,255.61,255.61,0.17%,"148,120"
"Sep 17, 2024",254.18,257.80,254.18,255.18,255.18,0.71%,"154,935"
"Sep 16, 2024",252.63,254.68,252.04,253.37,253.37,0.62%,"142,865"
"Sep 13, 2024",249.26,252.01,248.55,251.81,251.81,1.44%,"144,707"
"Sep 12, 2024",247.93,248.43,245.35,248.24,248.24,0.13%,"144,332"
"Sep 11, 2024",247.16,248.21,241.61,247.93,247.93,-0.37%,"151,789"
"Sep 10, 2024",247.53,248.90,245.78,248.85,248.85,0.60%,"147,708"
"Sep 9, 2024",245.47,248.60,244.22,247.36,247.36,1.26%,"161,789"
"Sep 6, 2024",246.84,248.66,242.62,244.27,244.27,-0.94%,"170,894"
"Sep 5, 2024",249.76,249.76,244.93,246.60,246.60,-1.42%,"161,200"
"Sep 4, 2024",250.01,250.94,247.91,250.14,250.14,-0.02%,"216,613"
"Sep 3, 2024",254.97,256.15,248.89,250.18,250.18,-2.49%,"198,875"
"Aug 30, 2024",255.74,256.87,253.28,256.56,256.56,0.55%,"252,504"
"Aug 29, 2024",257.91,258.11,254.51,255.16,255.16,-0.44%,"210,449"
"Aug 28, 2024",255.67,257.45,253.50,256.30,256.30,0.16%,"326,225"
"Aug 27, 2024",255.81,257.48,254.47,255.90,255.90,-0.50%,"210,732"
"Aug 26, 2024",258.00,259.40,256.15,257.18,256.40,-0.09%,"257,335"
"Aug 23, 2024",257.57,262.20,256.16,257.40,256.62,0.54%,"371,734"
"Aug 22, 2024",253.92,256.28,241.67,256.03,255.25,3.33%,"455,671"
"Aug 21, 2024",242.10,248.24,240.11,247.78,247.03,3.47%,"439,111"
"Aug 20, 2024",238.86,240.23,237.90,239.47,238.74,-0.08%,"270,896"
"Aug 19, 2024",239.64,241.23,238.87,239.65,238.92,-,"368,732"
"Aug 16, 2024",239.21,241.42,238.61,239.66,238.93,-0.32%,"999,768"
"Aug 15, 2024",239.39,241.82,237.00,240.42,239.69,1.66%,"189,729"
"Aug 14, 2024",238.98,240.14,235.50,236.49,235.77,-0.39%,"171,602"
"Aug 13, 2024",233.64,237.46,232.83,237.41,236.69,1.88%,"143,521"
"Aug 12, 2024",234.64,235.05,232.16,233.04,232.33,-0.60%,"147,443"
"Aug 9, 2024",235.70,236.28,233.34,234.44,233.73,-0.43%,"171,046"
"Aug 8, 2024",234.88,237.24,233.56,235.45,234.74,1.18%,"195,110"
"Aug 7, 2024",238.07,240.42,232.13,232.70,231.99,-1.31%,"251,174"
"Aug 6, 2024",236.23,239.89,234.82,235.80,235.08,0.43%,"286,852"
"Aug 5, 2024",237.96,238.89,233.37,234.80,234.09,-2.73%,"374,240"
"Aug 2, 2024",241.11,242.08,236.37,241.38,240.65,-0.81%,"305,302"
"Aug 1, 2024",249.18,251.37,239.46,243.34,242.60,-2.79%,"333,030"
"Jul 31, 2024",249.92,252.84,247.13,250.33,249.57,0.69%,"774,584"
"Jul 30, 2024",245.78,249.80,245.03,248.61,247.86,1.38%,"190,836"
"Jul 29, 2024",246.21,246.89,244.29,245.22,244.48,-0.30%,"153,432"
"Jul 26, 2024",242.80,247.38,241.64,245.95,245.20,2.24%,"234,406"
"Jul 25, 2024",237.69,243.75,237.18,240.55,239.82,1.93%,"324,429"
"Jul 24, 2024",239.54,239.54,234.03,235.99,235.27,-1.62%,"253,368"
"Jul 23, 2024",239.32,241.15,238.49,239.87,239.14,-0.29%,"223,121"
"Jul 22, 2024",237.29,240.69,234.10,240.57,239.84,1.67%,"142,187"
"Jul 19, 2024",241.03,241.42,235.03,236.61,235.89,-1.27%,"332,924"
"Jul 18, 2024",241.44,245.55,239.44,239.65,238.92,-1.52%,"186,847"
"Jul 17, 2024",242.11,245.82,240.74,243.35,242.61,-,"290,079"
"Jul 16, 2024",238.04,243.96,236.89,243.36,242.62,2.84%,"259,458"
"Jul 15, 2024",236.91,240.38,236.36,236.63,235.91,-0.22%,"229,194"
"Jul 12, 2024",237.28,239.29,235.81,237.15,236.43,0.80%,"171,299"
"Jul 11, 2024",232.09,236.47,232.09,235.27,234.56,2.34%,"181,041"
"Jul 10, 2024",225.42,230.06,225.42,229.88,229.18,2.17%,"146,972"
"Jul 9, 2024",225.85,225.96,224.02,225.00,224.32,-0.67%,"244,927"
"Jul 8, 2024",227.81,229.01,225.54,226.51,225.82,-0.04%,"222,722"
