date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",902.05,902.05,864.22,865.59,865.59,-3.59%,"6,014,203"
"Nov 22, 2024",896.00,906.00,893.00,897.79,897.79,0.03%,"3,214,020"
"Nov 21, 2024",883.93,908.00,877.24,897.48,897.48,1.54%,"4,511,263"
"Nov 20, 2024",879.98,890.60,868.40,883.85,883.85,1.44%,"4,093,843"
"Nov 19, 2024",839.75,874.49,839.16,871.32,871.32,2.87%,"3,814,227"
"Nov 18, 2024",815.50,848.45,809.33,847.05,847.05,2.80%,"4,084,081"
"Nov 15, 2024",832.04,832.04,816.49,823.96,823.96,-1.59%,"3,673,720"
"Nov 14, 2024",833.67,841.00,830.02,837.26,837.26,0.82%,"3,038,231"
"Nov 13, 2024",822.62,836.99,820.54,830.47,830.47,1.34%,"2,767,772"
"Nov 12, 2024",807.50,820.37,803.75,819.50,819.50,1.75%,"2,814,064"
"Nov 11, 2024",795.90,806.82,795.57,805.44,805.44,1.31%,"2,399,150"
"Nov 8, 2024",797.36,799.06,788.65,795.04,795.04,-0.19%,"1,910,626"
"Nov 7, 2024",781.37,798.22,779.94,796.54,796.54,2.09%,"3,295,074"
"Nov 6, 2024",771.50,781.49,757.38,780.21,780.21,2.13%,"3,690,817"
"Nov 5, 2024",757.35,767.53,756.27,763.91,763.91,1.11%,"2,200,645"
"Nov 4, 2024",753.14,762.48,749.69,755.51,755.51,-0.08%,"1,902,194"
"Nov 1, 2024",753.48,763.80,747.77,756.10,756.10,0.01%,"2,996,829"
"Oct 31, 2024",753.93,760.79,752.23,756.03,756.03,0.30%,"3,057,709"
"Oct 30, 2024",758.08,759.79,752.28,753.74,753.74,-0.75%,"1,722,002"
"Oct 29, 2024",751.13,763.88,748.01,759.44,759.44,1.38%,"3,660,433"
"Oct 28, 2024",758.68,758.68,747.88,749.12,749.12,-0.74%,"2,862,405"
"Oct 25, 2024",756.17,768.50,753.53,754.68,754.68,0.02%,"2,819,473"
"Oct 24, 2024",751.97,755.82,746.25,754.55,754.55,0.70%,"2,642,962"
"Oct 23, 2024",762.83,763.79,744.26,749.29,749.29,-1.96%,"3,749,007"
"Oct 22, 2024",765.27,769.70,761.12,764.24,764.24,-1.01%,"2,987,252"
"Oct 21, 2024",765.76,773.00,756.60,772.07,772.07,1.07%,"6,057,093"
"Oct 18, 2024",737.64,766.28,736.23,763.89,763.89,11.09%,"15,974,119"
"Oct 17, 2024",704.35,704.41,677.88,687.65,687.65,-2.04%,"8,926,672"
"Oct 16, 2024",703.43,705.59,697.82,702.00,702.00,-0.56%,"2,494,276"
"Oct 15, 2024",712.51,713.40,699.78,705.98,705.98,-0.98%,"2,932,752"
"Oct 14, 2024",725.00,726.62,711.31,713.00,713.00,-1.35%,"2,797,071"
"Oct 11, 2024",734.90,736.00,721.22,722.79,722.79,-1.03%,"2,299,525"
"Oct 10, 2024",723.29,733.85,722.50,730.29,730.29,0.39%,"2,767,862"
"Oct 9, 2024",719.25,728.59,718.87,727.43,727.43,0.79%,"1,981,070"
"Oct 8, 2024",703.88,725.06,703.55,721.76,721.76,2.83%,"3,187,402"
"Oct 7, 2024",714.76,715.88,696.43,701.92,701.92,-2.47%,"3,360,520"
