date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",229.94,235.43,227.83,233.85,233.85,3.30%,"2,784,862"
"Nov 22, 2024",227.00,227.03,223.71,226.38,226.38,0.81%,"1,584,139"
"Nov 21, 2024",222.11,226.29,219.78,224.57,224.57,1.92%,"1,769,699"
"Nov 20, 2024",217.20,220.47,216.06,220.34,220.34,0.20%,"2,143,872"
"Nov 19, 2024",218.55,220.59,217.25,219.91,219.91,-0.13%,"1,503,557"
"Nov 18, 2024",217.20,220.42,216.04,220.19,220.19,1.45%,"2,472,978"
"Nov 15, 2024",221.83,223.96,216.59,217.04,217.04,-3.09%,"2,793,131"
"Nov 14, 2024",223.88,225.33,221.37,223.96,223.96,0.45%,"2,250,276"
"Nov 13, 2024",221.57,225.44,221.44,222.96,222.96,-0.81%,"3,145,030"
"Nov 12, 2024",225.31,226.99,221.85,224.79,224.79,-0.99%,"2,528,823"
"Nov 11, 2024",230.98,231.42,223.71,227.04,227.04,-2.93%,"2,715,076"
"Nov 8, 2024",233.13,235.00,227.97,233.89,233.89,-0.94%,"2,743,168"
"Nov 7, 2024",237.76,238.85,231.88,236.12,236.12,2.05%,"3,129,520"
"Nov 6, 2024",228.13,233.83,226.11,231.38,231.38,3.00%,"3,597,991"
"Nov 5, 2024",220.50,224.84,216.93,224.65,224.65,-5.17%,"5,961,084"
"Nov 4, 2024",237.32,239.21,235.57,236.90,236.90,-0.71%,"2,935,914"
"Nov 1, 2024",234.50,240.17,234.10,238.59,238.59,1.74%,"2,224,189"
"Oct 31, 2024",244.48,244.48,231.30,234.50,234.50,-4.41%,"3,540,566"
"Oct 30, 2024",249.47,253.42,245.00,245.32,245.32,-4.01%,"2,401,855"
"Oct 29, 2024",250.57,256.62,249.06,255.58,255.58,2.35%,"2,134,410"
"Oct 28, 2024",239.42,251.10,238.13,249.70,249.70,2.69%,"2,812,039"
"Oct 25, 2024",240.62,246.08,240.08,243.16,243.16,1.72%,"2,140,509"
"Oct 24, 2024",238.68,241.92,235.56,239.06,239.06,1.16%,"1,593,103"
"Oct 23, 2024",236.23,239.89,233.02,236.32,236.32,2.07%,"2,957,278"
"Oct 22, 2024",229.42,232.49,227.64,231.52,231.52,0.60%,"2,173,649"
"Oct 21, 2024",231.06,232.45,227.33,230.15,230.15,-1.41%,"1,585,290"
"Oct 18, 2024",236.24,236.67,232.44,233.45,233.45,0.50%,"1,187,652"
"Oct 17, 2024",238.44,238.88,232.10,232.28,232.28,-0.19%,"2,062,228"
"Oct 16, 2024",236.43,237.84,232.50,232.73,232.73,-0.05%,"1,368,851"
"Oct 15, 2024",242.64,244.57,230.14,232.85,232.85,-4.35%,"3,611,885"
"Oct 14, 2024",240.23,243.74,237.85,243.44,243.44,2.24%,"1,965,312"
"Oct 11, 2024",233.57,240.75,233.35,238.10,238.10,0.82%,"1,148,222"
"Oct 10, 2024",234.07,236.47,232.50,236.17,236.17,-0.90%,"1,191,496"
"Oct 9, 2024",233.24,238.87,233.00,238.31,238.31,1.43%,"1,423,811"
"Oct 8, 2024",234.02,236.18,232.39,234.96,234.96,0.40%,"1,469,579"
"Oct 7, 2024",236.98,237.09,232.20,234.02,234.02,-0.09%,"1,806,137"
"Oct 4, 2024",239.56,239.71,231.51,234.24,234.24,0.43%,"1,599,654"
