date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",103.00,105.20,102.11,104.60,104.60,2.17%,"2,425,128"
"Nov 22, 2024",101.92,102.74,101.26,102.38,102.38,0.43%,"1,549,177"
"Nov 21, 2024",99.04,102.19,98.57,101.94,101.94,2.89%,"1,261,969"
"Nov 20, 2024",97.48,99.25,96.79,99.08,99.08,1.06%,"1,310,804"
"Nov 19, 2024",96.81,98.10,96.64,98.04,98.04,-0.29%,"1,348,435"
"Nov 18, 2024",96.82,99.54,96.61,98.33,98.33,1.52%,"2,822,879"
"Nov 15, 2024",103.34,104.42,96.24,96.86,96.86,-7.79%,"9,315,200"
"Nov 14, 2024",103.35,105.31,103.17,105.04,105.04,1.65%,"1,359,820"
"Nov 13, 2024",103.59,104.14,102.94,103.34,103.34,-0.47%,"1,344,598"
"Nov 12, 2024",104.35,105.20,103.31,103.83,103.83,-0.55%,"1,349,178"
"Nov 11, 2024",105.39,105.54,103.95,104.40,104.40,-0.06%,"1,100,336"
"Nov 8, 2024",104.48,104.97,103.96,104.46,104.46,-0.29%,"1,470,538"
"Nov 7, 2024",105.01,105.36,104.34,104.76,104.76,-0.29%,"1,238,812"
"Nov 6, 2024",107.00,107.00,103.93,105.06,105.06,1.82%,"1,648,185"
"Nov 5, 2024",102.14,103.21,101.85,103.18,103.18,1.22%,"1,073,142"
"Nov 4, 2024",101.52,102.28,101.15,101.94,101.94,0.85%,"1,439,342"
"Nov 1, 2024",101.69,102.10,101.00,101.08,101.08,0.08%,"1,070,837"
"Oct 31, 2024",102.22,102.57,100.95,101.00,101.00,-1.31%,"1,000,953"
"Oct 30, 2024",101.10,102.61,101.10,102.34,102.34,0.63%,"1,373,452"
"Oct 29, 2024",102.35,102.82,101.48,101.70,101.70,-0.78%,"1,359,458"
"Oct 28, 2024",100.72,102.61,100.65,102.50,102.50,1.97%,"1,647,623"
"Oct 25, 2024",101.14,101.14,99.92,100.52,100.52,0.06%,"1,081,677"
"Oct 24, 2024",101.33,101.33,100.01,100.46,100.46,-0.26%,"1,144,825"
"Oct 23, 2024",100.60,102.01,100.43,100.72,100.72,-0.31%,"1,537,272"
"Oct 22, 2024",103.50,103.51,100.25,101.03,101.03,-2.49%,"2,043,223"
"Oct 21, 2024",104.31,104.61,103.27,103.61,103.61,-0.83%,"1,251,717"
"Oct 18, 2024",105.31,105.50,103.63,104.48,104.48,-0.70%,"1,531,358"
"Oct 17, 2024",106.51,106.51,104.62,105.22,105.22,-0.26%,"2,171,334"
"Oct 16, 2024",102.98,105.93,100.81,105.49,105.49,1.41%,"3,031,206"
"Oct 15, 2024",104.00,105.36,103.89,104.02,104.02,0.74%,"1,735,149"
"Oct 14, 2024",102.94,103.48,102.47,103.26,103.26,0.39%,"836,817"
"Oct 11, 2024",102.05,103.18,101.89,102.86,102.86,1.12%,"696,562"
"Oct 10, 2024",102.50,102.69,101.49,101.72,101.72,-1.03%,"884,386"
"Oct 9, 2024",101.71,103.12,101.55,102.78,102.78,1.28%,"1,240,599"
"Oct 8, 2024",101.00,101.98,100.61,101.48,101.48,0.61%,"1,199,397"
"Oct 7, 2024",101.06,101.50,100.24,100.86,100.86,-0.68%,"1,336,466"
"Oct 4, 2024",102.03,102.48,101.14,101.55,101.55,0.52%,"725,523"
"Oct 3, 2024",101.56,102.19,100.51,101.02,101.02,-1.00%,"1,416,137"
