date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",10.80,11.25,10.78,11.12,11.12,2.21%,"55,191,530"
"Nov 22, 2024",11.10,11.19,10.85,10.88,10.88,-1.89%,"11,242,736"
"Nov 21, 2024",10.53,11.12,10.53,11.09,11.09,4.82%,"11,221,071"
"Nov 20, 2024",10.35,10.60,10.29,10.58,10.58,2.42%,"8,702,482"
"Nov 19, 2024",10.51,10.55,10.27,10.33,10.33,-2.64%,"16,248,602"
"Nov 18, 2024",10.78,10.91,10.56,10.61,10.61,-2.12%,"12,240,111"
"Nov 15, 2024",11.24,11.38,10.80,10.84,10.84,-4.49%,"14,795,826"
"Nov 14, 2024",11.24,11.38,11.10,11.35,11.35,1.70%,"9,294,820"
"Nov 13, 2024",11.50,11.51,11.14,11.16,11.16,-2.53%,"12,007,275"
"Nov 12, 2024",11.40,11.52,11.24,11.45,11.45,-0.87%,"10,027,167"
"Nov 11, 2024",11.16,11.59,11.10,11.55,11.55,4.34%,"14,093,771"
"Nov 8, 2024",11.51,11.54,10.87,11.07,11.07,-3.99%,"15,682,603"
"Nov 7, 2024",11.37,11.55,11.27,11.53,11.53,1.32%,"10,617,928"
"Nov 6, 2024",11.22,11.45,11.11,11.38,11.38,2.61%,"12,576,164"
"Nov 5, 2024",10.89,11.14,10.83,11.09,11.09,2.02%,"6,898,150"
"Nov 4, 2024",11.00,11.05,10.84,10.87,10.87,-1.00%,"4,809,710"
"Nov 1, 2024",10.91,11.00,10.72,10.98,10.98,0.37%,"6,577,430"
"Oct 31, 2024",10.75,10.98,10.71,10.94,10.94,2.63%,"8,559,572"
"Oct 30, 2024",10.40,10.67,10.39,10.66,10.66,1.81%,"5,231,711"
"Oct 29, 2024",10.39,10.53,10.37,10.47,10.47,0.38%,"3,973,057"
"Oct 28, 2024",10.34,10.50,10.29,10.43,10.43,1.56%,"5,254,057"
"Oct 25, 2024",10.32,10.45,10.25,10.27,10.27,-0.29%,"5,719,702"
"Oct 24, 2024",10.31,10.34,10.24,10.30,10.30,-0.10%,"3,632,976"
"Oct 23, 2024",10.27,10.36,10.22,10.31,10.31,0.39%,"4,890,559"
"Oct 22, 2024",10.30,10.38,10.27,10.27,10.27,-0.39%,"5,931,487"
"Oct 21, 2024",10.46,10.48,10.31,10.31,10.31,-1.34%,"5,225,387"
"Oct 18, 2024",10.46,10.52,10.41,10.45,10.45,1.16%,"4,590,717"
"Oct 17, 2024",10.49,10.52,10.28,10.33,10.33,-1.81%,"9,025,326"
"Oct 16, 2024",10.48,10.60,10.48,10.52,10.52,0.19%,"4,658,728"
"Oct 15, 2024",10.35,10.51,10.35,10.50,10.50,1.25%,"6,693,046"
"Oct 14, 2024",10.35,10.43,10.33,10.37,10.37,0.19%,"3,350,539"
"Oct 11, 2024",10.30,10.45,10.30,10.35,10.35,0.10%,"4,382,505"
"Oct 10, 2024",10.51,10.55,10.32,10.34,10.34,-1.99%,"4,974,361"
"Oct 9, 2024",10.47,10.59,10.45,10.55,10.55,0.48%,"6,750,696"
"Oct 8, 2024",10.46,10.52,10.42,10.50,10.50,-0.19%,"4,109,096"
"Oct 7, 2024",10.51,10.55,10.41,10.52,10.52,-,"4,937,762"
"Oct 4, 2024",10.51,10.56,10.39,10.52,10.52,0.67%,"5,154,125"
"Oct 3, 2024",10.39,10.53,10.27,10.45,10.45,0.19%,"6,605,063"
"Oct 2, 2024",10.60,10.63,10.42,10.43,10.43,-1.60%,"5,170,954"
"Oct 1, 2024",10.60,10.74,10.55,10.60,10.60,-0.19%,"5,953,818"
"Sep 30, 2024",10.70,10.76,10.55,10.62,10.62,-1.58%,"7,416,245"
"Sep 27, 2024",10.74,10.90,10.62,10.79,10.79,1.22%,"5,269,821"
"Sep 26, 2024",10.60,10.67,10.51,10.66,10.66,1.04%,"4,398,965"
"Sep 25, 2024",10.53,10.56,10.41,10.55,10.55,-,"4,942,538"
"Sep 24, 2024",10.42,10.55,10.34,10.55,10.55,1.64%,"4,747,517"
"Sep 23, 2024",10.37,10.42,10.29,10.38,10.38,0.10%,"5,902,276"
"Sep 20, 2024",10.43,10.46,10.28,10.37,10.37,-0.86%,"33,505,542"
"Sep 19, 2024",10.72,10.84,10.36,10.46,10.46,-0.95%,"6,670,386"
"Sep 18, 2024",10.49,10.76,10.47,10.56,10.56,1.15%,"7,193,227"
