date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",25.75,26.45,25.74,26.17,26.17,2.03%,"57,707,647"
"Nov 22, 2024",25.18,25.75,25.10,25.65,25.65,2.07%,"41,896,988"
"Nov 21, 2024",24.87,25.22,24.78,25.13,25.13,0.76%,"45,048,363"
"Nov 20, 2024",25.07,25.10,24.65,24.94,24.94,-0.64%,"46,170,786"
"Nov 19, 2024",24.70,25.11,24.61,25.10,25.10,0.97%,"52,381,212"
"Nov 18, 2024",24.97,25.25,24.70,24.86,24.86,0.24%,"64,261,280"
"Nov 15, 2024",25.70,25.70,24.48,24.80,24.80,-4.69%,"131,074,383"
"Nov 14, 2024",26.74,26.85,25.84,26.02,26.02,-2.62%,"45,262,223"
"Nov 13, 2024",26.23,26.75,25.98,26.72,26.72,2.02%,"47,983,088"
"Nov 12, 2024",26.23,26.44,25.95,26.19,26.19,-0.19%,"53,035,233"
"Nov 11, 2024",26.72,26.83,26.22,26.24,26.24,-1.80%,"54,329,259"
"Nov 8, 2024",27.11,27.15,26.71,26.72,26.72,-2.69%,"55,951,315"
"Nov 7, 2024",27.53,27.59,27.34,27.46,27.04,0.37%,"48,484,777"
"Nov 6, 2024",27.93,27.99,27.08,27.36,26.94,-2.25%,"65,749,517"
"Nov 5, 2024",27.74,28.00,27.58,27.99,27.56,0.83%,"44,175,835"
"Nov 4, 2024",28.10,28.14,27.73,27.76,27.33,-1.17%,"41,347,818"
"Nov 1, 2024",28.48,28.54,28.05,28.09,27.66,-0.74%,"46,894,562"
"Oct 31, 2024",28.45,28.64,28.29,28.30,27.86,-0.77%,"37,909,602"
"Oct 30, 2024",28.31,28.60,28.19,28.52,28.08,0.21%,"47,104,024"
"Oct 29, 2024",29.01,29.17,28.03,28.46,28.02,-1.39%,"102,266,959"
"Oct 28, 2024",28.60,28.94,28.56,28.86,28.41,1.44%,"37,922,530"
"Oct 25, 2024",28.68,28.73,28.44,28.45,28.01,-0.66%,"26,091,111"
"Oct 24, 2024",28.86,28.98,28.50,28.64,28.20,-0.76%,"31,473,587"
"Oct 23, 2024",28.87,29.11,28.67,28.86,28.41,0.07%,"22,217,569"
"Oct 22, 2024",28.90,28.99,28.60,28.84,28.39,-0.31%,"29,036,388"
"Oct 21, 2024",29.22,29.22,28.88,28.93,28.48,-0.99%,"23,395,658"
"Oct 18, 2024",29.30,29.37,29.08,29.22,28.77,-0.17%,"24,244,872"
