date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",116.52,119.46,116.32,118.07,118.07,1.96%,"9,970,791"
"Nov 22, 2024",114.32,115.94,113.96,115.80,115.80,1.61%,"2,432,985"
"Nov 21, 2024",114.51,114.99,113.60,113.97,113.97,-0.50%,"2,626,646"
"Nov 20, 2024",114.42,114.72,113.60,114.54,114.54,-0.51%,"2,821,839"
"Nov 19, 2024",113.82,115.44,112.89,115.13,115.13,0.42%,"2,950,840"
"Nov 18, 2024",112.85,114.69,112.41,114.65,114.65,1.08%,"2,411,412"
"Nov 15, 2024",114.36,114.98,112.67,113.42,113.42,-1.16%,"3,889,491"
"Nov 14, 2024",116.40,116.70,114.27,114.75,114.75,-1.56%,"4,757,159"
"Nov 13, 2024",113.92,117.14,113.86,116.57,116.57,3.39%,"4,772,355"
"Nov 12, 2024",113.81,115.12,112.47,112.75,112.75,-1.18%,"2,708,257"
"Nov 11, 2024",115.72,116.48,113.80,114.10,114.10,-1.49%,"3,547,088"
"Nov 8, 2024",114.50,116.00,113.94,115.83,115.83,1.42%,"3,250,928"
"Nov 7, 2024",114.16,114.69,113.38,114.21,114.21,0.41%,"3,035,798"
"Nov 6, 2024",115.71,115.71,111.40,113.74,113.74,-0.60%,"5,768,134"
"Nov 5, 2024",112.98,114.43,112.41,114.43,114.43,0.50%,"2,370,206"
"Nov 4, 2024",114.04,115.09,113.12,113.86,113.86,0.41%,"2,439,949"
"Nov 1, 2024",114.81,115.37,113.38,113.40,113.40,0.41%,"3,941,791"
"Oct 31, 2024",115.17,115.68,112.86,112.94,112.94,-2.53%,"5,021,280"
"Oct 30, 2024",115.90,117.26,115.32,115.87,115.87,0.49%,"3,780,230"
"Oct 29, 2024",117.78,118.14,115.31,115.31,115.31,-2.12%,"3,595,926"
"Oct 28, 2024",118.44,118.80,117.10,117.81,117.81,0.23%,"3,648,661"
"Oct 25, 2024",119.80,120.33,117.44,117.54,117.54,-2.37%,"3,247,349"
"Oct 24, 2024",120.05,121.14,119.80,120.39,120.39,-0.36%,"4,332,908"
"Oct 23, 2024",118.93,121.11,118.90,120.83,120.83,1.59%,"4,133,260"
"Oct 22, 2024",117.35,119.60,117.35,118.94,118.94,0.99%,"3,374,588"
"Oct 21, 2024",120.72,121.46,117.57,117.77,117.77,-3.86%,"3,866,160"
"Oct 18, 2024",123.01,123.35,121.61,122.50,122.50,-0.16%,"3,690,933"
"Oct 17, 2024",126.04,126.92,122.70,122.70,122.70,-3.36%,"5,446,792"
"Oct 16, 2024",123.04,127.65,121.77,126.97,126.97,4.60%,"5,565,193"
"Oct 15, 2024",120.74,123.05,120.74,121.39,121.39,0.77%,"5,453,625"
"Oct 14, 2024",120.04,120.97,119.50,120.46,120.46,0.18%,"1,978,980"
"Oct 11, 2024",118.78,120.42,118.15,120.24,120.24,1.66%,"2,711,999"
"Oct 10, 2024",118.06,119.14,117.47,118.28,118.28,-0.47%,"2,767,078"
"Oct 9, 2024",118.19,119.47,117.90,118.84,118.84,-0.42%,"3,661,744"
"Oct 8, 2024",120.29,120.68,118.22,119.34,119.34,-0.55%,"3,035,396"
"Oct 7, 2024",121.36,121.73,119.31,120.00,120.00,-1.98%,"3,186,533"
"Oct 4, 2024",121.59,122.78,120.36,122.42,122.42,0.31%,"2,773,995"
"Oct 3, 2024",123.73,123.75,121.50,122.04,122.04,-1.72%,"3,400,637"
"Oct 2, 2024",122.56,124.25,121.95,124.18,124.18,-0.35%,"3,848,941"
"Oct 1, 2024",126.64,126.72,123.48,124.61,124.61,-1.32%,"3,401,519"
"Sep 30, 2024",124.78,126.43,124.56,126.28,126.28,0.55%,"3,608,385"
"Sep 27, 2024",125.99,127.32,125.28,125.59,125.59,0.29%,"3,775,172"
"Sep 26, 2024",125.89,126.42,124.86,125.23,125.23,-0.13%,"3,235,967"
"Sep 25, 2024",126.73,127.22,124.78,125.39,125.39,-1.02%,"3,421,749"
