date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",211.97,214.64,211.75,212.47,212.47,1.14%,"2,315,146"
"Nov 22, 2024",205.98,210.71,205.72,210.07,210.07,2.10%,"1,675,397"
"Nov 21, 2024",203.95,207.91,203.95,205.75,205.75,0.88%,"3,183,070"
"Nov 20, 2024",205.21,205.62,203.47,203.95,203.95,-0.44%,"1,606,178"
"Nov 19, 2024",204.50,206.90,204.36,204.86,204.86,-0.95%,"1,841,920"
"Nov 18, 2024",207.63,208.41,206.41,206.83,206.83,-0.41%,"1,652,501"
"Nov 15, 2024",208.12,210.04,206.40,207.68,207.68,-0.13%,"2,511,633"
"Nov 14, 2024",209.30,210.40,207.17,207.96,207.96,-0.64%,"1,482,863"
"Nov 13, 2024",212.11,214.19,208.69,209.30,209.30,-0.82%,"1,653,217"
"Nov 12, 2024",209.12,211.40,208.81,211.04,211.04,0.63%,"2,207,154"
"Nov 11, 2024",206.28,210.43,206.28,209.71,209.71,2.81%,"2,578,705"
"Nov 8, 2024",203.80,205.20,201.66,203.97,203.97,0.37%,"1,888,935"
"Nov 7, 2024",202.88,203.84,200.88,203.21,203.21,-0.86%,"3,634,289"
"Nov 6, 2024",200.09,205.06,198.45,204.97,204.97,8.56%,"3,940,724"
"Nov 5, 2024",186.21,188.86,185.70,188.80,188.80,1.53%,"1,524,103"
"Nov 4, 2024",187.26,188.30,185.54,185.95,185.95,-0.64%,"1,429,462"
"Nov 1, 2024",189.50,191.37,187.00,187.15,187.15,-0.59%,"1,971,479"
"Oct 31, 2024",189.93,191.84,188.18,188.27,188.27,-1.03%,"1,802,504"
"Oct 30, 2024",187.26,191.87,186.77,190.22,190.22,1.26%,"1,634,894"
"Oct 29, 2024",189.50,190.00,187.42,187.85,187.85,-1.04%,"1,005,986"
"Oct 28, 2024",187.50,190.12,186.27,189.83,189.83,2.16%,"1,189,180"
"Oct 25, 2024",190.27,190.64,185.63,185.82,185.82,-1.65%,"1,319,036"
"Oct 24, 2024",188.93,189.69,186.96,188.94,188.94,0.39%,"1,223,001"
"Oct 23, 2024",185.85,188.53,185.80,188.21,188.21,1.04%,"2,014,666"
"Oct 22, 2024",185.80,186.81,183.86,186.28,186.28,0.34%,"1,870,925"
"Oct 21, 2024",188.49,189.81,185.34,185.64,185.64,-1.97%,"1,681,152"
"Oct 18, 2024",190.57,191.49,188.01,189.38,189.38,0.31%,"1,852,617"
"Oct 17, 2024",190.96,192.93,188.74,188.80,188.80,-0.59%,"2,842,933"
"Oct 16, 2024",192.76,193.85,189.62,189.93,189.93,-1.25%,"2,920,392"
"Oct 15, 2024",190.50,196.64,189.68,192.34,190.73,2.03%,"2,972,480"
"Oct 14, 2024",187.26,189.69,186.13,188.52,186.95,0.40%,"2,205,755"
"Oct 11, 2024",185.00,189.17,184.71,187.77,186.20,2.40%,"1,386,809"
"Oct 10, 2024",182.68,184.43,182.23,183.37,181.84,0.05%,"1,453,912"
"Oct 9, 2024",180.77,184.04,180.50,183.27,181.74,1.33%,"1,085,335"
"Oct 8, 2024",183.14,183.40,180.44,180.86,179.35,-0.75%,"1,449,473"
"Oct 7, 2024",181.98,183.25,180.42,182.23,180.71,-0.02%,"1,427,644"
"Oct 4, 2024",181.35,182.90,179.94,182.26,180.74,2.17%,"1,103,791"
"Oct 3, 2024",178.37,179.45,176.93,178.39,176.90,-0.56%,"1,706,128"
"Oct 2, 2024",179.55,182.07,178.75,179.40,177.90,-0.27%,"1,393,969"
"Oct 1, 2024",183.49,183.71,178.39,179.89,178.39,-2.68%,"1,664,915"
"Sep 30, 2024",182.75,185.32,181.67,184.85,183.31,0.97%,"1,493,442"
"Sep 27, 2024",183.74,184.72,182.34,183.07,181.54,-0.14%,"925,650"
"Sep 26, 2024",183.73,184.31,182.09,183.32,181.79,0.85%,"1,445,546"
"Sep 25, 2024",184.47,184.47,181.39,181.77,180.25,-1.54%,"1,209,774"
"Sep 24, 2024",185.88,186.33,183.33,184.62,183.08,-0.25%,"1,404,208"
"Sep 23, 2024",186.60,187.77,184.85,185.09,183.54,-0.68%,"1,545,477"
"Sep 20, 2024",185.93,187.16,185.55,186.36,184.80,-0.45%,"2,651,660"
"Sep 19, 2024",185.09,187.78,183.82,187.20,185.64,2.54%,"2,140,267"
"Sep 18, 2024",181.85,185.50,180.65,182.57,181.05,0.60%,"1,458,128"
"Sep 17, 2024",181.52,182.88,180.73,181.49,179.97,0.32%,"2,024,652"
"Sep 16, 2024",178.23,181.02,178.23,180.92,179.41,2.08%,"1,187,640"
"Sep 13, 2024",178.10,180.00,176.23,177.24,175.76,-0.20%,"1,745,198"
"Sep 12, 2024",177.52,178.61,175.19,177.60,176.12,0.27%,"1,939,081"
"Sep 11, 2024",176.97,177.50,172.89,177.12,175.64,-0.93%,"1,886,290"
"Sep 10, 2024",183.35,183.57,175.95,178.78,177.29,-2.10%,"2,628,519"
"Sep 9, 2024",178.48,183.37,177.57,182.61,181.09,3.34%,"2,900,717"
"Sep 6, 2024",180.71,182.11,175.57,176.70,175.22,-2.35%,"1,679,479"
"Sep 5, 2024",183.80,184.27,179.72,180.95,179.44,-0.77%,"1,230,953"
"Sep 4, 2024",184.50,185.23,181.08,182.36,180.84,-1.16%,"1,608,858"
"Sep 3, 2024",184.19,185.84,183.45,184.50,182.96,-0.32%,"1,572,343"
"Aug 30, 2024",183.17,185.57,183.17,185.09,183.54,1.12%,"1,978,286"
"Aug 29, 2024",182.71,184.56,180.12,183.04,181.51,0.69%,"1,034,043"
"Aug 28, 2024",178.58,183.26,178.58,181.78,180.26,1.47%,"1,577,731"
"Aug 27, 2024",178.02,179.27,177.36,179.15,177.65,0.58%,"1,335,678"
"Aug 26, 2024",179.29,179.96,177.70,178.11,176.62,0.01%,"1,009,659"
"Aug 23, 2024",176.15,180.19,175.75,178.10,176.61,1.82%,"1,753,016"
"Aug 22, 2024",173.56,175.73,173.21,174.92,173.46,0.89%,"1,531,431"
"Aug 21, 2024",174.10,174.35,172.19,173.37,171.92,-0.13%,"1,082,923"
"Aug 20, 2024",173.69,174.45,173.14,173.59,172.14,-0.52%,"1,323,813"
"Aug 19, 2024",173.47,174.81,173.15,174.50,173.04,0.87%,"971,523"
"Aug 16, 2024",171.80,174.00,171.80,173.00,171.56,0.69%,"1,365,469"
"Aug 15, 2024",171.90,173.13,171.25,171.82,170.39,2.05%,"1,838,125"
"Aug 14, 2024",168.31,169.20,167.00,168.37,166.96,0.10%,"1,764,379"
"Aug 13, 2024",168.37,168.37,166.42,168.21,166.81,0.71%,"1,567,034"
"Aug 12, 2024",170.63,171.94,166.80,167.02,165.63,-1.71%,"1,772,269"
"Aug 9, 2024",170.11,170.52,169.40,169.92,168.50,-0.21%,"710,475"
"Aug 8, 2024",168.39,170.59,168.32,170.28,168.86,2.12%,"1,497,312"
"Aug 7, 2024",171.70,172.73,166.63,166.75,165.36,-1.38%,"1,729,130"
"Aug 6, 2024",165.94,170.14,165.15,169.09,167.68,1.97%,"2,114,859"
"Aug 5, 2024",166.14,166.81,162.15,165.82,164.44,-2.46%,"3,319,115"
"Aug 2, 2024",173.82,173.82,169.09,170.00,168.58,-3.40%,"2,917,005"
"Aug 1, 2024",181.33,181.86,175.28,175.99,174.52,-2.82%,"2,237,926"
"Jul 31, 2024",181.50,182.79,180.37,181.10,179.59,-0.48%,"1,863,386"
"Jul 30, 2024",182.00,182.84,180.80,181.98,180.46,0.54%,"1,639,885"
