date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",107.79,109.31,107.12,107.94,107.94,0.94%,"2,533,693"
"Nov 22, 2024",106.39,107.21,106.06,106.93,106.93,0.83%,"1,156,140"
"Nov 21, 2024",104.27,106.50,104.00,106.05,106.05,1.80%,"1,220,563"
"Nov 20, 2024",105.10,105.48,103.57,104.17,104.17,-0.55%,"1,012,928"
"Nov 19, 2024",104.71,105.25,103.85,104.75,104.75,-1.06%,"982,865"
"Nov 18, 2024",105.56,106.25,105.19,105.87,105.87,-0.05%,"653,343"
"Nov 15, 2024",105.31,106.37,104.70,105.92,105.92,0.06%,"1,161,991"
"Nov 14, 2024",106.22,106.63,105.18,105.86,105.86,-0.43%,"1,234,073"
"Nov 13, 2024",104.97,107.78,104.64,106.32,106.32,2.15%,"1,361,102"
"Nov 12, 2024",105.39,105.58,103.90,104.08,104.08,-1.47%,"844,562"
"Nov 11, 2024",105.34,106.26,105.21,105.63,105.63,1.23%,"949,417"
"Nov 8, 2024",102.62,105.01,102.27,104.35,104.35,1.37%,"1,367,899"
"Nov 7, 2024",103.02,103.74,102.12,102.94,102.94,0.04%,"1,173,014"
"Nov 6, 2024",107.00,107.32,100.77,102.90,102.90,0.60%,"2,054,072"
"Nov 5, 2024",99.47,102.35,99.28,102.29,102.29,2.65%,"1,390,570"
"Nov 4, 2024",99.05,101.29,98.73,99.65,99.65,1.20%,"1,619,324"
"Nov 1, 2024",99.67,100.26,98.25,98.47,98.47,-0.66%,"2,289,749"
"Oct 31, 2024",98.85,99.87,98.10,99.12,99.12,-0.25%,"2,966,908"
"Oct 30, 2024",98.81,99.88,98.43,99.37,99.37,0.27%,"1,070,092"
"Oct 29, 2024",98.02,99.56,96.96,99.10,99.10,0.11%,"1,374,696"
"Oct 28, 2024",99.65,100.32,98.56,98.99,98.99,0.03%,"1,100,820"
"Oct 25, 2024",100.00,101.00,98.64,98.96,98.96,-0.43%,"1,213,440"
"Oct 24, 2024",98.62,99.71,97.54,99.39,99.39,1.42%,"1,871,851"
"Oct 23, 2024",97.77,98.25,96.64,98.00,98.00,-0.33%,"1,485,892"
"Oct 22, 2024",97.51,99.96,96.65,98.32,98.32,-0.04%,"2,792,485"
"Oct 21, 2024",98.91,99.62,98.14,98.36,98.36,-0.69%,"1,566,889"
"Oct 18, 2024",99.42,99.42,98.34,99.04,99.04,-0.25%,"1,445,864"
