date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",93.34,94.04,92.57,92.88,92.88,-0.05%,"1,189,561"
"Nov 22, 2024",94.00,94.38,92.86,92.93,92.93,-0.74%,"1,297,474"
"Nov 21, 2024",91.72,93.65,91.47,93.62,93.62,1.99%,"1,074,228"
"Nov 20, 2024",90.95,91.80,90.54,91.79,91.79,0.92%,"1,269,162"
"Nov 19, 2024",91.51,91.51,89.87,90.95,90.95,-0.69%,"1,372,021"
"Nov 18, 2024",90.89,92.41,90.56,91.58,91.58,-0.33%,"1,707,025"
"Nov 15, 2024",90.89,92.08,90.53,91.88,91.88,1.12%,"3,587,423"
"Nov 14, 2024",91.03,91.51,90.62,90.86,90.86,-0.39%,"988,592"
"Nov 13, 2024",91.25,91.60,90.53,91.22,91.22,0.33%,"1,335,614"
"Nov 12, 2024",92.00,92.21,90.77,90.92,90.92,-1.08%,"2,234,487"
"Nov 11, 2024",91.02,93.12,91.02,91.91,91.91,0.11%,"1,424,982"
"Nov 8, 2024",89.52,92.13,89.40,91.81,91.81,2.90%,"1,873,905"
"Nov 7, 2024",89.83,90.29,87.76,89.22,89.22,-0.98%,"2,071,319"
"Nov 6, 2024",87.87,92.59,87.64,90.10,90.10,3.91%,"3,210,763"
"Nov 5, 2024",85.43,86.97,85.02,86.71,86.71,1.17%,"1,334,330"
"Nov 4, 2024",84.67,85.79,84.54,85.71,85.71,-0.14%,"1,422,326"
"Nov 1, 2024",87.90,88.07,85.48,85.83,84.94,-2.25%,"1,116,874"
"Oct 31, 2024",87.62,88.50,87.52,87.81,86.90,0.32%,"1,216,577"
"Oct 30, 2024",87.83,87.94,86.82,87.53,86.63,0.10%,"1,646,224"
"Oct 29, 2024",87.69,87.69,86.80,87.44,86.54,-0.90%,"948,398"
"Oct 28, 2024",88.50,88.80,88.12,88.23,87.32,0.03%,"575,093"
"Oct 25, 2024",90.00,90.00,88.03,88.20,87.29,-1.57%,"767,267"
"Oct 24, 2024",89.35,89.77,89.01,89.61,88.68,0.34%,"1,260,840"
"Oct 23, 2024",88.09,89.35,87.82,89.31,88.39,1.35%,"1,651,368"
"Oct 22, 2024",87.00,88.25,86.79,88.12,87.21,0.75%,"1,544,453"
"Oct 21, 2024",88.08,88.08,86.93,87.46,86.56,-0.52%,"1,060,148"
"Oct 18, 2024",87.10,88.14,86.40,87.92,87.01,0.95%,"2,483,155"
"Oct 17, 2024",87.65,87.66,86.96,87.09,86.19,-0.56%,"1,487,236"
"Oct 16, 2024",87.51,87.88,87.10,87.58,86.68,0.61%,"1,947,742"
"Oct 15, 2024",87.12,87.83,86.85,87.05,86.15,0.60%,"1,247,713"
"Oct 14, 2024",86.16,86.84,85.89,86.53,85.64,0.73%,"954,408"
