date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",128.49,129.69,128.09,128.71,128.71,0.64%,"2,127,087"
"Nov 22, 2024",126.26,128.50,126.26,127.89,127.89,1.29%,"1,117,397"
"Nov 21, 2024",125.00,127.29,124.37,126.26,126.26,1.73%,"1,452,141"
"Nov 20, 2024",125.11,125.18,123.38,124.11,124.11,-0.40%,"1,563,736"
"Nov 19, 2024",125.00,125.77,123.64,124.61,124.61,-2.75%,"1,509,987"
"Nov 18, 2024",127.50,128.22,127.24,128.14,126.82,0.57%,"1,328,680"
"Nov 15, 2024",125.91,128.10,125.91,127.41,126.10,1.32%,"3,049,858"
"Nov 14, 2024",126.20,127.10,125.03,125.75,124.45,0.39%,"1,190,875"
"Nov 13, 2024",125.47,126.34,124.83,125.26,123.97,-0.18%,"1,039,694"
"Nov 12, 2024",124.62,125.83,124.53,125.49,124.19,0.39%,"1,109,527"
"Nov 11, 2024",123.70,126.00,122.96,125.00,123.71,2.55%,"1,954,528"
"Nov 8, 2024",124.00,124.41,121.36,121.89,120.63,-1.61%,"2,012,036"
"Nov 7, 2024",126.72,127.23,123.40,123.88,122.60,-3.01%,"1,809,574"
"Nov 6, 2024",127.51,129.13,126.70,127.73,126.41,6.28%,"3,698,274"
"Nov 5, 2024",120.08,121.16,119.08,120.18,118.94,-0.40%,"1,805,683"
"Nov 4, 2024",121.41,121.86,120.10,120.66,119.41,-0.51%,"1,529,699"
"Nov 1, 2024",123.23,124.42,121.27,121.28,120.03,-0.98%,"1,992,051"
"Oct 31, 2024",125.67,126.67,122.46,122.48,121.22,-3.28%,"2,083,939"
"Oct 30, 2024",125.39,127.42,125.18,126.64,125.33,1.09%,"2,009,100"
"Oct 29, 2024",125.50,126.29,124.90,125.27,123.98,-0.26%,"1,302,712"
"Oct 28, 2024",124.40,126.13,124.18,125.60,124.30,1.73%,"1,335,789"
"Oct 25, 2024",125.50,125.51,122.95,123.46,122.19,-1.52%,"1,247,175"
"Oct 24, 2024",125.54,125.84,124.31,125.36,124.07,0.16%,"688,757"
"Oct 23, 2024",125.02,125.59,124.20,125.16,123.87,-0.38%,"853,677"
"Oct 22, 2024",125.43,126.33,124.79,125.64,124.34,0.06%,"758,675"
"Oct 21, 2024",126.93,127.61,125.29,125.57,124.27,-1.44%,"1,003,456"
"Oct 18, 2024",128.00,128.00,126.60,127.40,126.09,-0.33%,"1,055,546"
"Oct 17, 2024",127.01,127.95,127.01,127.82,126.50,0.62%,"1,144,361"
"Oct 16, 2024",126.39,127.42,126.22,127.03,125.72,0.95%,"1,459,268"
