date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",197.81,201.66,197.81,200.59,200.59,1.49%,"1,471,458"
"Nov 22, 2024",192.65,197.83,191.98,197.64,197.64,2.54%,"932,083"
"Nov 21, 2024",190.76,193.84,189.10,192.75,192.75,2.25%,"677,700"
"Nov 20, 2024",189.00,189.46,186.96,188.50,188.50,-0.41%,"588,169"
"Nov 19, 2024",187.15,189.84,186.89,189.27,189.27,0.01%,"754,674"
"Nov 18, 2024",189.74,190.51,187.50,189.26,189.26,-0.39%,"737,550"
"Nov 15, 2024",190.59,191.76,188.74,190.01,190.01,-0.58%,"687,016"
"Nov 14, 2024",193.57,195.56,190.65,191.11,191.11,-1.21%,"749,721"
"Nov 13, 2024",192.44,195.10,192.11,193.46,193.46,0.28%,"852,669"
"Nov 12, 2024",193.05,194.59,192.19,192.92,192.92,-0.60%,"810,912"
"Nov 11, 2024",192.76,197.58,192.23,194.09,194.09,0.65%,"1,132,011"
"Nov 8, 2024",189.39,193.75,183.73,192.83,192.83,1.46%,"1,598,923"
"Nov 7, 2024",193.85,196.99,189.44,190.05,190.05,-4.03%,"1,677,073"
"Nov 6, 2024",195.01,199.48,194.29,198.04,198.04,4.24%,"1,731,098"
"Nov 5, 2024",186.60,190.01,186.60,189.99,189.99,2.02%,"900,769"
"Nov 4, 2024",184.59,187.09,184.33,186.23,186.23,0.65%,"861,368"
"Nov 1, 2024",183.45,187.49,182.36,185.03,185.03,-0.16%,"739,700"
"Oct 31, 2024",186.55,187.08,184.47,185.33,185.33,-0.81%,"683,744"
"Oct 30, 2024",189.41,190.80,186.53,186.84,186.84,-1.33%,"684,898"
"Oct 29, 2024",185.99,190.87,185.26,189.35,189.35,2.21%,"652,484"
"Oct 28, 2024",188.13,188.99,185.09,185.25,185.25,-0.94%,"680,266"
"Oct 25, 2024",184.71,187.52,184.68,187.01,187.01,1.84%,"802,472"
"Oct 24, 2024",184.73,184.80,182.49,183.63,183.63,0.02%,"531,886"
"Oct 23, 2024",182.12,183.68,179.78,183.59,183.59,0.36%,"694,997"
"Oct 22, 2024",183.96,184.52,181.70,182.93,182.93,-1.02%,"425,874"
"Oct 21, 2024",183.81,184.88,182.77,184.81,184.81,0.22%,"570,756"
"Oct 18, 2024",186.22,186.96,184.18,184.40,184.40,-0.44%,"424,488"
"Oct 17, 2024",185.40,186.11,183.97,185.22,185.22,0.40%,"356,212"
"Oct 16, 2024",184.01,186.00,183.15,184.48,184.48,0.26%,"609,761"
"Oct 15, 2024",185.50,188.08,183.48,184.01,184.01,-0.80%,"795,213"
"Oct 14, 2024",181.99,186.11,181.99,185.50,185.50,2.49%,"681,075"
"Oct 11, 2024",180.98,181.71,180.26,181.00,181.00,0.34%,"555,848"
"Oct 10, 2024",180.21,181.84,179.63,180.39,180.39,-0.66%,"549,056"
"Oct 9, 2024",178.39,182.00,178.35,181.59,181.59,2.02%,"498,548"
"Oct 8, 2024",177.88,178.38,176.48,178.00,178.00,0.40%,"553,850"
"Oct 7, 2024",178.77,179.32,176.40,177.29,177.29,-1.29%,"705,847"
"Oct 4, 2024",178.78,179.74,178.13,179.60,179.60,1.43%,"364,251"
"Oct 3, 2024",176.91,177.90,176.00,177.07,177.07,-0.47%,"478,935"
"Oct 2, 2024",175.71,178.11,174.74,177.91,177.91,1.10%,"383,617"
"Oct 1, 2024",180.09,180.64,175.50,175.97,175.97,-2.60%,"701,632"
"Sep 30, 2024",181.61,182.51,179.68,180.66,180.66,-0.83%,"599,959"
"Sep 27, 2024",181.22,182.71,180.17,182.18,182.18,0.65%,"610,849"
"Sep 26, 2024",177.95,181.14,176.52,181.01,181.01,2.73%,"576,559"
"Sep 25, 2024",178.12,178.39,175.59,176.20,176.20,-0.89%,"443,479"
"Sep 24, 2024",177.96,178.77,176.43,177.79,177.79,-0.10%,"406,547"
"Sep 23, 2024",176.71,178.26,176.24,177.96,177.96,1.17%,"475,838"
"Sep 20, 2024",178.60,178.60,174.59,175.90,175.90,-1.80%,"1,576,599"
"Sep 19, 2024",179.73,180.61,177.98,179.13,179.13,2.28%,"690,323"
"Sep 18, 2024",176.06,177.33,174.70,175.13,175.13,-0.32%,"656,759"
"Sep 17, 2024",174.91,176.49,173.95,175.70,175.70,1.12%,"705,491"
"Sep 16, 2024",173.16,174.03,171.42,173.76,173.76,0.89%,"732,434"
"Sep 13, 2024",170.84,172.84,170.11,172.23,172.23,0.75%,"807,124"
"Sep 12, 2024",168.78,171.66,167.56,170.94,170.94,1.33%,"1,035,654"
"Sep 11, 2024",166.56,168.84,164.36,168.69,168.69,1.05%,"847,438"
"Sep 10, 2024",169.03,169.48,165.83,166.94,166.94,-0.51%,"850,638"
"Sep 9, 2024",166.19,168.72,166.19,167.80,167.80,1.85%,"782,280"
"Sep 6, 2024",168.99,169.79,164.44,164.76,164.76,-2.22%,"1,079,964"
"Sep 5, 2024",169.64,170.04,167.56,168.50,168.50,-1.00%,"1,096,544"
"Sep 4, 2024",173.12,173.12,170.06,170.21,170.21,-1.96%,"789,664"
"Sep 3, 2024",178.36,179.15,172.84,173.62,173.62,-3.05%,"812,138"
"Aug 30, 2024",178.74,180.00,175.68,179.09,179.09,1.12%,"1,490,077"
"Aug 29, 2024",175.28,178.74,175.28,177.11,177.11,1.86%,"975,410"
