date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",158.94,159.65,157.22,158.82,158.82,1.29%,"9,189,843"
"Nov 22, 2024",154.79,156.88,153.73,156.79,156.79,0.86%,"5,709,268"
"Nov 21, 2024",155.16,156.94,153.59,155.46,155.46,0.77%,"10,685,785"
"Nov 20, 2024",164.00,164.20,152.95,154.27,154.27,-6.34%,"14,483,042"
"Nov 19, 2024",164.03,166.23,162.65,164.71,164.71,0.13%,"6,176,848"
"Nov 18, 2024",162.60,165.14,162.00,164.50,164.50,2.49%,"7,816,812"
"Nov 15, 2024",163.00,164.33,159.60,160.50,160.50,-2.12%,"9,737,033"
"Nov 14, 2024",162.95,164.91,161.87,163.97,163.97,2.21%,"7,012,644"
"Nov 13, 2024",162.79,162.94,159.75,160.42,160.42,-1.83%,"7,921,747"
"Nov 12, 2024",167.05,167.33,161.86,163.41,163.41,-2.90%,"8,483,331"
"Nov 11, 2024",170.00,170.79,166.09,168.29,168.29,-1.53%,"7,829,485"
"Nov 8, 2024",172.09,173.49,168.76,170.91,170.91,-1.16%,"10,736,646"
"Nov 7, 2024",180.27,182.10,171.63,172.91,172.91,-0.05%,"23,586,315"
"Nov 6, 2024",169.25,178.45,168.67,172.99,172.99,4.27%,"17,661,921"
"Nov 5, 2024",165.00,167.59,164.25,165.91,165.91,0.44%,"5,373,163"
"Nov 4, 2024",165.06,167.50,163.64,165.18,165.18,-0.05%,"4,949,802"
"Nov 1, 2024",163.08,166.09,162.77,165.27,165.27,1.54%,"6,498,125"
"Oct 31, 2024",167.62,167.78,162.08,162.77,162.77,-2.89%,"10,261,236"
"Oct 30, 2024",169.92,171.74,167.53,167.62,167.62,-4.76%,"8,819,735"
"Oct 29, 2024",172.20,176.57,171.26,176.00,176.00,2.19%,"6,427,746"
"Oct 28, 2024",169.42,173.15,169.37,172.22,172.22,1.15%,"5,024,581"
"Oct 25, 2024",170.28,173.18,169.81,170.27,170.27,1.29%,"5,496,607"
"Oct 24, 2024",166.61,168.94,165.53,168.10,168.10,0.90%,"4,933,426"
"Oct 23, 2024",169.34,172.64,164.30,166.60,166.60,-3.80%,"9,788,217"
"Oct 22, 2024",169.01,173.48,168.23,173.18,173.18,2.47%,"7,313,047"
"Oct 21, 2024",169.64,170.17,166.07,169.01,169.01,-1.12%,"7,297,738"
"Oct 18, 2024",172.11,172.58,169.42,170.92,170.92,-0.11%,"6,432,721"
"Oct 17, 2024",175.62,175.62,171.02,171.10,171.10,-0.22%,"6,093,179"
"Oct 16, 2024",174.62,174.67,170.22,171.48,171.48,-1.50%,"6,495,701"
"Oct 15, 2024",177.22,179.83,172.75,174.09,174.09,-2.22%,"12,910,401"
"Oct 14, 2024",171.34,178.87,170.90,178.04,178.04,4.74%,"9,933,613"
"Oct 11, 2024",168.00,170.43,166.87,169.98,169.98,0.87%,"3,801,395"
"Oct 10, 2024",167.23,168.75,165.33,168.52,168.52,-1.00%,"5,048,030"
"Oct 9, 2024",165.95,170.30,164.67,170.22,170.22,2.33%,"5,486,488"
"Oct 8, 2024",164.86,167.72,163.66,166.34,166.34,-0.36%,"7,843,548"
"Oct 7, 2024",167.64,168.72,165.74,166.94,166.94,-1.16%,"4,359,327"
"Oct 4, 2024",172.55,172.80,166.48,168.90,168.90,-0.01%,"6,588,668"
"Oct 3, 2024",165.95,169.53,165.66,168.92,168.92,0.36%,"6,260,212"
"Oct 2, 2024",166.15,169.75,165.15,168.32,168.32,1.53%,"4,484,587"
"Oct 1, 2024",169.80,170.29,164.08,165.78,165.78,-2.51%,"8,277,568"
"Sep 30, 2024",171.37,172.23,167.75,170.05,170.05,-0.05%,"8,103,000"
"Sep 27, 2024",173.00,173.45,169.83,170.13,170.13,-1.47%,"5,880,662"
"Sep 26, 2024",174.91,175.75,166.78,172.66,172.66,2.61%,"8,474,993"
"Sep 25, 2024",166.28,168.59,165.76,168.27,168.27,0.79%,"5,095,502"
"Sep 24, 2024",167.42,169.36,165.98,166.95,166.95,0.60%,"9,666,799"
"Sep 23, 2024",168.42,169.98,165.35,165.96,165.96,-1.75%,"9,810,047"
"Sep 20, 2024",172.69,173.07,164.30,168.92,168.92,-2.87%,"27,546,386"
"Sep 19, 2024",174.42,176.80,172.49,173.92,173.92,3.34%,"10,900,028"
"Sep 18, 2024",169.52,172.42,167.70,168.30,168.30,-0.24%,"5,877,581"
"Sep 17, 2024",168.88,169.50,166.08,168.70,168.70,1.25%,"5,828,016"
"Sep 16, 2024",164.93,167.34,163.79,166.61,166.61,-0.67%,"6,510,034"
"Sep 13, 2024",165.81,168.30,165.44,167.73,167.73,1.67%,"4,049,902"
"Sep 12, 2024",165.88,166.31,162.90,164.98,164.98,-0.95%,"6,045,562"
"Sep 11, 2024",162.36,166.90,159.25,166.56,166.56,3.02%,"8,275,440"
"Sep 10, 2024",160.00,162.06,157.68,161.68,161.68,0.57%,"7,918,073"
"Sep 9, 2024",161.09,162.37,158.57,160.77,160.77,1.63%,"7,494,915"
"Sep 6, 2024",162.74,163.19,157.13,158.19,158.19,-3.37%,"10,703,047"
"Sep 5, 2024",163.08,165.80,161.85,163.70,163.70,-0.99%,"5,599,989"
"Sep 4, 2024",163.00,168.24,162.63,165.33,164.48,1.28%,"6,453,864"
"Sep 3, 2024",171.89,172.16,162.00,163.24,162.40,-6.88%,"11,620,265"
