date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",27.51,27.96,27.42,27.47,27.47,0.70%,"11,189,728"
"Nov 22, 2024",26.92,27.32,26.75,27.28,27.28,2.02%,"7,976,877"
"Nov 21, 2024",26.49,26.92,26.32,26.74,26.74,1.83%,"6,853,987"
"Nov 20, 2024",26.39,26.39,26.11,26.26,26.26,-,"6,632,882"
"Nov 19, 2024",26.04,26.35,25.98,26.26,26.26,-0.27%,"6,214,932"
"Nov 18, 2024",26.30,26.46,26.20,26.33,26.33,-0.11%,"6,366,201"
"Nov 15, 2024",26.45,26.56,26.13,26.36,26.36,0.34%,"9,270,689"
"Nov 14, 2024",26.20,26.41,26.03,26.27,26.27,0.65%,"9,158,848"
"Nov 13, 2024",26.38,26.73,26.03,26.10,26.10,-0.31%,"6,713,633"
"Nov 12, 2024",25.94,26.32,25.93,26.18,26.18,-0.08%,"7,045,318"
"Nov 11, 2024",26.00,26.31,25.93,26.20,26.20,2.26%,"7,492,212"
"Nov 8, 2024",25.46,25.75,25.24,25.62,25.62,0.83%,"6,487,977"
"Nov 7, 2024",26.05,26.12,25.25,25.41,25.41,-3.42%,"9,131,533"
"Nov 6, 2024",25.02,26.33,24.91,26.31,26.31,11.39%,"20,811,368"
"Nov 5, 2024",23.47,23.69,23.41,23.62,23.62,0.98%,"4,771,737"
"Nov 4, 2024",23.58,23.65,23.26,23.39,23.39,-0.72%,"6,051,053"
"Nov 1, 2024",23.91,24.12,23.52,23.56,23.56,-1.30%,"7,072,878"
"Oct 31, 2024",24.21,24.32,23.86,23.87,23.87,-0.79%,"7,391,005"
"Oct 30, 2024",23.83,24.45,23.83,24.06,24.06,0.80%,"7,778,817"
"Oct 29, 2024",24.08,24.21,23.78,23.87,23.87,-0.79%,"5,798,021"
"Oct 28, 2024",23.65,24.13,23.63,24.06,24.06,2.38%,"7,344,261"
"Oct 25, 2024",23.91,24.01,23.39,23.50,23.50,-1.09%,"7,022,663"
"Oct 24, 2024",24.01,24.01,23.57,23.76,23.76,0.51%,"9,158,177"
"Oct 23, 2024",23.55,23.75,23.42,23.64,23.64,-,"5,810,721"
"Oct 22, 2024",23.63,23.80,23.37,23.64,23.64,0.04%,"9,066,587"
"Oct 21, 2024",24.05,24.10,23.47,23.63,23.63,-0.80%,"11,433,280"
"Oct 18, 2024",24.32,24.47,23.68,23.82,23.82,-0.67%,"11,191,479"
"Oct 17, 2024",24.04,24.26,23.82,23.98,23.98,-,"12,409,702"
"Oct 16, 2024",23.96,24.30,23.86,23.98,23.98,0.93%,"7,567,249"
"Oct 15, 2024",23.97,24.33,23.74,23.76,23.76,-0.38%,"10,042,972"
"Oct 14, 2024",23.74,23.97,23.49,23.85,23.85,0.68%,"5,191,098"
"Oct 11, 2024",23.30,23.82,23.28,23.69,23.69,2.82%,"7,084,266"
"Oct 10, 2024",23.05,23.30,22.94,23.04,23.04,-0.17%,"4,967,936"
"Oct 9, 2024",22.73,23.22,22.62,23.08,23.08,1.50%,"6,084,663"
"Oct 8, 2024",22.86,23.03,22.71,22.74,22.74,-0.31%,"4,379,201"
"Oct 7, 2024",22.83,22.92,22.58,22.81,22.81,-0.13%,"4,426,248"
"Oct 4, 2024",22.80,22.98,22.54,22.84,22.84,1.83%,"7,376,486"
"Oct 3, 2024",22.50,22.56,22.24,22.43,22.43,-0.58%,"7,960,881"
"Oct 2, 2024",22.54,23.14,22.46,22.56,22.56,0.09%,"8,778,661"
"Oct 1, 2024",23.14,23.24,22.34,22.54,22.54,-3.39%,"9,990,228"
"Sep 30, 2024",23.01,23.37,22.86,23.33,23.33,1.30%,"7,454,836"
"Sep 27, 2024",22.96,23.26,22.83,23.03,23.03,0.57%,"4,541,059"
"Sep 26, 2024",22.78,22.93,22.59,22.90,22.90,1.60%,"5,894,545"
"Sep 25, 2024",22.90,22.91,22.49,22.54,22.54,-1.66%,"5,024,560"
"Sep 24, 2024",23.04,23.24,22.77,22.92,22.92,0.04%,"7,821,656"
"Sep 23, 2024",23.18,23.31,22.77,22.91,22.91,-0.87%,"5,168,629"
"Sep 20, 2024",23.28,23.29,23.01,23.11,23.11,-1.07%,"15,208,985"
"Sep 19, 2024",22.97,23.43,22.90,23.36,23.36,2.82%,"9,119,435"
"Sep 18, 2024",22.61,23.15,22.44,22.72,22.72,0.84%,"6,598,462"
"Sep 17, 2024",22.42,22.82,22.37,22.53,22.53,1.03%,"5,077,296"
"Sep 16, 2024",22.02,22.34,22.02,22.30,22.30,1.50%,"6,602,396"
"Sep 13, 2024",22.00,22.25,21.65,21.97,21.97,0.18%,"6,943,462"
"Sep 12, 2024",22.03,22.22,21.75,21.93,21.93,-0.32%,"7,586,192"
"Sep 11, 2024",21.99,22.14,21.33,22.00,22.00,-1.43%,"9,847,544"
"Sep 10, 2024",22.58,22.64,21.87,22.32,22.32,-1.02%,"8,460,193"
"Sep 9, 2024",22.30,22.76,22.29,22.55,22.55,1.71%,"5,794,194"
"Sep 6, 2024",22.64,22.83,22.07,22.17,22.17,-1.95%,"8,837,397"
"Sep 5, 2024",23.00,23.09,22.49,22.61,22.61,-0.96%,"7,210,880"
"Sep 4, 2024",22.93,23.11,22.60,22.83,22.83,-0.74%,"6,408,712"
"Sep 3, 2024",23.08,23.39,22.96,23.00,23.00,-1.79%,"6,637,859"
"Aug 30, 2024",23.26,23.47,23.18,23.42,23.17,0.90%,"13,068,445"
"Aug 29, 2024",23.07,23.39,22.77,23.21,22.96,1.00%,"5,318,374"
"Aug 28, 2024",22.74,23.15,22.65,22.98,22.73,0.97%,"4,592,216"
"Aug 27, 2024",22.68,22.83,22.58,22.76,22.52,-0.13%,"4,990,420"
"Aug 26, 2024",23.00,23.09,22.63,22.79,22.55,-0.09%,"6,183,499"
"Aug 23, 2024",22.31,22.99,22.25,22.81,22.57,2.93%,"10,817,689"
"Aug 22, 2024",21.76,22.28,21.76,22.16,21.92,1.70%,"6,464,279"
"Aug 21, 2024",21.92,21.96,21.51,21.79,21.56,-0.23%,"5,965,316"
"Aug 20, 2024",21.64,21.92,21.64,21.84,21.61,0.37%,"7,250,277"
"Aug 19, 2024",21.51,21.79,21.50,21.76,21.53,1.21%,"4,141,527"
"Aug 16, 2024",21.11,21.53,21.02,21.50,21.27,1.75%,"5,037,660"
"Aug 15, 2024",21.28,21.53,21.04,21.13,20.90,1.15%,"7,098,915"
"Aug 14, 2024",20.99,21.06,20.81,20.89,20.67,-,"5,678,998"
"Aug 13, 2024",20.90,20.92,20.60,20.89,20.67,0.67%,"5,943,014"
"Aug 12, 2024",20.96,21.25,20.52,20.75,20.53,0.10%,"9,194,238"
"Aug 9, 2024",20.82,20.89,20.66,20.73,20.51,-0.48%,"6,177,579"
"Aug 8, 2024",20.79,20.94,20.62,20.83,20.61,1.66%,"4,973,068"
"Aug 7, 2024",21.06,21.24,20.48,20.49,20.27,-0.97%,"5,303,596"
"Aug 6, 2024",20.36,20.97,20.24,20.69,20.47,1.37%,"5,878,793"
"Aug 5, 2024",20.28,20.63,19.88,20.41,20.19,-2.25%,"8,178,241"
"Aug 2, 2024",21.06,21.11,20.41,20.88,20.66,-3.06%,"8,259,515"
"Aug 1, 2024",22.38,22.44,21.43,21.54,21.31,-3.71%,"8,660,859"
"Jul 31, 2024",22.62,22.74,22.33,22.37,22.13,-1.58%,"8,303,212"
"Jul 30, 2024",22.64,22.84,22.47,22.73,22.49,1.34%,"5,419,236"
"Jul 29, 2024",22.81,22.88,22.36,22.43,22.19,-1.45%,"6,610,774"
"Jul 26, 2024",22.61,22.80,22.49,22.76,22.52,0.93%,"7,329,041"
"Jul 25, 2024",22.03,22.86,22.03,22.55,22.31,1.99%,"7,900,702"
