date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",244.53,249.77,243.60,249.56,249.56,2.37%,"1,708,448"
"Nov 22, 2024",243.60,243.89,241.44,243.78,243.78,0.07%,"551,442"
"Nov 21, 2024",242.52,243.73,240.69,243.60,243.60,0.85%,"455,006"
"Nov 20, 2024",238.73,242.47,236.72,241.55,241.55,1.44%,"490,515"
"Nov 19, 2024",237.73,240.67,236.62,238.12,238.12,-0.54%,"711,330"
"Nov 18, 2024",234.91,240.22,234.91,239.42,239.42,1.99%,"759,947"
"Nov 15, 2024",233.17,235.09,231.17,234.74,234.74,1.43%,"1,116,942"
"Nov 14, 2024",235.44,236.89,231.18,231.43,231.43,-1.70%,"1,102,264"
"Nov 13, 2024",246.41,247.73,235.36,235.44,235.44,-4.76%,"993,990"
"Nov 12, 2024",248.81,249.27,246.19,247.21,247.21,-0.60%,"737,144"
"Nov 11, 2024",252.55,252.99,248.43,248.69,248.69,-1.46%,"898,839"
"Nov 8, 2024",249.00,255.16,248.53,252.38,252.38,1.55%,"930,321"
"Nov 7, 2024",246.48,248.55,243.62,248.54,248.54,1.18%,"815,815"
"Nov 6, 2024",248.74,250.00,241.98,245.63,245.11,-0.04%,"802,462"
"Nov 5, 2024",243.61,246.51,241.28,245.74,245.22,0.87%,"1,081,060"
"Nov 4, 2024",245.00,247.75,242.84,243.61,243.09,-0.27%,"1,236,221"
"Nov 1, 2024",242.00,246.77,241.12,244.28,243.76,0.75%,"1,118,394"
"Oct 31, 2024",242.00,243.67,240.53,242.47,241.95,-0.23%,"1,165,516"
"Oct 30, 2024",243.30,245.85,241.06,243.02,242.50,-0.56%,"1,105,490"
"Oct 29, 2024",247.62,250.09,243.83,244.40,243.88,-0.98%,"1,486,270"
"Oct 28, 2024",258.00,259.33,246.27,246.83,246.31,-3.61%,"1,796,072"
"Oct 25, 2024",260.00,260.49,252.80,256.07,255.53,7.12%,"3,516,542"
"Oct 24, 2024",237.46,243.99,237.46,239.05,238.54,0.70%,"1,846,403"
"Oct 23, 2024",239.13,240.22,235.08,237.40,236.90,-1.08%,"1,019,834"
"Oct 22, 2024",239.06,241.17,237.63,239.98,239.47,-0.03%,"614,629"
"Oct 21, 2024",241.06,242.44,238.40,240.05,239.54,0.02%,"973,032"
"Oct 18, 2024",240.60,241.67,237.78,240.00,239.49,0.17%,"766,425"
"Oct 17, 2024",239.78,242.15,237.37,239.59,239.08,0.52%,"839,334"
"Oct 16, 2024",238.19,242.11,237.45,238.34,237.83,-0.35%,"816,001"
"Oct 15, 2024",242.37,243.99,238.73,239.18,238.67,-0.64%,"1,024,667"
"Oct 14, 2024",240.12,242.23,238.69,240.71,240.20,0.08%,"588,166"
"Oct 11, 2024",238.48,242.51,238.41,240.51,240.00,1.08%,"504,740"
"Oct 10, 2024",233.79,238.45,233.79,237.93,237.42,0.38%,"766,093"
"Oct 9, 2024",236.00,238.19,234.11,237.04,236.54,0.42%,"749,689"
"Oct 8, 2024",233.47,237.82,233.15,236.06,235.56,1.62%,"744,076"
"Oct 7, 2024",234.67,236.54,230.44,232.29,231.80,-0.72%,"650,986"
