date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",102.93,103.32,101.78,101.84,101.84,-0.64%,"8,839,592"
"Nov 22, 2024",100.00,102.56,99.77,102.50,102.50,2.44%,"6,563,290"
"Nov 21, 2024",99.50,100.33,98.49,100.06,100.06,1.83%,"6,760,622"
"Nov 20, 2024",98.00,98.75,97.11,98.26,98.26,-0.09%,"7,527,665"
"Nov 19, 2024",99.79,100.30,98.20,98.35,98.35,-2.04%,"9,176,224"
"Nov 18, 2024",98.44,100.61,97.93,100.40,100.40,2.01%,"7,044,677"
"Nov 15, 2024",99.10,100.22,97.99,98.42,98.42,-0.82%,"8,119,864"
"Nov 14, 2024",99.43,100.02,99.14,99.23,98.62,-0.57%,"6,441,497"
"Nov 13, 2024",97.35,99.94,96.23,99.80,99.19,1.01%,"8,816,282"
"Nov 12, 2024",100.13,100.54,98.42,98.80,98.19,-1.51%,"8,438,424"
"Nov 11, 2024",98.00,101.41,97.95,100.31,99.69,2.83%,"10,313,340"
"Nov 8, 2024",96.11,97.64,96.03,97.55,96.95,1.49%,"6,118,742"
"Nov 7, 2024",96.06,96.69,95.76,96.12,95.53,0.04%,"6,195,191"
"Nov 6, 2024",96.97,98.23,94.78,96.08,95.49,-1.04%,"9,708,753"
"Nov 5, 2024",96.86,97.47,96.15,97.09,96.49,0.06%,"6,348,324"
"Nov 4, 2024",98.59,98.81,96.70,97.03,96.43,-1.86%,"7,049,097"
"Nov 1, 2024",97.60,99.80,97.37,98.87,98.26,1.20%,"8,860,191"
"Oct 31, 2024",97.32,99.00,95.35,97.70,97.10,0.39%,"12,011,536"
"Oct 30, 2024",97.37,98.15,96.80,97.32,96.72,-0.07%,"9,187,206"
"Oct 29, 2024",97.74,98.05,96.35,97.39,96.79,-0.64%,"7,664,209"
"Oct 28, 2024",97.65,99.14,97.55,98.02,97.42,0.73%,"6,790,945"
"Oct 25, 2024",97.22,97.96,96.43,97.31,96.71,0.16%,"9,665,550"
"Oct 24, 2024",97.69,99.42,96.85,97.15,96.55,-0.51%,"9,828,604"
"Oct 23, 2024",93.87,97.72,93.69,97.65,97.05,0.86%,"18,858,761"
"Oct 22, 2024",96.35,97.19,95.94,96.82,96.22,0.38%,"6,670,917"
"Oct 21, 2024",96.95,97.20,95.89,96.45,95.86,-0.40%,"3,994,283"
"Oct 18, 2024",95.68,96.85,95.04,96.84,96.24,1.65%,"6,178,250"
