date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",81.93,82.40,81.11,81.77,81.77,0.63%,"13,029,512"
"Nov 22, 2024",80.81,81.77,80.81,81.26,81.26,0.57%,"7,737,956"
"Nov 21, 2024",80.59,81.70,80.22,80.80,80.80,0.42%,"5,081,846"
"Nov 20, 2024",79.69,80.52,79.42,80.46,80.46,0.34%,"6,613,684"
"Nov 19, 2024",80.39,80.73,79.90,80.19,80.19,-1.47%,"6,549,282"
"Nov 18, 2024",81.00,81.88,80.39,81.39,81.39,0.93%,"9,448,608"
"Nov 15, 2024",80.15,81.00,79.89,80.64,80.64,0.56%,"9,372,796"
"Nov 14, 2024",82.09,82.50,79.81,80.19,80.19,2.48%,"14,718,015"
"Nov 13, 2024",77.75,79.05,77.75,78.25,78.25,0.08%,"8,731,464"
"Nov 12, 2024",77.94,78.54,77.41,78.19,78.19,0.44%,"10,244,780"
"Nov 11, 2024",75.04,77.96,75.01,77.85,77.85,5.35%,"13,162,847"
"Nov 8, 2024",73.46,74.99,73.13,73.90,73.90,1.00%,"8,728,207"
"Nov 7, 2024",75.64,75.64,72.90,73.17,72.92,-3.41%,"10,380,229"
"Nov 6, 2024",74.57,76.23,73.41,75.75,75.50,6.23%,"16,218,392"
"Nov 5, 2024",70.43,71.40,70.38,71.31,71.07,0.49%,"4,232,106"
"Nov 4, 2024",70.94,71.15,70.29,70.96,70.72,0.03%,"3,924,602"
"Nov 1, 2024",70.95,71.37,70.42,70.94,70.70,0.16%,"6,266,153"
"Oct 31, 2024",70.72,71.55,70.48,70.83,70.59,-0.38%,"6,997,051"
"Oct 30, 2024",71.75,72.25,70.96,71.10,70.86,-1.10%,"6,426,075"
"Oct 29, 2024",72.16,72.46,71.87,71.89,71.65,-0.21%,"6,006,317"
"Oct 28, 2024",72.27,72.58,71.65,72.04,71.80,0.31%,"5,758,736"
"Oct 25, 2024",72.76,72.91,71.52,71.82,71.58,-1.06%,"4,503,918"
"Oct 24, 2024",71.90,72.65,71.32,72.59,72.35,1.23%,"6,727,594"
"Oct 23, 2024",70.84,71.99,70.74,71.71,71.47,1.13%,"6,593,984"
"Oct 22, 2024",70.82,71.05,69.93,70.91,70.67,0.06%,"5,559,567"
"Oct 21, 2024",71.20,71.25,70.48,70.87,70.63,-0.69%,"5,438,513"
"Oct 18, 2024",72.58,72.61,71.19,71.36,71.12,-0.76%,"8,948,366"
"Oct 17, 2024",72.52,72.71,71.76,71.91,71.67,-0.24%,"8,717,821"
"Oct 16, 2024",72.68,74.18,71.71,72.08,71.84,0.17%,"13,643,735"
"Oct 15, 2024",72.60,73.92,71.42,71.96,71.72,6.10%,"21,705,731"
"Oct 14, 2024",67.86,68.35,67.54,67.82,67.59,0.21%,"7,672,196"
"Oct 11, 2024",66.96,68.09,66.81,67.68,67.45,1.55%,"7,369,930"
"Oct 10, 2024",66.40,67.16,66.25,66.65,66.43,-0.07%,"6,463,318"
"Oct 9, 2024",65.25,66.73,64.97,66.70,66.48,2.77%,"11,115,649"
"Oct 8, 2024",64.53,65.08,64.26,64.90,64.68,0.95%,"7,510,076"
"Oct 7, 2024",64.48,65.40,64.16,64.29,64.07,-0.71%,"7,060,225"
"Oct 4, 2024",64.17,64.99,64.07,64.75,64.53,2.13%,"7,144,429"
