date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",114.21,114.83,112.88,113.62,113.62,0.28%,"3,044,289"
"Nov 22, 2024",113.95,114.53,112.77,113.30,113.30,-0.52%,"1,263,063"
"Nov 21, 2024",112.06,113.95,110.85,113.89,113.89,1.61%,"1,050,199"
"Nov 20, 2024",111.81,113.28,111.34,112.08,112.08,0.15%,"888,332"
"Nov 19, 2024",110.60,112.41,109.79,111.91,111.91,1.30%,"1,092,134"
"Nov 18, 2024",107.22,110.85,107.22,110.47,110.47,3.32%,"1,572,439"
"Nov 15, 2024",109.53,109.87,106.19,106.92,106.92,-3.46%,"1,901,303"
"Nov 14, 2024",111.37,112.77,110.68,110.75,109.64,-0.24%,"1,131,888"
"Nov 13, 2024",112.00,112.23,109.94,111.02,109.91,-0.86%,"1,833,738"
"Nov 12, 2024",114.10,114.58,111.80,111.98,110.86,-1.47%,"1,115,262"
"Nov 11, 2024",115.67,116.23,113.19,113.65,112.51,-1.56%,"1,145,091"
"Nov 8, 2024",115.50,115.69,114.38,115.45,114.30,0.16%,"894,336"
"Nov 7, 2024",115.38,116.25,114.34,115.26,114.11,-0.31%,"995,249"
"Nov 6, 2024",117.57,118.10,115.51,115.62,114.46,-0.66%,"1,314,454"
"Nov 5, 2024",113.50,116.40,113.50,116.39,115.23,2.37%,"955,317"
"Nov 4, 2024",112.93,114.96,112.76,113.69,112.55,0.68%,"1,012,017"
"Nov 1, 2024",114.15,114.15,112.50,112.92,111.79,-0.52%,"767,001"
"Oct 31, 2024",113.99,115.14,113.21,113.51,112.38,-0.36%,"1,286,470"
"Oct 30, 2024",113.45,114.03,112.76,113.92,112.78,0.11%,"875,173"
"Oct 29, 2024",114.73,115.95,113.75,113.79,112.65,-1.45%,"738,544"
"Oct 28, 2024",116.88,117.55,115.37,115.46,114.31,-0.53%,"643,160"
"Oct 25, 2024",116.50,117.40,116.03,116.07,114.91,-0.83%,"418,527"
"Oct 24, 2024",118.03,118.82,117.00,117.04,115.87,-0.56%,"577,145"
"Oct 23, 2024",117.02,117.97,116.25,117.70,116.52,-,"471,193"
"Oct 22, 2024",120.00,120.00,116.40,117.70,116.52,-1.86%,"958,754"
"Oct 21, 2024",121.69,121.80,119.83,119.93,118.73,-1.48%,"595,539"
"Oct 18, 2024",121.25,121.94,120.36,121.73,120.51,0.40%,"920,624"
"Oct 17, 2024",121.23,121.39,120.08,121.25,120.04,-0.30%,"695,232"
"Oct 16, 2024",119.86,121.81,119.54,121.61,120.39,0.89%,"693,624"
"Oct 15, 2024",118.80,122.08,118.38,120.54,119.34,1.97%,"797,614"
"Oct 14, 2024",117.10,118.51,116.62,118.21,117.03,1.19%,"571,901"
"Oct 11, 2024",117.38,117.82,116.56,116.82,115.65,-0.17%,"606,588"
"Oct 10, 2024",117.68,118.00,116.39,117.02,115.85,-0.16%,"495,950"
"Oct 9, 2024",117.17,117.87,116.33,117.21,116.04,0.37%,"404,174"
"Oct 8, 2024",116.25,117.03,115.35,116.78,115.61,0.52%,"733,685"
"Oct 7, 2024",117.22,117.62,115.99,116.18,115.02,-1.03%,"805,843"
"Oct 4, 2024",116.65,117.49,115.94,117.39,116.22,0.09%,"733,326"
"Oct 3, 2024",118.40,118.74,116.22,117.28,116.11,-1.55%,"741,153"
"Oct 2, 2024",120.40,120.60,118.58,119.13,117.94,-1.72%,"633,960"
"Oct 1, 2024",121.17,121.74,120.01,121.21,120.00,0.09%,"769,516"
"Sep 30, 2024",122.05,122.16,120.02,121.10,119.89,-0.04%,"773,070"
"Sep 27, 2024",120.34,122.64,119.46,121.15,119.94,1.07%,"772,735"
"Sep 26, 2024",117.84,120.34,117.84,119.87,118.67,1.38%,"625,426"
"Sep 25, 2024",118.26,119.32,118.04,118.24,117.06,0.69%,"746,140"
"Sep 24, 2024",118.97,119.66,117.13,117.43,116.26,-1.30%,"993,009"
"Sep 23, 2024",118.57,119.29,117.83,118.98,117.79,0.20%,"1,027,438"
"Sep 20, 2024",119.61,119.90,118.11,118.74,117.55,-0.47%,"2,338,097"
"Sep 19, 2024",119.99,120.61,119.17,119.30,118.11,-0.98%,"896,129"
"Sep 18, 2024",119.19,121.65,119.19,120.48,119.28,0.64%,"990,091"
"Sep 17, 2024",120.50,121.78,119.54,119.71,118.51,-0.97%,"871,900"
"Sep 16, 2024",121.70,122.75,120.53,120.88,119.67,0.12%,"696,101"
"Sep 13, 2024",117.92,120.92,117.55,120.74,119.53,2.34%,"648,364"
"Sep 12, 2024",117.26,118.06,116.55,117.98,116.80,0.42%,"778,919"
"Sep 11, 2024",118.80,119.27,116.92,117.49,116.32,-1.24%,"1,459,669"
"Sep 10, 2024",120.28,121.10,118.42,118.97,117.78,-1.01%,"856,881"
"Sep 9, 2024",120.29,121.31,119.56,120.18,118.98,-0.07%,"728,583"
"Sep 6, 2024",121.01,122.35,120.19,120.27,119.07,-0.76%,"1,110,894"
"Sep 5, 2024",121.42,121.84,120.48,121.19,119.98,0.55%,"984,877"
"Sep 4, 2024",119.07,121.46,118.85,120.53,119.33,1.51%,"1,337,163"
"Sep 3, 2024",114.50,119.05,114.50,118.74,117.55,3.54%,"1,557,870"
"Aug 30, 2024",113.89,115.50,113.65,114.68,113.53,0.78%,"1,143,032"
"Aug 29, 2024",114.50,114.67,112.82,113.79,112.65,-0.82%,"1,466,813"
"Aug 28, 2024",112.93,116.13,112.70,114.73,113.58,-4.95%,"3,063,959"
"Aug 27, 2024",121.36,122.19,120.07,120.70,119.49,-0.54%,"1,686,374"
"Aug 26, 2024",122.32,122.59,120.66,121.36,120.15,-0.56%,"974,170"
"Aug 23, 2024",121.31,122.12,121.00,122.04,120.82,0.82%,"579,966"
