date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",44.63,44.97,43.62,43.75,43.75,-1.09%,"14,173,172"
"Nov 22, 2024",44.16,44.70,44.04,44.23,44.23,0.39%,"9,015,450"
"Nov 21, 2024",43.85,44.55,43.64,44.06,44.06,1.22%,"11,529,016"
"Nov 20, 2024",43.25,43.65,42.92,43.53,43.53,1.00%,"8,329,596"
"Nov 19, 2024",42.72,43.49,42.66,43.10,43.10,-0.90%,"8,178,352"
"Nov 18, 2024",43.84,43.94,43.18,43.49,43.49,0.72%,"6,955,883"
"Nov 15, 2024",43.36,43.97,42.86,43.18,43.18,-0.62%,"9,632,621"
"Nov 14, 2024",43.82,44.00,43.02,43.45,43.45,-0.32%,"10,061,513"
"Nov 13, 2024",44.47,44.50,43.22,43.59,43.59,-1.67%,"9,900,430"
"Nov 12, 2024",44.40,44.97,44.20,44.33,44.33,0.09%,"13,725,772"
"Nov 11, 2024",43.29,44.44,43.20,44.29,44.29,2.57%,"12,193,717"
"Nov 8, 2024",42.99,43.51,42.53,43.18,43.18,-0.14%,"13,598,067"
"Nov 7, 2024",43.75,43.91,42.74,43.24,43.24,-1.21%,"15,426,716"
"Nov 6, 2024",42.52,44.33,41.75,43.77,43.77,7.94%,"25,379,253"
"Nov 5, 2024",40.40,40.75,40.16,40.55,40.55,0.57%,"10,810,852"
"Nov 4, 2024",39.91,40.60,39.86,40.32,40.32,1.41%,"11,102,954"
"Nov 1, 2024",40.16,40.39,39.69,39.76,39.76,-0.77%,"12,605,858"
"Oct 31, 2024",40.40,40.59,40.01,40.07,40.07,-0.20%,"14,264,857"
"Oct 30, 2024",40.55,40.85,40.12,40.15,40.15,-0.69%,"12,252,088"
"Oct 29, 2024",41.31,41.31,40.22,40.43,40.43,-2.32%,"15,895,646"
"Oct 28, 2024",40.62,41.62,40.40,41.39,41.39,-0.84%,"10,589,894"
"Oct 25, 2024",41.55,42.16,41.36,41.74,41.74,1.19%,"15,345,710"
"Oct 24, 2024",41.90,42.13,41.20,41.25,41.25,-2.09%,"13,897,113"
"Oct 23, 2024",41.88,42.33,41.64,42.13,42.13,0.48%,"11,117,909"
"Oct 22, 2024",42.73,42.74,41.79,41.93,41.93,-1.18%,"11,377,911"
"Oct 21, 2024",42.08,42.94,42.08,42.43,42.43,1.22%,"13,839,414"
"Oct 18, 2024",43.99,44.09,41.89,41.92,41.92,-4.71%,"21,355,938"
"Oct 17, 2024",43.50,44.05,43.29,43.99,43.99,0.71%,"14,481,312"
"Oct 16, 2024",43.39,43.69,43.11,43.68,43.68,1.70%,"8,692,885"
"Oct 15, 2024",43.57,43.91,42.89,42.95,42.95,-3.91%,"10,230,881"
"Oct 14, 2024",44.39,44.72,44.22,44.70,44.70,-0.18%,"7,048,069"
"Oct 11, 2024",44.32,44.96,44.28,44.78,44.78,0.40%,"8,892,291"
"Oct 10, 2024",44.58,45.12,44.25,44.60,44.60,0.88%,"9,707,420"
"Oct 9, 2024",43.78,44.43,43.63,44.21,44.21,0.16%,"9,980,713"
"Oct 8, 2024",44.95,45.17,43.97,44.14,44.14,-3.18%,"13,404,657"
"Oct 7, 2024",45.60,46.16,45.38,45.59,45.59,0.29%,"8,963,646"
"Oct 4, 2024",45.53,45.71,44.90,45.46,45.46,1.27%,"11,296,550"
"Oct 3, 2024",43.94,44.94,43.54,44.89,44.89,2.16%,"13,775,415"
"Oct 2, 2024",43.46,44.18,43.29,43.94,43.94,1.85%,"14,614,601"
"Oct 1, 2024",41.75,43.59,41.74,43.14,43.14,2.84%,"14,716,531"
"Sep 30, 2024",41.97,42.48,41.56,41.95,41.95,-0.80%,"12,220,867"
"Sep 27, 2024",41.70,42.32,41.60,42.29,42.29,2.72%,"14,875,752"
"Sep 26, 2024",41.08,41.51,40.54,41.17,41.17,-1.53%,"20,933,289"
"Sep 25, 2024",42.80,43.01,41.66,41.81,41.81,-2.72%,"12,552,376"
"Sep 24, 2024",43.84,44.04,42.95,42.98,42.98,0.19%,"12,006,214"
"Sep 23, 2024",42.55,43.21,42.38,42.90,42.90,1.16%,"12,921,061"
"Sep 20, 2024",42.89,42.89,42.00,42.41,42.41,-0.80%,"22,881,596"
"Sep 19, 2024",42.70,43.27,42.03,42.75,42.75,3.21%,"17,113,276"
"Sep 18, 2024",41.52,42.09,41.18,41.42,41.42,-0.19%,"12,663,559"
"Sep 17, 2024",40.53,41.68,40.44,41.50,41.50,2.72%,"18,400,323"
"Sep 16, 2024",40.80,41.16,40.03,40.40,40.40,1.10%,"24,556,093"
"Sep 13, 2024",40.11,40.50,39.51,39.96,39.96,0.40%,"17,481,687"
"Sep 12, 2024",39.75,40.22,39.37,39.80,39.80,0.58%,"15,405,455"
"Sep 11, 2024",39.56,39.77,38.66,39.57,39.57,-0.05%,"15,568,313"
"Sep 10, 2024",40.48,40.48,39.12,39.59,39.59,-2.03%,"10,782,668"
"Sep 9, 2024",40.80,41.17,40.35,40.41,40.41,-0.52%,"11,082,493"
"Sep 6, 2024",41.20,41.63,40.37,40.62,40.62,-1.46%,"9,864,106"
"Sep 5, 2024",41.69,41.80,40.96,41.22,41.22,-0.24%,"10,621,912"
"Sep 4, 2024",42.04,42.39,41.27,41.32,41.32,-2.29%,"10,028,326"
"Sep 3, 2024",43.16,43.19,42.00,42.29,42.01,-3.86%,"12,684,998"
"Aug 30, 2024",43.82,44.04,43.39,43.99,43.70,-0.43%,"10,174,701"
