date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",569.41,570.28,557.62,561.87,561.87,-0.57%,"918,776"
"Nov 22, 2024",557.88,568.41,555.81,565.07,565.07,1.28%,"899,970"
"Nov 21, 2024",549.06,560.55,543.54,557.94,557.94,3.02%,"864,811"
"Nov 20, 2024",535.85,542.16,528.60,541.56,541.56,1.41%,"734,542"
"Nov 19, 2024",516.85,535.00,515.00,534.02,534.02,1.92%,"571,564"
"Nov 18, 2024",523.68,530.98,518.92,523.98,523.98,0.62%,"895,258"
"Nov 15, 2024",542.14,542.14,519.66,520.75,520.75,-5.03%,"1,025,738"
"Nov 14, 2024",555.18,557.41,541.66,548.31,548.31,-1.73%,"796,254"
"Nov 13, 2024",550.26,567.01,550.08,557.96,557.96,0.81%,"636,142"
"Nov 12, 2024",551.30,555.87,548.74,553.47,553.47,-0.50%,"607,213"
"Nov 11, 2024",559.50,561.55,553.29,556.26,556.26,-0.94%,"617,576"
"Nov 8, 2024",573.84,573.84,559.90,561.55,561.55,-2.10%,"967,233"
"Nov 7, 2024",560.00,574.64,557.82,573.59,573.59,3.70%,"1,115,043"
"Nov 6, 2024",536.40,554.84,534.29,553.15,553.15,5.97%,"1,319,046"
"Nov 5, 2024",527.35,532.36,521.15,521.98,521.98,-0.48%,"627,645"
"Nov 4, 2024",521.60,527.25,516.98,524.52,524.52,1.18%,"583,014"
"Nov 1, 2024",508.83,521.60,508.83,518.40,518.40,0.93%,"901,695"
"Oct 31, 2024",531.97,531.97,512.83,513.61,513.61,-4.25%,"1,211,522"
"Oct 30, 2024",526.20,536.87,523.28,536.42,536.42,1.36%,"1,240,206"
"Oct 29, 2024",511.00,531.38,509.35,529.21,529.21,6.66%,"1,267,159"
"Oct 28, 2024",505.16,505.21,495.91,496.18,496.18,-1.08%,"638,157"
"Oct 25, 2024",500.22,508.36,498.63,501.58,501.58,1.28%,"639,879"
"Oct 24, 2024",497.07,500.65,491.12,495.25,495.25,0.37%,"662,176"
"Oct 23, 2024",498.14,502.42,489.77,493.41,493.41,-1.79%,"653,297"
"Oct 22, 2024",500.90,503.55,495.39,502.41,502.41,-0.63%,"771,108"
"Oct 21, 2024",501.93,507.50,501.12,505.59,505.59,-0.28%,"820,306"
"Oct 18, 2024",500.65,513.68,499.05,507.03,507.03,0.46%,"862,658"
"Oct 17, 2024",511.24,514.72,501.50,504.69,504.69,0.67%,"1,124,774"
"Oct 16, 2024",515.97,515.97,495.50,501.35,501.35,-3.13%,"1,662,007"
"Oct 15, 2024",548.30,550.59,515.69,517.56,517.56,-5.11%,"1,493,630"
"Oct 14, 2024",544.31,547.13,541.64,545.46,545.46,1.03%,"931,632"
"Oct 11, 2024",531.98,541.23,530.00,539.92,539.92,1.28%,"825,910"
"Oct 10, 2024",526.08,536.42,525.34,533.08,533.08,0.77%,"931,959"
"Oct 9, 2024",517.37,530.40,516.39,529.00,529.00,2.17%,"936,322"
"Oct 8, 2024",498.70,518.17,498.24,517.76,517.76,4.63%,"1,151,446"
"Oct 7, 2024",493.00,497.14,489.45,494.87,494.87,-0.85%,"826,615"
"Oct 4, 2024",509.62,510.30,496.10,499.12,499.12,0.75%,"637,006"
"Oct 3, 2024",490.58,499.15,490.58,495.41,495.41,-0.28%,"865,234"
"Oct 2, 2024",493.91,506.27,493.28,496.82,496.82,0.25%,"644,973"
"Oct 1, 2024",507.54,508.36,490.56,495.56,495.56,-2.14%,"1,117,098"
"Sep 30, 2024",511.48,511.48,502.10,506.39,506.39,-1.35%,"835,061"
"Sep 27, 2024",519.14,519.14,509.08,513.31,513.31,-0.41%,"528,289"
"Sep 26, 2024",523.98,525.49,509.20,515.40,515.40,0.99%,"891,195"
"Sep 25, 2024",506.02,511.79,503.82,510.36,510.36,0.70%,"838,440"
"Sep 24, 2024",507.69,510.96,497.16,506.83,506.83,0.21%,"1,017,170"
"Sep 23, 2024",507.41,509.92,505.29,505.79,505.79,-0.17%,"732,051"
"Sep 20, 2024",510.70,513.13,502.50,506.65,506.65,-1.45%,"1,582,666"
"Sep 19, 2024",517.18,521.43,510.69,514.12,514.12,3.66%,"1,269,506"
"Sep 18, 2024",506.49,506.85,493.09,495.95,495.95,-1.25%,"1,075,091"
"Sep 17, 2024",505.86,507.60,496.27,502.25,502.25,0.74%,"1,424,605"
"Sep 16, 2024",491.96,501.32,491.16,498.57,498.57,1.73%,"1,189,284"
"Sep 13, 2024",488.95,494.77,485.00,490.07,490.07,0.23%,"955,289"
"Sep 12, 2024",480.14,494.63,476.93,488.95,488.95,1.55%,"1,239,746"
"Sep 11, 2024",466.49,482.54,460.13,481.50,481.50,3.44%,"1,617,105"
"Sep 10, 2024",463.36,467.87,458.79,465.50,465.50,0.29%,"985,200"
"Sep 9, 2024",466.53,467.16,457.52,464.16,464.16,0.04%,"1,954,912"
"Sep 6, 2024",477.92,482.00,462.42,463.97,463.97,-2.53%,"1,137,870"
"Sep 5, 2024",475.06,484.08,469.58,476.03,476.03,-0.31%,"1,234,293"
"Sep 4, 2024",476.91,483.40,472.60,477.53,477.53,-0.77%,"1,892,834"
"Sep 3, 2024",514.15,514.40,479.09,481.22,481.22,-7.38%,"2,561,965"
