date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",516.76,520.83,514.81,520.51,520.51,1.18%,"1,890,273"
"Nov 22, 2024",510.00,517.42,510.00,514.46,514.46,0.60%,"1,230,025"
"Nov 21, 2024",508.01,513.56,504.32,511.37,511.37,1.64%,"1,159,515"
"Nov 20, 2024",503.60,507.47,496.13,503.13,503.13,0.16%,"1,258,413"
"Nov 19, 2024",502.73,505.88,499.80,502.31,502.31,-0.14%,"1,403,007"
"Nov 18, 2024",501.63,504.73,499.15,503.00,503.00,-0.06%,"1,449,874"
"Nov 15, 2024",506.15,510.79,502.06,503.29,503.29,-1.44%,"1,187,616"
"Nov 14, 2024",514.30,515.73,510.29,510.64,510.64,0.07%,"794,242"
"Nov 13, 2024",503.85,515.80,503.54,510.29,510.29,1.35%,"1,098,395"
"Nov 12, 2024",506.95,508.05,503.21,503.47,503.47,-0.75%,"1,035,111"
"Nov 11, 2024",500.49,509.96,500.01,507.26,507.26,0.88%,"1,125,668"
"Nov 8, 2024",497.24,507.49,497.24,502.82,502.82,1.15%,"1,343,093"
"Nov 7, 2024",494.72,498.32,492.31,497.10,497.10,1.45%,"1,314,775"
"Nov 6, 2024",503.62,503.62,477.29,489.99,489.99,0.06%,"2,389,611"
"Nov 5, 2024",485.97,489.82,484.84,489.71,489.71,0.81%,"1,879,497"
"Nov 4, 2024",483.93,486.75,482.92,485.77,485.77,0.51%,"1,908,729"
"Nov 1, 2024",481.87,487.23,480.88,483.31,483.31,0.61%,"940,345"
"Oct 31, 2024",484.87,485.88,480.03,480.36,480.36,-1.15%,"1,326,736"
"Oct 30, 2024",487.63,490.59,484.75,485.94,485.94,-0.17%,"1,109,398"
"Oct 29, 2024",487.69,489.82,486.03,486.75,486.75,-0.10%,"1,615,523"
"Oct 28, 2024",493.85,494.93,486.31,487.24,487.24,-0.69%,"1,303,620"
"Oct 25, 2024",497.59,498.93,488.64,490.61,490.61,-0.53%,"984,517"
"Oct 24, 2024",499.00,504.42,492.04,493.21,493.21,-3.47%,"1,761,343"
"Oct 23, 2024",513.50,514.55,509.60,510.92,510.92,-0.51%,"1,023,251"
"Oct 22, 2024",519.06,519.38,510.63,513.52,513.52,-1.85%,"1,316,361"
"Oct 21, 2024",521.17,524.75,518.69,523.19,523.19,-0.31%,"808,176"
"Oct 18, 2024",523.91,525.58,520.88,524.80,524.80,1.13%,"1,831,979"
"Oct 17, 2024",531.74,532.00,515.21,518.96,518.96,-1.90%,"1,447,631"
"Oct 16, 2024",524.86,529.61,522.01,529.00,529.00,0.10%,"628,964"
"Oct 15, 2024",530.00,533.29,527.83,528.45,528.45,0.18%,"1,298,371"
"Oct 14, 2024",522.56,528.54,522.56,527.52,527.52,1.06%,"639,248"
"Oct 11, 2024",517.52,522.72,516.67,522.01,522.01,1.34%,"662,119"
"Oct 10, 2024",519.95,521.49,513.95,515.12,515.12,-1.22%,"719,164"
"Oct 9, 2024",519.00,524.35,518.56,521.47,521.47,0.60%,"819,229"
"Oct 8, 2024",511.32,519.56,510.46,518.35,518.35,2.36%,"1,005,353"
"Oct 7, 2024",512.55,513.56,505.14,506.42,506.42,-1.12%,"816,052"
"Oct 4, 2024",513.58,516.14,508.35,512.17,512.17,-0.47%,"683,778"
"Oct 3, 2024",514.57,516.98,513.43,514.60,514.60,-0.02%,"753,947"
"Oct 2, 2024",514.07,516.65,511.05,514.71,514.71,0.49%,"962,333"
"Oct 1, 2024",518.64,518.87,511.45,512.22,512.22,-0.85%,"978,395"
"Sep 30, 2024",512.06,517.47,510.31,516.62,516.62,0.76%,"1,000,065"
"Sep 27, 2024",511.60,516.68,511.19,512.72,512.72,0.20%,"806,724"
"Sep 26, 2024",513.24,515.93,509.26,511.70,511.70,-0.61%,"1,209,354"
"Sep 25, 2024",519.51,522.06,513.16,514.82,514.82,-0.64%,"931,132"
"Sep 24, 2024",517.28,519.51,513.01,518.11,518.11,-0.57%,"1,070,887"
"Sep 23, 2024",520.02,527.84,518.12,521.08,521.08,-0.49%,"960,811"
