date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",95.56,95.77,94.34,94.77,94.77,0.53%,"4,978,057"
"Nov 22, 2024",94.99,95.29,94.15,94.27,94.27,-0.44%,"2,554,420"
"Nov 21, 2024",92.91,94.86,92.46,94.69,94.69,1.69%,"2,541,423"
"Nov 20, 2024",93.73,93.90,92.49,93.12,93.12,-0.28%,"2,311,666"
"Nov 19, 2024",92.16,93.44,91.72,93.38,93.38,0.50%,"2,901,762"
"Nov 18, 2024",91.85,93.21,91.72,92.92,92.92,0.79%,"2,466,839"
"Nov 15, 2024",90.44,92.28,90.25,92.19,92.19,1.93%,"3,050,146"
"Nov 14, 2024",92.00,92.12,90.43,90.44,90.44,-1.90%,"3,247,548"
"Nov 13, 2024",92.44,93.12,91.26,92.19,92.19,-0.01%,"3,745,225"
"Nov 12, 2024",92.27,92.49,91.48,92.20,92.20,0.09%,"3,403,025"
"Nov 11, 2024",90.52,92.66,90.52,92.12,92.12,0.95%,"2,690,304"
"Nov 8, 2024",89.68,91.88,89.48,91.25,91.25,1.66%,"3,733,561"
"Nov 7, 2024",88.25,90.16,88.05,89.76,89.76,1.70%,"5,243,491"
"Nov 6, 2024",81.50,88.59,80.87,88.26,88.26,7.31%,"7,768,841"
"Nov 5, 2024",80.80,82.27,80.22,82.25,82.25,1.78%,"4,274,162"
"Nov 4, 2024",81.55,81.94,80.11,80.81,80.81,-1.03%,"3,379,883"
"Nov 1, 2024",83.74,83.93,81.54,81.65,81.65,-2.06%,"2,789,570"
"Oct 31, 2024",83.37,84.39,83.20,83.37,83.37,-0.22%,"2,236,388"
"Oct 30, 2024",83.86,84.08,82.65,83.55,83.55,-,"2,196,732"
"Oct 29, 2024",84.54,84.54,83.45,83.55,83.55,-1.90%,"2,459,724"
"Oct 28, 2024",84.90,85.60,84.73,85.17,85.17,0.94%,"1,924,426"
"Oct 25, 2024",86.24,86.36,84.33,84.38,84.38,-1.62%,"2,308,529"
"Oct 24, 2024",86.35,86.57,85.38,85.77,85.77,-0.22%,"2,202,464"
"Oct 23, 2024",85.29,85.99,84.87,85.96,85.96,1.12%,"3,098,249"
"Oct 22, 2024",84.40,85.23,84.26,85.01,85.01,0.09%,"3,546,998"
"Oct 21, 2024",86.06,86.06,84.09,84.93,84.93,-1.20%,"3,065,731"
"Oct 18, 2024",85.67,86.13,84.63,85.96,85.96,0.55%,"3,022,968"
"Oct 17, 2024",85.50,85.92,84.61,85.49,85.49,-0.20%,"3,135,247"
"Oct 16, 2024",84.14,85.83,83.87,85.66,85.66,1.94%,"3,173,615"
"Oct 15, 2024",83.48,84.49,83.18,84.03,84.03,1.06%,"6,532,032"
"Oct 14, 2024",82.20,83.29,82.11,83.15,83.15,1.20%,"1,998,354"
"Oct 11, 2024",81.54,82.39,81.37,82.16,82.16,1.02%,"1,794,305"
"Oct 10, 2024",81.87,82.50,81.26,81.33,81.33,-0.23%,"2,050,369"
"Oct 9, 2024",81.63,81.97,81.08,81.52,81.52,-0.11%,"1,573,084"
"Oct 8, 2024",81.92,82.32,81.54,81.61,81.61,0.12%,"2,416,458"
"Oct 7, 2024",82.14,82.33,81.35,81.51,81.51,-1.32%,"2,742,130"
"Oct 4, 2024",81.69,82.87,81.60,82.60,82.60,0.08%,"1,388,396"
"Oct 3, 2024",83.50,83.50,82.23,82.53,82.53,-1.02%,"1,711,339"
"Oct 2, 2024",83.18,83.92,82.75,83.38,83.38,-0.64%,"1,739,998"
"Oct 1, 2024",83.82,84.47,83.51,83.92,83.92,0.35%,"1,628,780"
"Sep 30, 2024",83.36,83.65,82.44,83.63,83.63,0.46%,"2,355,155"
