date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",215.91,218.09,214.79,216.12,216.12,0.83%,"872,562"
"Nov 22, 2024",216.49,218.38,213.58,214.34,214.34,-0.66%,"502,985"
"Nov 21, 2024",212.24,216.17,210.79,215.77,215.77,1.66%,"1,041,613"
"Nov 20, 2024",210.08,213.48,208.95,212.25,212.25,0.12%,"761,103"
"Nov 19, 2024",213.95,215.01,211.87,212.00,212.00,-2.34%,"511,364"
"Nov 18, 2024",220.00,221.71,216.96,217.09,216.51,-1.38%,"599,428"
"Nov 15, 2024",221.00,221.91,219.34,220.12,219.53,-0.48%,"540,421"
"Nov 14, 2024",221.78,224.09,220.78,221.19,220.60,-0.49%,"549,505"
"Nov 13, 2024",221.57,223.30,221.20,222.27,221.67,-0.21%,"521,471"
"Nov 12, 2024",223.05,224.92,221.68,222.73,222.13,0.39%,"641,993"
"Nov 11, 2024",220.26,223.47,219.21,221.86,221.27,1.22%,"663,627"
"Nov 8, 2024",214.00,220.25,211.74,219.19,218.60,1.71%,"1,071,783"
"Nov 7, 2024",225.05,225.05,211.31,215.50,214.92,-5.28%,"1,330,245"
"Nov 6, 2024",234.73,234.99,225.62,227.52,226.91,0.04%,"1,404,844"
"Nov 5, 2024",224.89,228.41,222.86,227.44,226.83,0.72%,"1,262,557"
"Nov 4, 2024",225.32,229.38,223.88,225.82,225.21,0.28%,"918,612"
"Nov 1, 2024",222.49,226.84,222.49,225.18,224.58,1.50%,"487,798"
"Oct 31, 2024",222.48,224.37,221.67,221.85,221.26,-1.13%,"417,144"
"Oct 30, 2024",223.52,225.64,222.32,224.39,223.79,0.23%,"434,615"
"Oct 29, 2024",223.28,224.90,222.03,223.87,223.27,-0.06%,"495,484"
"Oct 28, 2024",225.65,227.50,223.41,224.01,223.41,-0.05%,"491,131"
"Oct 25, 2024",227.90,227.90,222.91,224.12,223.52,-1.37%,"409,567"
"Oct 24, 2024",223.64,230.70,222.70,227.24,226.63,2.75%,"739,503"
"Oct 23, 2024",221.10,222.07,219.68,221.15,220.56,-0.18%,"507,924"
"Oct 22, 2024",223.79,223.79,221.22,221.55,220.96,-1.26%,"406,559"
"Oct 21, 2024",224.85,225.51,223.39,224.37,223.77,-0.57%,"406,573"
"Oct 18, 2024",226.69,226.69,224.00,225.65,225.05,0.29%,"607,791"
"Oct 17, 2024",227.56,228.03,223.14,225.00,224.40,-0.44%,"648,116"
"Oct 16, 2024",226.64,229.68,224.88,225.99,225.38,-0.31%,"565,866"
"Oct 15, 2024",228.21,232.55,225.42,226.70,226.09,-0.66%,"601,894"
"Oct 14, 2024",227.06,228.95,224.72,228.21,227.60,0.58%,"282,576"
"Oct 11, 2024",227.23,228.96,225.42,226.90,226.29,0.33%,"361,081"
"Oct 10, 2024",226.99,228.00,224.70,226.16,225.55,-0.44%,"376,132"
"Oct 9, 2024",227.45,229.15,226.07,227.15,226.54,-0.03%,"1,038,528"
"Oct 8, 2024",226.88,228.06,224.89,227.22,226.61,0.53%,"329,551"
"Oct 7, 2024",229.74,229.74,224.91,226.02,225.41,-2.16%,"341,778"
"Oct 4, 2024",234.08,234.26,230.85,231.02,230.40,-0.79%,"378,390"
"Oct 3, 2024",234.08,234.41,231.82,232.86,232.24,-0.80%,"241,325"
"Oct 2, 2024",234.54,236.68,231.91,234.73,234.10,-0.45%,"316,382"
"Oct 1, 2024",241.85,241.85,233.56,235.78,235.15,-2.79%,"797,879"
"Sep 30, 2024",239.23,243.19,238.86,242.54,241.89,1.46%,"530,476"
"Sep 27, 2024",237.50,242.00,237.20,239.05,238.41,0.97%,"312,283"
"Sep 26, 2024",237.76,237.85,235.21,236.75,236.12,0.14%,"414,605"
"Sep 25, 2024",239.58,239.58,236.13,236.41,235.78,-0.77%,"260,648"
"Sep 24, 2024",239.58,239.77,237.97,238.24,237.60,-0.48%,"348,722"
"Sep 23, 2024",238.05,239.81,237.36,239.38,238.74,1.01%,"355,434"
"Sep 20, 2024",238.48,238.59,235.34,236.98,236.35,-1.04%,"782,961"
"Sep 19, 2024",241.55,241.56,239.10,239.46,238.82,0.45%,"513,109"
"Sep 18, 2024",241.80,242.98,237.14,238.38,237.74,-1.37%,"496,924"
"Sep 17, 2024",243.30,245.50,240.18,241.68,241.03,-0.84%,"343,830"
"Sep 16, 2024",246.54,247.46,242.96,243.73,243.08,-0.45%,"280,761"
"Sep 13, 2024",245.20,248.24,244.62,244.83,244.17,-0.67%,"271,263"
"Sep 12, 2024",241.83,246.62,241.60,246.48,245.82,1.83%,"317,576"
"Sep 11, 2024",246.20,246.20,239.43,242.06,241.41,-2.07%,"677,393"
"Sep 10, 2024",245.63,247.32,245.06,247.17,246.51,0.68%,"550,328"
"Sep 9, 2024",240.74,246.91,240.74,245.50,244.84,2.37%,"714,544"
"Sep 6, 2024",239.72,242.03,237.66,239.82,239.18,0.32%,"365,096"
"Sep 5, 2024",240.00,241.12,236.97,239.05,238.41,-0.57%,"261,358"
"Sep 4, 2024",243.16,244.44,237.27,240.41,239.20,-1.13%,"469,422"
"Sep 3, 2024",240.14,245.81,239.21,243.15,241.92,0.85%,"498,266"
"Aug 30, 2024",238.81,241.35,237.44,241.10,239.88,1.43%,"430,575"
"Aug 29, 2024",238.30,239.95,236.69,237.71,236.51,0.27%,"348,801"
"Aug 28, 2024",236.67,238.24,235.78,237.07,235.87,0.27%,"355,625"
"Aug 27, 2024",233.73,237.01,233.17,236.43,235.24,0.58%,"240,678"
"Aug 26, 2024",236.57,237.78,234.70,235.07,233.88,-0.40%,"211,474"
"Aug 23, 2024",235.00,236.84,232.74,236.01,234.82,0.80%,"258,467"
"Aug 22, 2024",235.41,235.65,231.52,234.14,232.96,-0.10%,"315,939"
"Aug 21, 2024",233.15,235.81,232.56,234.38,233.20,0.48%,"260,813"
"Aug 20, 2024",233.35,234.66,232.91,233.27,232.09,-0.13%,"346,396"
"Aug 19, 2024",231.06,233.59,231.06,233.57,232.39,0.53%,"446,682"
"Aug 16, 2024",230.17,232.51,229.22,232.34,231.17,0.88%,"558,749"
"Aug 15, 2024",233.16,234.49,230.00,230.32,229.16,-1.06%,"442,743"
"Aug 14, 2024",233.70,234.48,231.73,232.79,231.61,-0.43%,"382,357"
"Aug 13, 2024",233.94,235.12,232.13,233.79,232.61,-0.06%,"295,050"
"Aug 12, 2024",235.75,236.64,233.01,233.94,232.76,-0.86%,"352,561"
"Aug 9, 2024",240.56,240.56,234.25,235.98,234.79,-1.54%,"427,048"
"Aug 8, 2024",234.41,241.09,233.04,239.68,238.47,2.63%,"396,771"
