date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",144.23,146.63,143.63,144.98,144.98,0.98%,"1,928,373"
"Nov 22, 2024",144.08,146.34,142.52,143.57,143.57,-0.96%,"1,714,195"
"Nov 21, 2024",143.72,147.18,143.18,144.96,144.96,0.64%,"1,672,631"
"Nov 20, 2024",141.64,144.95,141.26,144.04,144.04,2.71%,"2,190,344"
"Nov 19, 2024",139.22,140.50,138.77,140.24,140.24,-0.32%,"1,574,218"
"Nov 18, 2024",138.39,141.48,138.07,140.69,140.69,0.92%,"1,104,845"
"Nov 15, 2024",139.07,140.47,138.20,139.41,139.41,1.16%,"1,297,847"
"Nov 14, 2024",141.07,142.43,136.72,137.81,137.81,-2.88%,"1,634,476"
"Nov 13, 2024",143.86,144.87,141.67,141.90,141.90,-1.70%,"1,159,436"
"Nov 12, 2024",146.00,146.69,143.14,144.35,144.35,-2.33%,"863,653"
"Nov 11, 2024",150.05,151.00,147.55,147.80,147.80,-0.50%,"772,852"
"Nov 8, 2024",147.51,149.68,146.13,148.55,148.55,0.41%,"1,073,793"
"Nov 7, 2024",154.87,155.11,147.41,147.95,147.95,-4.13%,"1,779,161"
"Nov 6, 2024",148.50,155.56,146.98,154.32,154.32,13.76%,"4,338,151"
"Nov 5, 2024",133.08,135.75,131.81,135.65,135.65,1.55%,"926,664"
"Nov 4, 2024",133.50,135.05,132.65,133.58,133.58,-0.05%,"1,071,102"
"Nov 1, 2024",130.68,133.99,130.36,133.65,133.65,2.41%,"1,033,300"
"Oct 31, 2024",132.53,133.79,130.42,130.50,130.50,-1.71%,"1,007,059"
"Oct 30, 2024",134.27,135.81,132.38,132.77,132.77,-1.77%,"1,135,690"
"Oct 29, 2024",135.70,136.03,133.78,135.16,135.16,-0.41%,"873,041"
"Oct 28, 2024",131.51,135.99,130.59,135.72,135.72,4.74%,"1,132,656"
"Oct 25, 2024",130.92,131.64,128.82,129.58,129.58,-0.58%,"916,256"
"Oct 24, 2024",128.72,130.77,127.40,130.34,130.34,1.32%,"1,148,771"
"Oct 23, 2024",131.96,133.24,128.47,128.64,128.64,-2.40%,"1,049,875"
"Oct 22, 2024",132.74,132.74,128.13,131.80,131.80,-1.24%,"1,316,757"
"Oct 21, 2024",136.99,137.01,132.63,133.45,133.45,-2.28%,"1,241,833"
"Oct 18, 2024",136.77,137.86,135.46,136.57,136.57,1.13%,"1,521,421"
"Oct 17, 2024",135.99,138.72,133.84,135.05,135.05,4.00%,"2,783,983"
"Oct 16, 2024",128.63,130.02,128.03,129.86,129.86,1.09%,"1,090,134"
"Oct 15, 2024",128.85,131.42,128.33,128.46,128.46,-1.32%,"1,294,441"
"Oct 14, 2024",128.33,130.27,127.69,130.18,130.18,0.25%,"644,895"
"Oct 11, 2024",128.44,130.69,128.44,129.86,129.86,1.09%,"720,987"
"Oct 10, 2024",128.65,129.75,128.04,128.46,128.46,-1.32%,"949,827"
"Oct 9, 2024",126.24,130.46,126.24,130.18,130.18,2.48%,"1,345,310"
"Oct 8, 2024",127.17,127.78,125.36,127.03,127.03,-2.34%,"1,053,131"
"Oct 7, 2024",127.40,130.19,127.31,130.07,130.07,1.44%,"906,704"
"Oct 4, 2024",130.17,130.78,127.66,128.22,128.22,0.53%,"800,427"
"Oct 3, 2024",126.53,127.94,125.30,127.54,127.54,-0.05%,"897,754"
"Oct 2, 2024",129.57,130.67,127.22,127.60,127.60,-1.26%,"1,160,038"
"Oct 1, 2024",126.04,129.50,126.04,129.23,129.23,2.50%,"1,120,350"
"Sep 30, 2024",125.83,126.72,124.55,126.08,126.08,0.08%,"882,181"
"Sep 27, 2024",126.14,128.00,125.76,125.98,125.52,0.59%,"957,397"
"Sep 26, 2024",126.31,127.08,124.78,125.24,124.79,1.54%,"1,253,077"
"Sep 25, 2024",124.60,124.73,122.94,123.34,122.89,-1.07%,"1,022,970"
"Sep 24, 2024",123.25,125.81,123.13,124.67,124.22,3.07%,"1,646,184"
"Sep 23, 2024",120.00,121.58,119.62,120.96,120.52,0.94%,"1,395,819"
"Sep 20, 2024",116.62,119.99,116.62,119.83,119.39,-0.22%,"6,833,780"
"Sep 19, 2024",118.78,120.16,117.23,120.09,119.65,4.32%,"1,674,118"
"Sep 18, 2024",114.42,117.44,113.41,115.12,114.70,0.55%,"1,476,460"
"Sep 17, 2024",111.83,116.21,110.90,114.49,114.07,3.13%,"2,082,924"
"Sep 16, 2024",113.11,113.39,110.81,111.01,110.61,-1.62%,"1,449,279"
"Sep 13, 2024",111.63,114.14,111.30,112.84,112.43,2.08%,"1,031,472"
"Sep 12, 2024",109.08,110.66,107.84,110.54,110.14,2.26%,"1,330,571"
"Sep 11, 2024",108.54,108.83,104.60,108.10,107.71,-0.59%,"1,798,138"
"Sep 10, 2024",110.55,110.94,108.07,108.74,108.35,-1.81%,"1,796,353"
"Sep 9, 2024",112.78,113.51,110.69,110.74,110.34,-0.23%,"1,877,272"
"Sep 6, 2024",111.09,112.94,110.09,111.00,110.60,-0.29%,"1,481,999"
"Sep 5, 2024",113.30,114.22,110.97,111.32,110.92,-1.59%,"1,429,394"
"Sep 4, 2024",113.97,115.35,112.31,113.12,112.71,-0.74%,"1,141,559"
"Sep 3, 2024",118.05,118.15,113.24,113.96,113.55,-4.64%,"1,714,715"
"Aug 30, 2024",119.13,120.21,117.88,119.51,119.08,0.60%,"1,174,161"
"Aug 29, 2024",118.47,120.57,117.28,118.80,118.37,0.65%,"1,017,484"
"Aug 28, 2024",118.89,119.55,117.61,118.03,117.60,-2.78%,"1,203,637"
"Aug 27, 2024",122.19,122.61,120.55,121.41,120.97,-1.08%,"743,685"
"Aug 26, 2024",122.19,124.13,121.94,122.73,122.28,1.53%,"1,015,455"
"Aug 23, 2024",119.24,120.99,118.62,120.88,120.44,1.63%,"703,143"
"Aug 22, 2024",118.48,119.68,118.23,118.94,118.51,-0.09%,"873,723"
"Aug 21, 2024",117.54,119.31,117.05,119.05,118.62,2.67%,"1,184,601"
"Aug 20, 2024",116.20,117.00,115.33,115.95,115.53,-0.09%,"752,721"
"Aug 19, 2024",117.08,118.33,115.48,116.06,115.64,-0.55%,"939,801"
"Aug 16, 2024",115.52,118.52,115.42,116.70,116.28,-1.14%,"1,115,599"
"Aug 15, 2024",117.17,120.00,116.83,118.05,117.62,2.61%,"1,603,522"
"Aug 14, 2024",116.31,117.09,113.35,115.05,114.63,-1.89%,"1,401,668"
"Aug 13, 2024",116.36,117.43,115.02,117.27,116.84,1.12%,"1,220,250"
"Aug 12, 2024",118.83,119.67,115.75,115.97,115.55,-2.90%,"1,323,777"
"Aug 9, 2024",120.21,120.37,118.88,119.43,119.00,-0.65%,"803,622"
"Aug 8, 2024",119.92,121.38,119.66,120.21,119.77,0.92%,"704,876"
"Aug 7, 2024",124.19,126.19,119.06,119.12,118.69,-2.66%,"1,168,932"
"Aug 6, 2024",121.62,124.19,121.37,122.38,121.94,0.80%,"943,327"
"Aug 5, 2024",117.76,123.55,115.00,121.41,120.97,0.11%,"1,469,855"
"Aug 2, 2024",123.03,123.79,119.88,121.28,120.84,-4.01%,"1,342,346"
"Aug 1, 2024",132.56,133.96,124.64,126.35,125.89,-5.16%,"1,474,057"
"Jul 31, 2024",129.96,135.32,129.68,133.22,132.74,3.39%,"1,394,849"
"Jul 30, 2024",130.79,131.48,128.82,128.85,128.38,-1.28%,"866,481"
"Jul 29, 2024",130.88,131.36,129.06,130.52,130.05,-0.02%,"1,077,029"
"Jul 26, 2024",128.18,131.82,127.80,130.54,130.07,2.30%,"1,064,732"
"Jul 25, 2024",125.01,128.67,123.76,127.60,127.14,3.50%,"1,594,211"
"Jul 24, 2024",126.94,127.44,123.16,123.29,122.84,-2.63%,"1,068,062"
"Jul 23, 2024",126.61,127.49,125.35,126.62,126.16,-0.90%,"1,361,679"
"Jul 22, 2024",128.34,128.46,125.50,127.77,127.31,-0.52%,"1,141,644"
"Jul 19, 2024",129.17,129.76,126.92,128.44,127.97,-0.53%,"1,226,004"
"Jul 18, 2024",127.46,133.42,127.15,129.13,128.66,-0.72%,"2,301,857"
"Jul 17, 2024",132.80,133.24,129.92,130.07,129.60,-1.99%,"1,496,537"
"Jul 16, 2024",130.20,133.01,128.64,132.71,132.23,0.61%,"1,055,991"
"Jul 15, 2024",131.58,137.27,131.16,131.91,131.43,2.08%,"2,048,881"
"Jul 12, 2024",130.28,130.75,129.10,129.22,128.75,-0.42%,"1,085,042"
"Jul 11, 2024",127.55,130.30,127.04,129.77,129.30,1.96%,"1,359,511"
"Jul 10, 2024",124.86,127.87,124.48,127.28,126.82,2.44%,"1,678,721"
"Jul 9, 2024",122.98,125.25,122.93,124.25,123.80,-0.02%,"938,032"
"Jul 8, 2024",124.27,125.63,123.60,124.27,123.82,-0.12%,"996,810"
