date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",90.09,93.63,90.09,92.52,92.52,3.66%,"1,861,953"
"Nov 22, 2024",88.43,89.90,87.86,89.25,89.25,1.80%,"2,350,494"
"Nov 21, 2024",85.42,88.43,85.25,87.67,87.67,2.63%,"1,693,065"
"Nov 20, 2024",86.55,87.03,85.09,85.42,85.42,-1.03%,"1,631,737"
"Nov 19, 2024",85.71,86.44,84.92,86.31,86.31,-0.31%,"1,416,666"
"Nov 18, 2024",85.01,87.17,84.73,86.58,86.58,1.32%,"1,579,846"
"Nov 15, 2024",85.85,86.64,85.29,85.45,85.45,-0.43%,"1,524,996"
"Nov 14, 2024",86.27,86.92,85.12,85.82,85.82,-0.37%,"1,659,931"
"Nov 13, 2024",88.29,88.29,85.72,86.14,86.14,-1.53%,"2,170,419"
"Nov 12, 2024",90.50,90.50,87.41,87.48,87.48,-3.02%,"1,941,370"
"Nov 11, 2024",91.31,91.31,89.78,90.20,90.20,0.03%,"1,412,169"
"Nov 8, 2024",92.70,92.91,89.92,90.17,90.17,-1.86%,"1,944,116"
"Nov 7, 2024",92.71,93.94,91.51,91.88,91.88,-0.16%,"2,819,828"
"Nov 6, 2024",93.50,95.41,89.98,92.03,92.03,-4.83%,"5,744,126"
"Nov 5, 2024",93.81,96.75,93.57,96.70,96.70,2.41%,"1,332,341"
"Nov 4, 2024",93.51,95.80,93.47,94.42,94.42,1.11%,"1,314,000"
"Nov 1, 2024",93.40,94.52,93.15,93.38,93.38,0.47%,"1,016,043"
"Oct 31, 2024",93.61,94.03,92.76,92.94,92.94,-0.99%,"2,114,102"
"Oct 30, 2024",93.41,96.00,93.21,93.87,93.87,-0.02%,"2,509,203"
"Oct 29, 2024",94.75,95.12,89.26,93.89,93.89,-8.77%,"6,716,564"
"Oct 28, 2024",103.39,104.35,102.66,102.92,102.92,0.92%,"1,621,943"
"Oct 25, 2024",103.03,103.54,101.81,101.98,101.98,-0.88%,"933,381"
"Oct 24, 2024",103.50,103.87,102.43,102.89,102.89,-0.39%,"964,577"
"Oct 23, 2024",104.37,105.01,102.28,103.29,103.29,-1.47%,"1,412,329"
"Oct 22, 2024",105.00,105.30,103.45,104.83,104.83,-0.80%,"1,635,907"
"Oct 21, 2024",106.15,106.54,105.50,105.68,105.68,-0.68%,"1,290,206"
"Oct 18, 2024",105.88,106.42,104.83,106.40,106.40,1.19%,"1,476,177"
"Oct 17, 2024",107.19,107.19,104.55,105.15,105.15,-1.14%,"1,404,796"
"Oct 16, 2024",107.86,108.48,106.11,106.36,106.36,-0.66%,"1,488,684"
"Oct 15, 2024",109.43,109.91,106.88,107.07,107.07,-1.64%,"1,421,280"
"Oct 14, 2024",107.49,109.06,106.40,108.85,108.85,0.82%,"737,706"
"Oct 11, 2024",106.40,108.06,106.00,107.96,107.96,1.04%,"732,254"
"Oct 10, 2024",106.30,107.10,105.56,106.85,106.85,0.23%,"734,364"
"Oct 9, 2024",106.72,107.24,106.14,106.61,106.61,0.07%,"698,788"
"Oct 8, 2024",105.90,107.34,105.28,106.54,106.54,0.22%,"802,362"
"Oct 7, 2024",106.20,106.98,105.67,106.31,106.31,-1.00%,"686,846"
"Oct 4, 2024",109.29,109.29,106.44,107.38,107.38,0.10%,"756,006"
"Oct 3, 2024",108.37,108.52,106.68,107.27,107.27,-1.81%,"928,458"
"Oct 2, 2024",107.77,109.75,107.40,109.25,109.25,-0.10%,"1,049,700"
"Oct 1, 2024",110.32,110.62,108.25,109.36,109.36,-0.70%,"1,008,890"
"Sep 30, 2024",109.14,110.50,108.05,110.13,110.13,0.37%,"1,035,807"
"Sep 27, 2024",109.01,110.88,108.72,109.72,109.72,1.29%,"974,287"
"Sep 26, 2024",107.55,108.47,107.06,108.32,108.32,2.60%,"834,241"
"Sep 25, 2024",107.55,107.55,105.35,105.58,105.58,-1.63%,"929,659"
"Sep 24, 2024",107.99,108.33,106.39,107.33,107.33,-0.19%,"1,076,759"
"Sep 23, 2024",107.60,108.33,106.57,107.53,107.53,0.56%,"1,126,292"
"Sep 20, 2024",107.08,107.17,105.66,106.93,106.93,-1.01%,"2,326,213"
"Sep 19, 2024",107.67,108.37,105.79,108.02,108.02,3.00%,"1,691,002"
"Sep 18, 2024",103.16,107.28,103.13,104.87,104.87,1.82%,"2,011,895"
"Sep 17, 2024",103.49,104.48,101.97,103.00,103.00,0.40%,"1,012,031"
"Sep 16, 2024",102.00,103.10,101.39,102.59,102.59,1.22%,"816,923"
"Sep 13, 2024",98.26,102.00,98.26,101.35,101.35,3.60%,"1,348,356"
"Sep 12, 2024",97.73,98.55,96.48,97.83,97.83,0.17%,"966,036"
"Sep 11, 2024",96.14,97.76,94.15,97.66,97.66,1.06%,"1,233,863"
"Sep 10, 2024",96.51,96.91,95.07,96.64,96.64,0.47%,"948,853"
"Sep 9, 2024",97.59,97.94,95.76,96.19,96.19,-1.02%,"1,085,097"
"Sep 6, 2024",98.36,100.25,96.82,97.18,97.18,-1.20%,"1,169,823"
"Sep 5, 2024",99.68,99.99,98.02,98.36,98.36,-1.52%,"1,019,468"
"Sep 4, 2024",99.76,101.02,99.20,99.88,99.88,-0.06%,"988,224"
"Sep 3, 2024",101.07,102.19,99.26,99.94,99.94,-2.36%,"957,429"
"Aug 30, 2024",102.50,102.85,100.58,102.36,101.53,0.45%,"1,179,164"
"Aug 29, 2024",101.62,102.94,100.26,101.90,101.07,1.72%,"1,092,068"
"Aug 28, 2024",99.79,101.26,99.57,100.18,99.37,0.39%,"870,270"
"Aug 27, 2024",100.18,100.25,98.84,99.79,98.98,-1.05%,"813,928"
"Aug 26, 2024",101.00,102.52,100.47,100.85,100.03,0.45%,"981,623"
"Aug 23, 2024",98.65,100.57,97.71,100.40,99.58,2.22%,"1,482,547"
"Aug 22, 2024",98.71,99.02,97.70,98.22,97.42,-0.44%,"564,119"
"Aug 21, 2024",97.28,98.71,96.88,98.65,97.85,1.74%,"694,013"
"Aug 20, 2024",96.92,97.61,96.31,96.96,96.17,-0.40%,"590,026"
"Aug 19, 2024",97.80,98.24,97.01,97.35,96.56,0.03%,"793,959"
"Aug 16, 2024",96.60,97.74,96.08,97.32,96.53,0.55%,"915,678"
"Aug 15, 2024",97.07,97.46,95.56,96.79,96.00,1.46%,"929,818"
"Aug 14, 2024",96.88,97.35,95.17,95.40,94.62,-1.52%,"891,896"
"Aug 13, 2024",93.79,97.24,93.25,96.87,96.08,4.16%,"1,485,794"
"Aug 12, 2024",94.43,94.90,92.86,93.00,92.24,-1.86%,"1,064,829"
"Aug 9, 2024",94.45,94.96,93.15,94.76,93.99,0.34%,"828,600"
"Aug 8, 2024",94.27,95.35,94.09,94.44,93.67,1.47%,"1,016,499"
"Aug 7, 2024",98.12,98.12,93.03,93.07,92.31,-3.31%,"1,790,166"
"Aug 6, 2024",95.60,99.13,95.33,96.26,95.48,0.57%,"1,176,962"
"Aug 5, 2024",93.51,97.36,92.03,95.71,94.93,-2.96%,"1,828,393"
"Aug 2, 2024",96.93,98.73,95.13,98.63,97.83,-2.83%,"1,917,066"
"Aug 1, 2024",105.49,106.91,100.82,101.50,100.67,-3.90%,"3,025,064"
"Jul 31, 2024",106.65,108.15,104.06,105.62,104.76,-0.41%,"4,772,593"
"Jul 30, 2024",104.13,106.23,102.27,106.05,105.19,9.98%,"4,228,916"
"Jul 29, 2024",95.55,96.82,95.10,96.43,95.65,1.05%,"2,980,400"
"Jul 26, 2024",91.66,96.94,91.02,95.43,94.65,6.54%,"3,723,760"
"Jul 25, 2024",86.39,91.44,86.17,89.57,88.84,3.68%,"2,631,110"
"Jul 24, 2024",87.93,88.80,86.27,86.39,85.69,-1.93%,"809,092"
"Jul 23, 2024",87.31,88.60,87.12,88.09,87.37,0.39%,"1,056,973"
"Jul 22, 2024",87.67,88.00,86.02,87.75,87.04,0.92%,"961,734"
"Jul 19, 2024",87.68,87.77,86.30,86.95,86.24,-0.48%,"1,389,808"
"Jul 18, 2024",88.93,91.68,86.86,87.37,86.66,-2.39%,"1,763,032"
"Jul 17, 2024",89.14,90.51,88.57,89.51,88.78,-0.59%,"1,344,875"
"Jul 16, 2024",87.57,90.59,87.31,90.04,89.31,3.59%,"1,740,536"
"Jul 15, 2024",88.20,88.51,86.64,86.92,86.21,-1.69%,"1,880,739"
"Jul 12, 2024",88.03,88.87,87.37,88.41,87.69,1.70%,"1,251,444"
"Jul 11, 2024",85.04,87.05,84.38,86.93,86.22,4.63%,"1,549,890"
"Jul 10, 2024",80.82,83.11,80.64,83.08,82.40,2.76%,"935,088"
"Jul 9, 2024",81.01,81.52,80.79,80.85,80.19,-0.54%,"1,031,989"
"Jul 8, 2024",80.24,81.39,80.13,81.29,80.63,2.15%,"1,473,811"
