date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",386.29,388.43,379.50,384.91,384.91,0.02%,"2,102,840"
"Nov 22, 2024",390.41,391.07,381.48,384.85,384.85,-1.36%,"1,069,692"
"Nov 21, 2024",387.19,390.37,384.57,390.14,390.14,1.16%,"1,136,399"
"Nov 20, 2024",389.85,390.00,382.25,385.68,385.68,-0.77%,"1,098,082"
"Nov 19, 2024",386.93,392.31,385.89,388.68,388.68,-0.18%,"1,524,168"
"Nov 18, 2024",392.97,398.20,389.03,389.40,389.40,-0.17%,"2,054,699"
"Nov 15, 2024",381.99,392.01,380.21,390.08,390.08,1.77%,"2,874,077"
"Nov 14, 2024",389.54,392.70,382.40,383.28,383.28,-1.30%,"1,811,783"
"Nov 13, 2024",386.67,390.59,385.34,388.34,388.34,0.32%,"1,685,887"
"Nov 12, 2024",381.42,388.12,380.56,387.11,387.11,2.18%,"1,634,143"
"Nov 11, 2024",377.47,381.54,376.14,378.86,378.86,0.77%,"966,242"
"Nov 8, 2024",371.11,377.83,370.83,375.96,375.96,1.66%,"1,009,226"
"Nov 7, 2024",370.34,370.34,366.12,369.83,369.83,0.22%,"867,013"
"Nov 6, 2024",374.00,376.04,364.62,369.02,369.02,-0.23%,"1,366,185"
"Nov 5, 2024",366.24,370.29,363.05,369.86,369.86,0.81%,"1,346,698"
"Nov 4, 2024",368.00,369.69,364.13,366.90,366.90,-0.07%,"730,068"
"Nov 1, 2024",358.16,367.76,357.78,367.15,367.15,3.05%,"1,860,484"
"Oct 31, 2024",360.73,364.01,355.56,356.28,356.28,-1.97%,"1,383,928"
"Oct 30, 2024",365.69,373.73,357.90,363.43,363.43,1.23%,"2,242,813"
"Oct 29, 2024",354.00,362.36,353.45,359.01,359.01,0.84%,"2,173,842"
"Oct 28, 2024",355.87,356.52,354.15,356.01,356.01,0.90%,"967,742"
"Oct 25, 2024",358.49,361.60,351.29,352.82,352.82,-1.97%,"1,244,464"
"Oct 24, 2024",364.50,366.24,359.89,359.90,359.90,-0.92%,"708,143"
"Oct 23, 2024",364.72,366.97,360.83,363.24,363.24,-0.76%,"1,313,379"
