date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024","1,268.00","1,268.00","1,248.24","1,260.98","1,260.98",0.05%,"436,892"
"Nov 22, 2024","1,239.00","1,266.78","1,230.05","1,260.32","1,260.32",1.63%,"486,580"
"Nov 21, 2024","1,305.20","1,311.01","1,237.46","1,240.13","1,240.13",-4.10%,"567,350"
"Nov 20, 2024","1,263.13","1,297.97","1,250.26","1,293.11","1,293.11",3.40%,"377,223"
"Nov 19, 2024","1,250.89","1,257.37","1,246.21","1,250.62","1,250.62",-0.14%,"319,335"
"Nov 18, 2024","1,260.96","1,266.21","1,242.99","1,252.35","1,252.35",-0.14%,"268,286"
"Nov 15, 2024","1,265.43","1,279.47","1,240.20","1,254.16","1,254.16",-1.38%,"481,098"
"Nov 14, 2024","1,355.12","1,355.12","1,257.97","1,271.71","1,271.71",-6.70%,"667,537"
"Nov 13, 2024","1,361.93","1,377.46","1,354.14","1,363.00","1,363.00",0.56%,"227,505"
"Nov 12, 2024","1,378.09","1,380.63","1,344.03","1,355.42","1,355.42",-1.41%,"266,142"
"Nov 11, 2024","1,361.04","1,384.68","1,360.29","1,374.76","1,374.76",1.76%,"214,600"
"Nov 8, 2024","1,327.87","1,370.11","1,327.87","1,350.98","1,350.98",1.62%,"245,524"
"Nov 7, 2024","1,347.00","1,359.90","1,306.03","1,329.39","1,329.39",-3.85%,"509,733"
"Nov 6, 2024","1,398.00","1,400.00","1,366.64","1,382.60","1,382.60",3.36%,"397,080"
"Nov 5, 2024","1,322.38","1,339.00","1,318.00","1,337.60","1,337.60",1.69%,"166,589"
"Nov 4, 2024","1,308.93","1,321.92","1,306.77","1,315.39","1,315.39",0.83%,"179,590"
"Nov 1, 2024","1,307.81","1,317.42","1,300.00","1,304.50","1,304.50",0.17%,"217,997"
"Oct 31, 2024","1,325.00","1,330.24","1,300.03","1,302.30","1,302.30",-2.06%,"268,507"
"Oct 30, 2024","1,328.95","1,344.55","1,328.00","1,329.63","1,329.63",-0.49%,"219,089"
"Oct 29, 2024","1,331.66","1,342.00","1,326.52","1,336.17","1,336.17",-0.22%,"162,821"
"Oct 28, 2024","1,363.78","1,363.78","1,337.43","1,339.08","1,339.08",-1.16%,"169,978"
"Oct 25, 2024","1,355.02","1,363.34","1,345.04","1,354.83","1,354.83",0.69%,"133,470"
"Oct 24, 2024","1,361.12","1,369.37","1,343.13","1,345.56","1,345.56",-0.89%,"120,518"
"Oct 23, 2024","1,350.41","1,367.21","1,349.54","1,357.59","1,357.59",0.53%,"143,242"
"Oct 22, 2024","1,378.83","1,378.83","1,337.25","1,350.41","1,350.41",-2.63%,"206,140"
"Oct 21, 2024","1,400.00","1,406.07","1,375.06","1,386.86","1,386.86",-0.74%,"152,846"
"Oct 18, 2024","1,410.28","1,410.28","1,390.06","1,397.16","1,397.16",-0.34%,"133,997"
"Oct 17, 2024","1,394.76","1,414.75","1,390.40","1,401.96","1,401.96",1.29%,"197,262"
"Oct 16, 2024","1,393.02","1,395.38","1,373.32","1,384.07","1,384.07",-0.46%,"193,167"
"Oct 15, 2024","1,422.04","1,422.04","1,389.90","1,390.52","1,390.52",-1.50%,"155,966"
"Oct 14, 2024","1,415.92","1,424.68","1,408.94","1,411.63","1,411.63",0.09%,"152,705"
"Oct 11, 2024","1,372.42","1,414.51","1,372.42","1,410.42","1,410.42",3.03%,"192,089"
"Oct 10, 2024","1,367.81","1,375.70","1,362.88","1,368.98","1,368.98",-1.30%,"106,215"
"Oct 9, 2024","1,369.28","1,388.24","1,369.28","1,386.96","1,386.96",0.82%,"138,127"
"Oct 8, 2024","1,369.15","1,378.86","1,364.00","1,375.62","1,375.62",1.41%,"94,110"
"Oct 7, 2024","1,352.00","1,368.48","1,343.17","1,356.55","1,356.55",0.08%,"144,695"
"Oct 4, 2024","1,356.00","1,358.34","1,336.13","1,355.46","1,355.46",-4.48%,"187,855"
"Oct 3, 2024","1,442.40","1,442.40","1,416.47","1,419.09","1,344.69",-1.62%,"219,334"
"Oct 2, 2024","1,434.95","1,451.32","1,426.33","1,442.53","1,366.90",0.46%,"175,906"
"Oct 1, 2024","1,430.00","1,443.46","1,418.65","1,435.96","1,360.67",0.62%,"176,156"
"Sep 30, 2024","1,398.32","1,428.16","1,396.16","1,427.13","1,352.31",1.73%,"233,284"
"Sep 27, 2024","1,403.79","1,408.45","1,395.00","1,402.88","1,329.33",0.12%,"184,603"
"Sep 26, 2024","1,430.72","1,433.00","1,398.69","1,401.23","1,327.76",-1.62%,"204,046"
"Sep 25, 2024","1,427.44","1,433.03","1,418.05","1,424.26","1,349.59",0.24%,"242,987"
"Sep 24, 2024","1,417.04","1,422.21","1,399.39","1,420.90","1,346.40",0.21%,"300,419"
"Sep 23, 2024","1,408.64","1,423.02","1,400.32","1,417.98","1,343.63",0.71%,"223,049"
"Sep 20, 2024","1,401.90","1,419.99","1,384.05","1,408.03","1,334.21",1.31%,"339,858"
"Sep 19, 2024","1,400.63","1,400.63","1,380.01","1,389.85","1,316.98",1.18%,"159,473"
"Sep 18, 2024","1,384.96","1,396.13","1,373.51","1,373.70","1,301.68",-0.13%,"130,005"
"Sep 17, 2024","1,374.39","1,382.04","1,363.51","1,375.45","1,303.33",0.18%,"104,267"
"Sep 16, 2024","1,381.24","1,388.41","1,364.51","1,372.92","1,300.94",0.38%,"142,394"
"Sep 13, 2024","1,347.85","1,376.15","1,345.22","1,367.76","1,296.05",1.46%,"149,122"
"Sep 12, 2024","1,326.82","1,348.03","1,326.35","1,348.03","1,277.35",1.51%,"133,645"
"Sep 11, 2024","1,312.00","1,328.03","1,287.55","1,328.03","1,258.40",1.32%,"127,404"
"Sep 10, 2024","1,310.40","1,315.15","1,295.51","1,310.75","1,242.03",0.61%,"126,168"
"Sep 9, 2024","1,310.64","1,318.18","1,296.18","1,302.77","1,234.47",0.66%,"176,613"
"Sep 6, 2024","1,330.62","1,335.73","1,293.29","1,294.17","1,226.32",-2.64%,"157,071"
"Sep 5, 2024","1,348.00","1,348.38","1,316.99","1,329.28","1,259.59",-1.58%,"151,861"
"Sep 4, 2024","1,333.77","1,353.60","1,333.77","1,350.62","1,279.81",1.36%,"118,908"
"Sep 3, 2024","1,368.60","1,379.47","1,327.36","1,332.49","1,262.63",-2.97%,"206,746"
"Aug 30, 2024","1,366.68","1,380.83","1,356.76","1,373.21","1,301.21",0.65%,"251,827"
"Aug 29, 2024","1,340.00","1,376.16","1,335.91","1,364.37","1,292.84",2.35%,"256,817"
"Aug 28, 2024","1,335.00","1,337.48","1,324.01","1,333.06","1,263.17",0.51%,"168,220"
"Aug 27, 2024","1,300.00","1,333.18","1,290.34","1,326.23","1,256.70",1.84%,"160,057"
"Aug 26, 2024","1,326.60","1,329.21","1,300.51","1,302.25","1,233.97",-1.84%,"258,416"
"Aug 23, 2024","1,308.03","1,339.29","1,305.97","1,326.68","1,257.12",1.71%,"273,198"
"Aug 22, 2024","1,316.74","1,320.00","1,302.45","1,304.38","1,235.99",-0.71%,"121,728"
"Aug 21, 2024","1,315.00","1,319.01","1,306.73","1,313.71","1,244.83",0.25%,"161,546"
"Aug 20, 2024","1,309.85","1,315.00","1,297.28","1,310.41","1,241.70",0.17%,"229,893"
"Aug 19, 2024","1,280.08","1,310.25","1,278.51","1,308.24","1,239.65",2.20%,"288,695"
"Aug 16, 2024","1,275.00","1,281.07","1,266.88","1,280.08","1,212.97",0.61%,"188,182"
"Aug 15, 2024","1,267.29","1,275.00","1,253.99","1,272.34","1,205.63",1.92%,"205,043"
"Aug 14, 2024","1,245.36","1,254.47","1,237.56","1,248.36","1,182.91",0.38%,"120,211"
"Aug 13, 2024","1,239.99","1,245.16","1,222.24","1,243.69","1,178.48",0.86%,"231,304"
"Aug 12, 2024","1,243.88","1,243.88","1,224.36","1,233.05","1,168.40",-1.05%,"241,077"
"Aug 9, 2024","1,231.51","1,249.24","1,221.04","1,246.10","1,180.77",1.22%,"172,042"
"Aug 8, 2024","1,215.09","1,243.77","1,214.85","1,231.12","1,166.57",2.42%,"211,264"
"Aug 7, 2024","1,250.92","1,253.79","1,201.72","1,202.03","1,139.01",-2.86%,"353,592"
"Aug 6, 2024","1,221.85","1,269.50","1,221.85","1,237.37","1,172.49",2.31%,"407,953"
"Aug 5, 2024","1,196.27","1,218.75","1,176.31","1,209.45","1,146.04",-0.23%,"439,962"
"Aug 2, 2024","1,249.77","1,249.77","1,202.24","1,212.27","1,148.71",-4.40%,"314,682"
"Aug 1, 2024","1,287.42","1,296.78","1,258.29","1,268.04","1,201.56",-2.02%,"237,424"
"Jul 31, 2024","1,285.52","1,302.45","1,273.81","1,294.22","1,226.36",2.38%,"271,670"
"Jul 30, 2024","1,248.55","1,273.94","1,248.55","1,264.16","1,197.88",2.27%,"282,964"
"Jul 29, 2024","1,241.30","1,246.80","1,227.31","1,236.12","1,171.31",0.10%,"173,045"
"Jul 26, 2024","1,240.86","1,253.19","1,232.63","1,234.86","1,170.12",0.52%,"207,905"
"Jul 25, 2024","1,250.42","1,262.92","1,228.21","1,228.42","1,164.01",-1.37%,"203,326"
"Jul 24, 2024","1,274.93","1,274.93","1,241.17","1,245.48","1,180.18",-3.24%,"171,229"
"Jul 23, 2024","1,262.13","1,296.38","1,259.04","1,287.13","1,219.65",2.49%,"204,036"
"Jul 22, 2024","1,245.76","1,259.36","1,237.18","1,255.85","1,190.01",1.44%,"200,921"
"Jul 19, 2024","1,259.27","1,259.27","1,234.33","1,238.07","1,173.16",-0.63%,"168,121"
"Jul 18, 2024","1,246.29","1,263.26","1,239.29","1,245.92","1,180.60",0.36%,"251,453"
"Jul 17, 2024","1,265.03","1,268.53","1,238.92","1,241.47","1,176.38",-3.05%,"207,221"
