date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",72.06,75.00,71.90,74.39,74.39,4.36%,"1,165,869"
"Nov 22, 2024",71.10,72.41,70.61,71.28,71.28,0.32%,"620,615"
"Nov 21, 2024",68.60,71.32,68.42,71.05,71.05,3.39%,"1,338,452"
"Nov 20, 2024",66.29,68.92,65.61,68.72,68.72,3.54%,"1,493,431"
"Nov 19, 2024",66.75,67.49,66.32,66.37,66.37,-0.73%,"1,568,577"
"Nov 18, 2024",67.23,67.49,65.99,66.86,66.86,-1.05%,"1,889,578"
"Nov 15, 2024",72.27,72.47,67.48,67.57,67.49,-6.85%,"2,449,274"
"Nov 14, 2024",75.17,75.84,72.27,72.54,72.45,-4.46%,"1,211,378"
"Nov 13, 2024",74.55,76.43,74.26,75.93,75.84,2.04%,"1,456,005"
"Nov 12, 2024",74.63,75.16,73.58,74.41,74.32,-0.37%,"802,414"
"Nov 11, 2024",75.91,76.49,74.40,74.69,74.60,-1.67%,"628,523"
"Nov 8, 2024",76.24,76.74,74.94,75.96,75.87,-0.60%,"649,382"
"Nov 7, 2024",76.69,77.59,75.99,76.42,76.25,0.78%,"685,347"
"Nov 6, 2024",80.80,80.80,74.83,75.83,75.66,-2.31%,"1,100,083"
"Nov 5, 2024",74.91,77.65,73.92,77.62,77.45,2.27%,"542,349"
"Nov 4, 2024",75.54,77.29,75.03,75.90,75.73,0.78%,"692,023"
"Nov 1, 2024",74.10,76.56,74.07,75.31,75.14,2.12%,"984,000"
"Oct 31, 2024",75.89,76.42,73.75,73.75,73.58,-2.99%,"1,109,819"
"Oct 30, 2024",74.00,79.46,73.95,76.02,75.85,7.46%,"2,663,662"
"Oct 29, 2024",70.15,71.01,69.83,70.74,70.58,0.51%,"1,582,125"
"Oct 28, 2024",69.59,70.42,69.21,70.38,70.22,2.48%,"1,066,938"
"Oct 25, 2024",68.85,69.14,68.07,68.68,68.53,0.45%,"681,327"
"Oct 24, 2024",69.58,70.05,68.33,68.37,68.22,-1.40%,"595,568"
"Oct 23, 2024",69.76,70.28,68.66,69.34,69.18,-0.87%,"734,623"
"Oct 22, 2024",70.06,70.65,68.90,69.95,69.79,-0.58%,"864,795"
"Oct 21, 2024",70.78,70.93,69.80,70.36,70.20,-1.24%,"951,273"
"Oct 18, 2024",70.61,71.32,69.92,71.24,71.08,1.55%,"834,004"
"Oct 17, 2024",72.28,72.74,69.93,70.15,69.99,-2.30%,"930,295"
"Oct 16, 2024",73.97,74.04,71.70,71.80,71.64,-2.43%,"881,982"
"Oct 15, 2024",73.60,75.17,73.26,73.59,73.43,-0.31%,"579,918"
"Oct 14, 2024",73.42,73.87,72.16,73.82,73.65,0.63%,"886,888"
"Oct 11, 2024",73.20,73.88,72.78,73.36,73.20,0.52%,"650,650"
"Oct 10, 2024",73.35,74.07,72.85,72.98,72.82,-1.72%,"433,085"
"Oct 9, 2024",73.89,74.37,73.02,74.26,74.09,0.71%,"459,012"
"Oct 8, 2024",74.22,74.78,73.10,73.74,73.57,0.30%,"698,843"
"Oct 7, 2024",74.35,74.36,72.61,73.52,73.36,-1.68%,"893,376"
"Oct 4, 2024",75.13,75.74,74.05,74.78,74.61,1.05%,"703,858"
"Oct 3, 2024",76.94,77.42,73.89,74.00,73.83,-4.43%,"1,142,897"
"Oct 2, 2024",77.98,78.38,77.32,77.43,77.26,-0.95%,"714,087"
"Oct 1, 2024",79.93,79.93,77.00,78.17,77.99,-2.20%,"744,199"
"Sep 30, 2024",78.50,80.02,78.00,79.93,79.75,1.54%,"721,138"
"Sep 27, 2024",78.08,80.12,78.02,78.72,78.54,0.85%,"690,201"
"Sep 26, 2024",76.91,79.06,75.97,78.06,77.89,4.15%,"575,367"
