date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",193.81,195.42,192.65,194.64,194.64,1.53%,"873,368"
"Nov 22, 2024",191.42,193.49,190.46,191.71,191.71,0.56%,"309,439"
"Nov 21, 2024",188.21,191.23,187.47,190.64,190.64,1.71%,"360,672"
"Nov 20, 2024",192.26,192.35,185.66,187.43,187.43,-2.92%,"588,502"
"Nov 19, 2024",192.30,194.41,189.93,193.07,193.07,-0.70%,"567,252"
"Nov 18, 2024",191.47,195.47,191.47,194.43,194.43,1.19%,"480,573"
"Nov 15, 2024",190.78,193.00,189.95,192.15,192.15,0.72%,"515,661"
"Nov 14, 2024",193.51,194.31,190.51,190.78,190.44,-1.65%,"284,578"
"Nov 13, 2024",195.78,197.43,193.49,193.98,193.64,-0.82%,"365,077"
"Nov 12, 2024",198.25,200.15,195.37,195.58,195.24,-1.23%,"453,263"
"Nov 11, 2024",196.03,199.50,195.49,198.02,197.67,1.26%,"501,987"
"Nov 8, 2024",198.07,199.35,194.58,195.55,195.21,-1.25%,"645,597"
"Nov 7, 2024",202.94,203.33,195.98,198.03,197.68,-1.93%,"608,193"
"Nov 6, 2024",208.27,208.27,200.17,201.92,201.56,-0.78%,"640,750"
"Nov 5, 2024",205.99,209.67,203.39,203.50,203.14,-1.85%,"532,844"
"Nov 4, 2024",210.31,212.16,206.25,207.33,206.96,-1.84%,"773,708"
"Nov 1, 2024",201.94,212.77,201.94,211.21,210.84,5.05%,"1,057,520"
"Oct 31, 2024",207.36,215.13,195.51,201.06,200.71,-14.52%,"1,484,969"
"Oct 30, 2024",235.63,238.39,234.77,235.22,234.81,-0.52%,"439,098"
"Oct 29, 2024",236.14,239.13,235.30,236.44,236.02,-0.08%,"244,151"
"Oct 28, 2024",235.39,238.00,233.20,236.63,236.21,1.28%,"245,790"
"Oct 25, 2024",235.03,236.16,232.95,233.63,233.22,-0.84%,"252,156"
"Oct 24, 2024",238.98,239.46,235.55,235.62,235.20,-0.93%,"241,595"
"Oct 23, 2024",236.68,237.95,234.85,237.82,237.40,0.47%,"233,199"
"Oct 22, 2024",236.29,237.30,234.17,236.71,236.29,0.12%,"222,584"
"Oct 21, 2024",239.31,239.82,235.44,236.42,236.00,-1.47%,"273,523"
"Oct 18, 2024",235.77,241.41,234.43,239.94,239.52,2.48%,"432,093"
"Oct 17, 2024",235.41,236.32,233.71,234.14,233.73,-0.42%,"303,800"
"Oct 16, 2024",237.21,237.91,234.76,235.12,234.71,-0.11%,"213,586"
"Oct 15, 2024",237.77,240.27,235.03,235.38,234.96,-0.83%,"278,346"
"Oct 14, 2024",236.20,239.09,234.29,237.34,236.92,0.56%,"255,428"
"Oct 11, 2024",235.96,239.28,235.52,236.03,235.61,0.60%,"213,855"
"Oct 10, 2024",233.30,236.98,233.30,234.62,234.21,0.09%,"320,121"
"Oct 9, 2024",234.95,236.22,233.48,234.41,234.00,-0.23%,"184,109"
"Oct 8, 2024",234.28,236.28,232.52,234.95,234.54,0.85%,"348,515"
"Oct 7, 2024",237.88,238.18,232.45,232.96,232.55,-2.60%,"360,789"
"Oct 4, 2024",240.77,240.77,237.52,239.18,238.76,-0.15%,"210,668"
"Oct 3, 2024",243.90,243.90,239.29,239.54,239.12,-1.80%,"265,994"
