date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",512.30,516.34,509.36,514.20,514.20,0.18%,"3,063,549"
"Nov 22, 2024",514.62,517.00,507.17,513.26,513.26,-0.55%,"1,833,539"
"Nov 21, 2024",514.12,516.22,507.46,516.10,516.10,0.64%,"1,956,777"
"Nov 20, 2024",507.08,513.85,502.73,512.84,512.84,0.73%,"1,534,010"
"Nov 19, 2024",496.19,511.30,493.30,509.12,509.12,1.56%,"3,658,663"
"Nov 18, 2024",511.00,512.77,498.61,501.29,501.29,-2.30%,"3,164,274"
"Nov 15, 2024",529.40,529.40,511.70,513.08,513.08,-3.74%,"3,953,117"
"Nov 14, 2024",539.90,542.38,531.69,533.02,533.02,-1.64%,"1,765,190"
"Nov 13, 2024",540.00,544.80,538.00,541.90,541.90,0.21%,"1,212,172"
"Nov 12, 2024",549.16,550.16,540.05,540.75,540.75,-1.13%,"1,724,079"
"Nov 11, 2024",549.08,553.93,545.07,546.92,546.92,-0.87%,"1,565,850"
"Nov 8, 2024",557.23,558.55,549.00,551.74,551.74,-0.75%,"1,620,732"
"Nov 7, 2024",565.00,565.88,554.20,555.89,555.89,-0.68%,"1,304,090"
"Nov 6, 2024",570.20,570.20,549.20,559.68,559.68,-0.20%,"1,423,148"
"Nov 5, 2024",550.41,561.78,550.24,560.79,560.79,0.96%,"998,699"
"Nov 4, 2024",556.68,559.56,550.15,555.47,555.47,-0.44%,"815,123"
"Nov 1, 2024",550.00,564.87,547.29,557.92,557.92,2.12%,"1,459,815"
"Oct 31, 2024",548.56,552.09,544.49,546.32,546.32,-0.78%,"1,472,599"
"Oct 30, 2024",547.50,554.74,546.75,550.62,550.62,0.52%,"1,452,184"
"Oct 29, 2024",550.96,553.61,547.25,547.77,547.77,-0.86%,"1,638,339"
"Oct 28, 2024",559.25,559.37,550.45,552.54,552.54,-0.33%,"1,116,741"
"Oct 25, 2024",560.16,562.22,553.31,554.38,554.38,-0.54%,"1,090,373"
"Oct 24, 2024",572.36,574.83,557.26,557.38,557.38,-3.31%,"1,757,565"
"Oct 23, 2024",574.58,578.69,566.08,576.49,576.49,-1.69%,"2,058,331"
"Oct 22, 2024",587.49,591.20,584.16,586.38,586.38,-1.51%,"1,619,551"
"Oct 21, 2024",597.89,600.58,591.82,595.37,595.37,-1.05%,"914,622"
"Oct 18, 2024",600.03,604.39,595.56,601.71,601.71,0.41%,"1,081,607"
"Oct 17, 2024",604.34,608.39,596.87,599.25,599.25,1.30%,"1,946,149"
"Oct 16, 2024",590.27,596.80,587.27,591.55,591.55,-1.49%,"1,369,297"
"Oct 15, 2024",605.00,610.56,599.38,600.52,600.52,-0.54%,"1,290,564"
"Oct 14, 2024",600.79,604.54,595.23,603.79,603.79,1.15%,"1,006,424"
"Oct 11, 2024",595.64,602.41,594.31,596.92,596.92,0.53%,"2,138,162"
"Oct 10, 2024",597.17,597.17,589.87,593.79,593.79,-0.91%,"1,221,166"
"Oct 9, 2024",594.11,600.07,593.11,599.25,599.25,0.64%,"890,916"
