date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",421.14,422.00,409.81,413.32,413.32,-1.00%,"2,400,924"
"Nov 22, 2024",415.34,418.20,413.56,417.49,417.49,0.51%,"896,176"
"Nov 21, 2024",412.04,418.20,410.57,415.39,415.39,1.03%,"1,088,948"
"Nov 20, 2024",414.31,414.31,405.14,411.16,411.16,-0.45%,"811,164"
"Nov 19, 2024",405.36,414.78,403.31,413.03,413.03,0.92%,"758,276"
"Nov 18, 2024",409.54,413.30,406.89,409.27,409.27,0.44%,"917,947"
"Nov 15, 2024",402.54,407.73,401.37,407.49,407.49,-0.64%,"958,479"
"Nov 14, 2024",413.68,415.05,408.70,410.12,410.12,-1.18%,"884,962"
"Nov 13, 2024",415.07,421.78,414.78,415.00,415.00,0.94%,"1,134,933"
"Nov 12, 2024",414.94,416.64,406.92,411.14,411.14,-0.91%,"1,418,213"
"Nov 11, 2024",413.17,416.86,410.81,414.92,414.92,1.06%,"1,643,453"
"Nov 8, 2024",405.45,413.74,399.07,410.58,410.58,3.70%,"1,528,289"
"Nov 7, 2024",394.18,396.22,390.46,395.92,395.92,1.04%,"990,414"
"Nov 6, 2024",400.45,402.82,385.07,391.86,391.86,0.40%,"1,989,029"
"Nov 5, 2024",377.87,390.71,377.87,390.29,390.29,3.53%,"1,600,007"
"Nov 4, 2024",375.36,380.33,373.39,376.99,376.99,0.22%,"1,137,641"
"Nov 1, 2024",373.86,377.47,369.90,376.15,376.15,1.62%,"1,550,878"
"Oct 31, 2024",374.14,374.14,366.25,370.16,370.16,-1.43%,"2,189,188"
"Oct 30, 2024",377.50,383.74,368.34,375.52,375.52,-3.86%,"2,132,947"
"Oct 29, 2024",389.66,391.65,386.15,390.59,390.59,-0.55%,"1,608,331"
"Oct 28, 2024",395.00,396.00,392.72,392.76,392.76,0.05%,"830,195"
"Oct 25, 2024",393.51,394.96,390.26,392.57,392.57,-,"600,637"
"Oct 24, 2024",392.80,394.78,387.88,392.57,392.57,-0.82%,"845,249"
"Oct 23, 2024",391.00,396.42,389.00,395.83,395.83,0.93%,"1,037,226"
"Oct 22, 2024",395.93,397.68,391.51,392.20,392.20,-2.15%,"1,373,636"
"Oct 21, 2024",401.28,403.25,399.93,400.80,400.80,-0.43%,"659,784"
"Oct 18, 2024",401.57,402.91,397.54,402.54,402.54,0.60%,"879,840"
"Oct 17, 2024",403.01,404.41,397.64,400.14,400.14,1.24%,"1,029,103"
"Oct 16, 2024",395.20,397.79,393.64,395.24,395.24,-0.57%,"1,519,121"
"Oct 15, 2024",406.74,406.96,396.94,397.50,397.50,-1.84%,"1,155,771"
"Oct 14, 2024",401.56,405.11,400.46,404.97,404.97,1.28%,"689,001"
"Oct 11, 2024",393.00,400.29,393.00,399.86,399.86,1.63%,"655,232"
"Oct 10, 2024",396.57,397.07,391.47,393.46,393.46,-1.57%,"710,726"
"Oct 9, 2024",397.50,400.23,394.58,399.72,399.72,0.81%,"833,732"
"Oct 8, 2024",395.18,398.00,391.26,396.50,396.50,1.58%,"1,227,443"
"Oct 7, 2024",385.69,391.18,385.05,390.33,390.33,0.51%,"629,999"
"Oct 4, 2024",387.94,388.59,382.42,388.36,388.36,0.37%,"595,803"
"Oct 3, 2024",389.10,390.48,384.25,386.93,386.93,-0.24%,"858,014"
"Oct 2, 2024",384.47,390.60,383.14,387.85,387.85,0.32%,"728,882"
"Oct 1, 2024",391.16,391.94,383.88,386.63,386.63,-0.54%,"945,696"
"Sep 30, 2024",384.20,388.73,382.29,388.73,388.73,1.24%,"1,278,499"
"Sep 27, 2024",386.25,387.99,382.99,383.95,383.95,-0.68%,"1,195,724"
"Sep 26, 2024",389.68,391.91,385.00,386.57,386.57,-0.29%,"831,757"
"Sep 25, 2024",386.89,390.60,384.67,387.70,387.70,1.03%,"807,615"
"Sep 24, 2024",385.59,388.10,383.20,383.75,383.75,-0.94%,"926,798"
"Sep 23, 2024",386.58,389.53,385.00,387.38,387.38,0.64%,"875,491"
"Sep 20, 2024",380.95,387.71,380.00,384.93,384.93,0.93%,"1,913,032"
"Sep 19, 2024",380.05,382.49,377.25,381.39,381.39,2.64%,"719,474"
"Sep 18, 2024",374.31,379.52,371.05,371.59,371.59,-0.80%,"958,559"
"Sep 17, 2024",370.22,374.66,365.63,374.60,374.60,1.55%,"1,129,483"
"Sep 16, 2024",367.10,370.22,364.17,368.89,368.89,1.28%,"1,447,619"
"Sep 13, 2024",360.51,366.22,359.24,364.23,364.23,1.27%,"1,059,247"
"Sep 12, 2024",353.15,359.90,352.50,359.67,359.67,1.51%,"873,367"
"Sep 11, 2024",346.42,354.80,340.61,354.31,354.31,2.36%,"947,604"
"Sep 10, 2024",348.76,349.27,343.27,346.13,346.13,0.24%,"1,206,423"
"Sep 9, 2024",346.32,350.62,343.28,345.30,345.30,0.94%,"1,080,597"
"Sep 6, 2024",345.94,349.36,339.13,342.07,342.07,-0.24%,"1,239,282"
"Sep 5, 2024",344.60,347.00,340.10,342.91,342.07,-1.04%,"920,963"
"Sep 4, 2024",346.88,349.41,343.26,346.53,345.68,0.10%,"707,061"
"Sep 3, 2024",362.25,363.16,343.80,346.18,345.33,-4.28%,"1,204,321"
"Aug 30, 2024",356.80,362.43,354.14,361.66,360.77,1.87%,"2,192,458"
"Aug 29, 2024",354.30,359.90,352.04,355.02,354.15,0.77%,"919,660"
"Aug 28, 2024",353.26,354.99,350.00,352.32,351.46,-0.07%,"534,456"
"Aug 27, 2024",349.14,353.26,348.24,352.56,351.70,0.55%,"932,119"
"Aug 26, 2024",352.91,354.32,349.38,350.63,349.77,-0.65%,"635,079"
"Aug 23, 2024",353.12,355.03,351.28,352.91,352.05,0.63%,"871,002"
"Aug 22, 2024",351.39,353.70,348.91,350.71,349.85,-0.27%,"997,604"
"Aug 21, 2024",348.77,353.44,346.89,351.66,350.80,1.15%,"633,202"
"Aug 20, 2024",347.00,350.23,344.12,347.67,346.82,0.20%,"655,397"
"Aug 19, 2024",342.58,347.07,341.17,346.99,346.14,1.67%,"757,012"
"Aug 16, 2024",346.99,347.79,340.80,341.30,340.46,-1.88%,"969,923"
"Aug 15, 2024",349.78,351.20,344.11,347.85,347.00,0.62%,"874,978"
"Aug 14, 2024",340.00,346.52,340.00,345.72,344.87,1.86%,"1,105,925"
