date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",85.85,86.70,85.58,85.75,85.75,0.43%,"1,125,398"
"Nov 22, 2024",84.26,85.54,84.14,85.38,85.38,1.69%,"743,977"
"Nov 21, 2024",82.25,84.11,81.79,83.96,83.96,2.57%,"1,194,248"
"Nov 20, 2024",81.62,82.13,81.34,81.86,81.86,0.71%,"1,212,749"
"Nov 19, 2024",82.62,82.83,81.17,81.28,81.28,-2.47%,"1,508,391"
"Nov 18, 2024",84.69,84.99,83.17,83.34,83.34,-1.85%,"1,391,083"
"Nov 15, 2024",85.92,86.99,84.87,84.91,84.91,-1.38%,"1,122,951"
"Nov 14, 2024",87.81,87.96,86.03,86.10,86.10,-1.68%,"1,276,804"
"Nov 13, 2024",86.98,88.23,86.95,87.57,87.57,0.72%,"1,172,023"
"Nov 12, 2024",88.01,88.38,86.83,86.94,86.94,-1.32%,"1,250,961"
"Nov 11, 2024",88.37,89.28,87.87,88.10,88.10,0.62%,"808,870"
"Nov 8, 2024",87.72,89.20,87.46,87.56,87.56,-0.35%,"1,250,547"
"Nov 7, 2024",87.76,88.50,87.00,87.87,87.87,-0.05%,"1,229,571"
"Nov 6, 2024",87.03,88.35,86.13,87.91,87.91,5.48%,"1,699,363"
"Nov 5, 2024",82.35,83.37,82.13,83.34,83.34,1.58%,"1,094,523"
"Nov 4, 2024",81.44,82.85,81.44,82.04,82.04,0.71%,"1,027,727"
"Nov 1, 2024",81.01,81.87,80.35,81.46,81.46,1.29%,"1,177,185"
"Oct 31, 2024",82.00,82.49,80.37,80.42,80.42,-2.00%,"1,166,468"
"Oct 30, 2024",81.39,82.71,80.76,82.06,82.06,0.35%,"1,460,124"
"Oct 29, 2024",82.74,83.19,81.68,81.77,81.77,-1.80%,"1,248,479"
"Oct 28, 2024",82.71,83.79,82.50,83.27,83.27,1.12%,"1,004,606"
"Oct 25, 2024",82.87,83.46,81.87,82.35,82.35,1.06%,"1,626,188"
"Oct 24, 2024",82.00,82.66,80.54,81.49,81.49,-6.19%,"3,046,377"
"Oct 23, 2024",87.47,87.99,86.48,86.87,86.87,-0.78%,"925,679"
"Oct 22, 2024",89.09,89.09,86.70,87.55,87.55,-2.06%,"810,321"
"Oct 21, 2024",90.32,91.30,89.05,89.39,89.39,-0.73%,"1,110,045"
"Oct 18, 2024",90.67,90.67,89.54,90.05,90.05,-0.30%,"995,643"
"Oct 17, 2024",87.94,90.39,87.59,90.32,90.32,3.06%,"1,245,214"
"Oct 16, 2024",87.87,88.46,87.53,87.64,87.64,-0.24%,"1,113,333"
"Oct 15, 2024",88.80,89.12,87.76,87.85,87.85,-0.66%,"682,849"
"Oct 14, 2024",87.74,88.49,87.42,88.43,88.43,0.53%,"722,478"
"Oct 11, 2024",86.35,88.08,86.35,87.96,87.96,1.86%,"662,474"
"Oct 10, 2024",85.50,86.54,85.32,86.35,86.35,0.01%,"715,366"
"Oct 9, 2024",84.74,86.88,84.51,86.34,86.34,1.59%,"933,647"
"Oct 8, 2024",85.64,86.52,84.31,84.99,84.99,-0.92%,"1,224,552"
"Oct 7, 2024",86.24,86.35,85.42,85.78,85.78,-1.11%,"994,235"
"Oct 4, 2024",87.13,87.50,86.13,86.74,86.74,0.73%,"683,445"
"Oct 3, 2024",86.78,86.83,85.54,86.11,86.11,-1.00%,"825,075"
"Oct 2, 2024",87.46,87.87,86.76,86.98,86.98,-0.54%,"776,662"
"Oct 1, 2024",87.80,88.21,86.46,87.45,87.45,-1.28%,"929,211"
"Sep 30, 2024",87.49,88.62,87.03,88.58,88.58,0.95%,"1,094,128"
"Sep 27, 2024",87.00,87.87,86.81,87.75,87.75,1.37%,"1,203,681"
"Sep 26, 2024",86.28,87.05,85.82,86.56,86.56,1.25%,"1,011,334"
"Sep 25, 2024",85.00,86.41,84.98,85.49,85.49,-1.37%,"1,199,551"
"Sep 24, 2024",87.09,87.45,85.80,86.68,86.68,-0.24%,"1,098,656"
"Sep 23, 2024",87.20,87.44,86.45,86.89,86.89,-1.16%,"953,948"
"Sep 20, 2024",88.58,88.62,87.40,87.91,87.91,-1.16%,"2,529,952"
"Sep 19, 2024",89.02,89.30,88.35,88.94,88.94,1.66%,"1,167,267"
"Sep 18, 2024",89.04,89.20,87.21,87.49,87.49,-1.35%,"1,299,259"
"Sep 17, 2024",88.50,89.37,88.04,88.69,88.69,0.41%,"820,276"
"Sep 16, 2024",88.46,89.33,87.83,88.33,88.33,0.72%,"760,583"
"Sep 13, 2024",87.19,88.09,86.92,87.70,87.70,0.86%,"792,322"
"Sep 12, 2024",86.18,86.98,85.71,86.95,86.93,0.59%,"677,994"
"Sep 11, 2024",86.34,86.66,84.20,86.44,86.42,-0.10%,"881,901"
"Sep 10, 2024",87.00,87.06,85.60,86.53,86.51,-0.40%,"732,808"
"Sep 9, 2024",86.26,87.65,86.09,86.88,86.86,1.37%,"921,092"
"Sep 6, 2024",87.20,88.32,85.55,85.71,85.69,-1.74%,"900,955"
"Sep 5, 2024",88.34,88.34,86.57,87.23,87.21,-1.49%,"812,380"
"Sep 4, 2024",88.75,89.66,88.18,88.55,88.53,-0.44%,"928,223"
"Sep 3, 2024",90.41,90.76,88.50,88.94,88.92,-2.48%,"971,850"
"Aug 30, 2024",90.37,91.48,89.43,91.20,91.18,1.11%,"1,057,413"
"Aug 29, 2024",90.75,91.11,89.89,90.20,90.18,0.11%,"652,613"
"Aug 28, 2024",89.68,90.69,89.54,90.10,90.08,0.64%,"464,051"
"Aug 27, 2024",89.99,89.99,89.40,89.53,89.51,-0.59%,"423,744"
"Aug 26, 2024",90.27,90.93,89.95,90.06,90.04,0.17%,"429,333"
"Aug 23, 2024",89.24,90.38,88.80,89.91,89.89,1.28%,"788,717"
"Aug 22, 2024",88.67,88.98,88.13,88.77,88.75,0.15%,"518,663"
"Aug 21, 2024",88.34,88.68,87.79,88.64,88.62,0.80%,"814,691"
"Aug 20, 2024",88.39,88.61,87.50,87.94,87.92,-0.77%,"579,550"
