date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",345.49,366.00,344.42,362.65,362.65,7.17%,"1,870,669"
"Nov 22, 2024",338.51,345.85,338.03,338.38,338.38,-0.12%,"901,791"
"Nov 21, 2024",339.24,339.84,331.74,338.78,338.78,-1.31%,"1,296,277"
"Nov 20, 2024",340.59,344.69,338.58,343.26,343.26,0.32%,"817,308"
"Nov 19, 2024",349.99,350.15,341.79,342.17,342.17,-3.16%,"842,668"
"Nov 18, 2024",360.85,361.98,350.35,353.35,353.35,-3.24%,"1,405,667"
"Nov 15, 2024",362.67,378.09,361.66,365.17,365.17,-4.60%,"1,440,970"
"Nov 14, 2024",382.99,385.93,380.79,382.77,382.77,0.01%,"700,751"
"Nov 13, 2024",381.38,385.45,378.98,382.74,382.74,0.78%,"623,944"
"Nov 12, 2024",382.77,386.99,379.51,379.79,379.79,-0.20%,"670,669"
"Nov 11, 2024",386.65,390.81,379.93,380.54,380.54,-1.23%,"972,645"
"Nov 8, 2024",392.45,394.49,384.94,385.26,385.26,-2.03%,"681,381"
"Nov 7, 2024",389.64,395.93,388.42,393.26,393.26,1.48%,"767,635"
"Nov 6, 2024",383.19,389.43,375.00,387.53,387.53,1.21%,"1,213,303"
"Nov 5, 2024",381.28,385.56,377.68,382.91,382.91,-0.26%,"611,626"
"Nov 4, 2024",373.01,384.00,371.66,383.90,383.90,1.65%,"834,539"
"Nov 1, 2024",370.26,378.45,369.72,377.65,377.65,2.35%,"672,387"
"Oct 31, 2024",372.40,374.60,365.34,368.98,368.98,-1.90%,"816,015"
"Oct 30, 2024",378.97,380.18,374.49,376.11,376.11,-0.98%,"784,129"
"Oct 29, 2024",379.45,380.07,373.44,379.84,379.84,-0.06%,"735,926"
"Oct 28, 2024",373.73,380.11,369.49,380.08,380.08,1.82%,"963,484"
"Oct 25, 2024",370.10,376.15,369.60,373.30,373.30,1.67%,"739,765"
"Oct 24, 2024",367.53,369.42,364.40,367.18,367.18,0.04%,"789,259"
"Oct 23, 2024",364.59,367.60,362.08,367.02,367.02,0.55%,"845,668"
"Oct 22, 2024",367.93,368.75,358.39,365.01,365.01,-1.13%,"1,270,027"
"Oct 21, 2024",368.39,378.15,368.00,369.20,369.20,0.08%,"1,274,991"
"Oct 18, 2024",376.01,376.03,363.60,368.92,368.92,-0.75%,"880,606"
"Oct 17, 2024",372.36,375.52,364.06,371.72,371.72,-0.40%,"1,449,024"
"Oct 16, 2024",366.85,375.32,352.40,373.21,373.21,1.01%,"3,092,078"
"Oct 15, 2024",370.78,379.38,368.10,369.49,369.49,0.05%,"1,001,465"
"Oct 14, 2024",370.58,371.36,364.43,369.32,369.32,-0.34%,"883,614"
"Oct 11, 2024",359.67,373.32,359.49,370.58,370.58,3.24%,"1,220,927"
"Oct 10, 2024",358.84,364.34,355.58,358.96,358.96,-0.23%,"1,090,331"
"Oct 9, 2024",365.17,369.57,359.53,359.80,359.80,-1.29%,"1,212,850"
"Oct 8, 2024",369.41,371.90,364.48,364.52,364.52,-1.48%,"764,554"
"Oct 7, 2024",381.40,381.40,368.11,370.01,370.01,-3.09%,"925,660"
"Oct 4, 2024",380.59,384.61,377.01,381.80,381.80,2.44%,"1,158,971"
"Oct 3, 2024",371.03,374.19,368.17,372.72,372.72,-0.31%,"1,002,406"
"Oct 2, 2024",379.17,380.08,372.01,373.88,373.88,-1.38%,"942,388"
"Oct 1, 2024",386.17,386.76,377.07,379.13,379.13,-2.57%,"1,175,859"
"Sep 30, 2024",404.39,404.89,386.00,389.12,389.12,-3.69%,"1,773,817"
"Sep 27, 2024",407.63,411.79,402.52,404.01,404.01,-0.52%,"1,060,882"
"Sep 26, 2024",407.32,412.00,404.50,406.11,406.11,0.96%,"1,153,088"
"Sep 25, 2024",401.63,402.82,395.11,402.26,402.26,-0.06%,"1,318,416"
"Sep 24, 2024",398.50,404.63,396.37,402.50,402.50,2.20%,"1,004,907"
"Sep 23, 2024",397.13,398.00,387.53,393.84,393.84,-2.03%,"1,576,230"
"Sep 20, 2024",402.00,408.00,400.20,402.01,402.01,-0.32%,"1,451,394"
"Sep 19, 2024",408.75,409.59,400.30,403.29,403.29,0.14%,"894,389"
"Sep 18, 2024",397.40,408.74,397.38,402.72,402.72,1.44%,"1,322,720"
"Sep 17, 2024",390.68,399.87,390.00,397.00,397.00,1.98%,"1,407,163"
"Sep 16, 2024",377.51,392.05,377.51,389.29,389.29,2.89%,"1,144,872"
"Sep 13, 2024",375.99,382.84,375.00,378.34,378.34,1.41%,"762,495"
"Sep 12, 2024",373.00,377.02,366.01,373.08,373.08,0.21%,"735,043"
"Sep 11, 2024",375.07,375.07,367.51,372.30,372.30,-0.32%,"727,617"
"Sep 10, 2024",377.53,377.53,356.02,373.50,373.50,-2.11%,"2,032,527"
"Sep 9, 2024",368.25,383.50,368.00,381.57,381.57,3.80%,"1,498,331"
"Sep 6, 2024",364.43,369.13,361.82,367.59,367.59,1.05%,"1,077,258"
"Sep 5, 2024",361.97,366.54,361.00,363.78,363.78,1.07%,"885,417"
"Sep 4, 2024",357.00,365.89,356.68,359.92,359.92,0.31%,"1,154,029"
"Sep 3, 2024",352.00,367.58,350.10,358.80,358.80,1.69%,"2,316,269"
"Aug 30, 2024",344.09,361.43,342.00,352.84,352.84,-4.01%,"4,999,779"
"Aug 29, 2024",368.53,375.61,367.21,367.58,367.58,0.21%,"2,271,201"
"Aug 28, 2024",368.26,376.70,366.74,366.82,366.82,-1.22%,"1,330,998"
"Aug 27, 2024",372.47,373.49,367.93,371.35,371.35,-0.97%,"972,380"
"Aug 26, 2024",377.33,381.17,372.75,374.98,374.98,-0.97%,"878,189"
"Aug 23, 2024",372.69,379.82,372.29,378.65,378.65,1.17%,"987,894"
"Aug 22, 2024",382.13,383.25,373.00,374.26,374.26,-1.75%,"1,139,144"
"Aug 21, 2024",374.74,386.04,374.74,380.92,380.92,3.22%,"1,529,307"
"Aug 20, 2024",376.34,378.10,368.84,369.05,369.05,-2.12%,"1,545,435"
"Aug 19, 2024",382.51,392.61,376.10,377.06,377.06,-0.05%,"2,648,633"
"Aug 16, 2024",368.00,383.71,367.02,377.23,377.23,3.12%,"2,942,803"
"Aug 15, 2024",371.64,373.00,358.35,365.80,365.80,11.17%,"4,424,858"
"Aug 14, 2024",330.04,332.92,325.00,329.05,329.05,-0.76%,"970,798"
