date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",597.58,609.84,595.01,605.83,605.83,2.53%,"5,146,485"
"Nov 22, 2024",598.56,601.26,588.68,590.87,590.87,-1.11%,"3,198,124"
"Nov 21, 2024",600.00,604.00,596.73,597.49,597.49,-0.50%,"2,722,929"
"Nov 20, 2024",582.71,602.64,581.55,600.50,600.50,4.07%,"3,928,765"
"Nov 19, 2024",582.72,586.84,576.77,577.00,577.00,-2.15%,"3,198,346"
"Nov 18, 2024",589.44,594.14,585.32,589.65,589.65,-0.44%,"2,577,124"
"Nov 15, 2024",591.92,598.93,589.95,592.23,592.23,-0.16%,"3,423,919"
"Nov 14, 2024",603.48,606.00,588.99,593.15,593.15,-2.10%,"3,079,199"
"Nov 13, 2024",613.00,613.01,603.06,605.87,605.87,-1.43%,"3,409,793"
"Nov 12, 2024",619.58,624.48,613.78,614.67,614.67,-1.69%,"2,809,603"
"Nov 11, 2024",616.90,630.73,613.92,625.25,625.25,1.53%,"3,003,242"
"Nov 8, 2024",609.00,619.80,605.20,615.81,615.81,1.71%,"3,875,838"
"Nov 7, 2024",598.69,607.64,596.15,605.45,605.45,1.47%,"5,254,274"
"Nov 6, 2024",603.90,605.50,590.85,596.69,596.69,5.23%,"6,591,301"
"Nov 5, 2024",558.28,568.74,554.40,567.03,567.03,1.66%,"2,608,133"
"Nov 4, 2024",566.74,568.59,555.42,557.77,557.77,-1.72%,"2,656,777"
"Nov 1, 2024",565.12,570.33,563.90,567.56,567.56,0.54%,"2,548,368"
"Oct 31, 2024",560.88,568.45,560.88,564.50,564.50,0.27%,"2,490,014"
"Oct 30, 2024",561.25,570.31,560.95,562.96,562.96,0.15%,"2,323,558"
"Oct 29, 2024",562.82,567.68,560.66,562.13,562.13,-0.55%,"2,600,448"
"Oct 28, 2024",566.25,568.33,562.81,565.24,565.24,0.12%,"1,826,559"
"Oct 25, 2024",566.16,571.50,563.61,564.56,564.56,0.67%,"2,513,728"
"Oct 24, 2024",564.99,571.70,560.31,560.81,560.81,-0.68%,"2,590,197"
"Oct 23, 2024",572.13,574.14,560.00,564.64,564.64,-0.92%,"2,912,085"
"Oct 22, 2024",567.85,573.04,565.49,569.86,569.86,-0.28%,"2,594,048"
"Oct 21, 2024",569.64,579.28,568.70,571.47,571.47,0.33%,"3,018,013"
"Oct 18, 2024",566.85,570.95,563.04,569.61,569.61,0.63%,"3,687,045"
"Oct 17, 2024",560.58,569.47,558.72,566.03,566.03,-0.93%,"5,588,677"
"Oct 16, 2024",557.01,576.18,555.12,571.34,571.34,2.71%,"5,103,928"
"Oct 15, 2024",552.02,569.70,543.00,556.29,556.29,-8.11%,"11,939,357"
"Oct 14, 2024",599.11,608.63,597.38,605.40,605.40,1.23%,"2,447,087"
"Oct 11, 2024",596.49,601.52,596.20,598.05,598.05,0.06%,"1,909,733"
"Oct 10, 2024",595.18,598.95,592.76,597.70,597.70,1.10%,"2,143,284"
"Oct 9, 2024",582.16,592.80,580.61,591.22,591.22,1.66%,"2,207,858"
"Oct 8, 2024",588.06,589.21,579.56,581.58,581.58,-0.34%,"2,231,446"
"Oct 7, 2024",588.79,592.44,583.33,583.56,583.56,-1.29%,"2,591,083"
"Oct 4, 2024",592.13,596.13,588.44,591.20,591.20,-0.26%,"2,463,201"
"Oct 3, 2024",590.61,593.23,584.37,592.75,592.75,0.07%,"2,645,877"
"Oct 2, 2024",604.26,604.52,584.25,592.31,592.31,1.54%,"3,667,113"
"Oct 1, 2024",585.00,588.70,580.77,583.30,583.30,-0.24%,"2,648,628"
"Sep 30, 2024",583.50,586.42,578.74,584.68,584.68,0.49%,"3,009,766"
"Sep 27, 2024",577.68,586.71,576.59,581.85,581.85,1.22%,"2,986,238"
"Sep 26, 2024",575.00,576.60,570.91,574.81,574.81,-0.26%,"2,751,960"
"Sep 25, 2024",577.87,581.11,573.08,576.31,576.31,0.19%,"2,658,894"
"Sep 24, 2024",570.82,577.31,566.00,575.19,575.19,0.31%,"3,188,511"
"Sep 23, 2024",576.49,579.44,572.00,573.41,573.41,-0.28%,"2,386,142"
"Sep 20, 2024",571.70,578.84,569.65,575.00,575.00,-0.36%,"5,398,749"
"Sep 19, 2024",583.72,584.83,574.58,577.07,577.07,-0.62%,"2,945,679"
"Sep 18, 2024",576.86,584.52,572.31,580.65,580.65,0.47%,"2,988,303"
"Sep 17, 2024",586.01,586.72,576.39,577.96,577.96,-1.90%,"3,415,975"
"Sep 16, 2024",595.00,598.79,587.76,589.14,589.14,-0.87%,"2,548,647"
"Sep 13, 2024",591.08,597.68,587.23,594.32,592.21,1.00%,"2,242,003"
"Sep 12, 2024",588.53,590.51,583.21,588.42,586.33,-0.23%,"3,395,835"
"Sep 11, 2024",589.14,591.40,578.97,589.75,587.66,-1.55%,"3,563,783"
"Sep 10, 2024",595.21,604.80,591.15,599.03,596.90,0.83%,"2,863,494"
"Sep 9, 2024",598.32,599.48,575.27,594.10,591.99,-0.47%,"3,411,393"
"Sep 6, 2024",595.87,600.61,592.26,596.88,594.76,0.23%,"2,926,369"
"Sep 5, 2024",604.19,606.00,589.67,595.49,593.38,-1.44%,"2,144,906"
"Sep 4, 2024",600.00,607.94,597.88,604.18,602.03,0.92%,"2,788,868"
"Sep 3, 2024",592.52,600.66,591.82,598.68,596.55,1.44%,"3,175,479"
"Aug 30, 2024",590.00,593.26,586.59,590.20,588.10,-0.23%,"2,944,705"
"Aug 29, 2024",590.68,592.61,584.37,591.57,589.47,0.51%,"1,953,372"
"Aug 28, 2024",589.01,592.84,583.87,588.54,586.45,0.20%,"1,657,042"
"Aug 27, 2024",589.47,592.34,583.78,587.35,585.26,0.04%,"1,581,952"
"Aug 26, 2024",588.05,592.09,585.74,587.13,585.05,0.45%,"1,800,112"
"Aug 23, 2024",581.00,585.21,578.45,584.51,582.43,1.00%,"2,376,416"
"Aug 22, 2024",579.25,582.95,570.62,578.72,576.66,0.11%,"2,282,117"
"Aug 21, 2024",581.51,583.39,577.43,578.07,576.02,-0.44%,"2,844,546"
"Aug 20, 2024",579.85,583.81,575.50,580.65,578.59,0.32%,"1,677,473"
"Aug 19, 2024",578.08,583.30,577.07,578.78,576.72,0.19%,"1,847,941"
"Aug 16, 2024",580.92,581.65,574.10,577.68,575.63,-0.33%,"2,728,939"
"Aug 15, 2024",579.67,583.34,573.51,579.61,577.55,-0.01%,"2,751,927"
"Aug 14, 2024",575.24,581.12,573.27,579.67,577.61,0.95%,"2,344,386"
"Aug 13, 2024",569.99,575.73,569.00,574.24,572.20,1.58%,"2,369,555"
"Aug 12, 2024",562.32,569.00,561.05,565.29,563.28,1.17%,"2,532,389"
"Aug 9, 2024",564.54,565.93,557.63,558.76,556.78,-1.32%,"2,976,835"
"Aug 8, 2024",564.37,572.45,564.37,566.24,564.23,0.03%,"2,860,848"
"Aug 7, 2024",566.61,571.65,557.03,566.08,564.07,-0.40%,"4,320,853"
"Aug 6, 2024",568.21,577.52,562.53,568.35,566.33,-0.28%,"3,216,525"
"Aug 5, 2024",582.12,586.82,566.76,569.96,567.94,-3.37%,"4,587,352"
"Aug 2, 2024",582.33,591.54,575.25,589.83,587.74,2.98%,"5,094,041"
"Aug 1, 2024",577.20,587.50,567.10,572.77,570.74,-0.59%,"3,680,778"
"Jul 31, 2024",565.44,580.90,562.32,576.16,574.11,-0.03%,"4,713,230"
"Jul 30, 2024",566.90,579.43,565.99,576.33,574.28,1.69%,"4,139,053"
"Jul 29, 2024",565.71,571.35,561.76,566.75,564.74,-0.52%,"2,965,169"
"Jul 26, 2024",560.00,579.13,560.00,569.72,567.70,1.79%,"3,202,023"
"Jul 25, 2024",562.00,569.89,558.58,559.68,557.69,-0.01%,"3,102,947"
"Jul 24, 2024",560.00,561.13,553.02,559.75,557.76,0.91%,"3,156,232"
"Jul 23, 2024",558.79,558.84,552.81,554.70,552.73,-0.69%,"2,785,570"
"Jul 22, 2024",563.05,564.25,557.08,558.53,556.55,-1.20%,"3,377,308"
"Jul 19, 2024",567.12,569.90,561.54,565.33,563.32,0.18%,"4,290,440"
"Jul 18, 2024",564.50,581.50,561.42,564.34,562.34,-1.56%,"6,834,821"
"Jul 17, 2024",554.00,573.61,551.30,573.28,571.24,4.45%,"10,330,780"
"Jul 16, 2024",533.90,549.92,527.13,548.87,546.92,6.50%,"11,061,994"
"Jul 15, 2024",524.24,530.83,513.80,515.37,513.54,0.75%,"5,127,979"
"Jul 12, 2024",506.92,514.57,503.43,511.53,509.71,1.42%,"3,570,624"
"Jul 11, 2024",497.70,508.73,497.70,504.36,502.57,0.68%,"3,536,225"
"Jul 10, 2024",490.94,501.50,490.12,500.93,499.15,1.79%,"3,189,837"
"Jul 9, 2024",488.33,495.40,486.09,492.11,490.36,0.57%,"3,057,284"
"Jul 8, 2024",489.19,493.88,486.17,489.34,487.60,0.27%,"3,450,841"
