date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",243.46,250.58,243.05,249.32,249.32,2.86%,"4,224,412"
"Nov 22, 2024",240.00,242.67,239.47,242.39,242.39,1.41%,"2,664,897"
"Nov 21, 2024",234.07,239.93,233.67,239.02,239.02,2.34%,"3,490,763"
"Nov 20, 2024",233.47,234.32,231.84,233.56,233.56,0.12%,"1,158,041"
"Nov 19, 2024",233.14,234.09,231.86,233.29,233.29,-0.48%,"1,774,322"
"Nov 18, 2024",235.08,235.46,233.88,234.41,234.41,-0.49%,"1,401,392"
"Nov 15, 2024",234.88,237.83,234.00,235.57,235.57,-,"2,068,472"
"Nov 14, 2024",240.26,241.09,234.82,235.58,235.58,-2.01%,"2,766,157"
"Nov 13, 2024",239.41,240.93,238.31,240.41,240.41,0.63%,"2,564,021"
"Nov 12, 2024",242.35,242.64,238.59,238.91,238.91,-1.26%,"2,362,867"
"Nov 11, 2024",243.86,245.94,241.84,241.95,241.95,0.19%,"3,299,153"
"Nov 8, 2024",241.96,244.13,240.81,241.49,241.49,-0.44%,"2,209,258"
"Nov 7, 2024",249.30,249.89,242.20,242.56,242.56,-2.39%,"2,921,316"
"Nov 6, 2024",248.08,251.72,242.35,248.49,248.49,6.25%,"5,318,739"
"Nov 5, 2024",230.60,233.89,229.50,233.87,233.87,1.72%,"1,483,661"
"Nov 4, 2024",231.95,233.23,229.44,229.91,229.91,-1.19%,"2,195,620"
"Nov 1, 2024",233.55,234.84,232.30,232.69,232.69,0.27%,"2,653,306"
"Oct 31, 2024",230.74,233.84,230.29,232.07,232.07,-0.04%,"2,594,786"
"Oct 30, 2024",231.50,234.65,231.28,232.17,232.17,0.08%,"3,079,425"
"Oct 29, 2024",232.11,234.38,231.46,231.99,231.99,-,"3,682,097"
"Oct 28, 2024",230.06,233.46,230.06,231.98,231.98,0.73%,"2,492,981"
"Oct 25, 2024",230.19,231.88,229.28,230.30,230.30,-0.20%,"2,952,224"
"Oct 24, 2024",229.42,234.00,227.56,230.75,230.75,-4.39%,"5,181,142"
"Oct 23, 2024",241.30,242.19,240.11,241.35,241.35,-0.04%,"2,156,278"
"Oct 22, 2024",241.08,241.94,238.63,241.45,241.45,0.46%,"1,818,425"
"Oct 21, 2024",243.73,243.73,239.42,240.35,240.35,-1.54%,"1,547,906"
"Oct 18, 2024",242.53,244.71,241.46,244.10,244.10,0.98%,"2,866,129"
"Oct 17, 2024",246.88,246.88,240.50,241.72,241.72,-2.57%,"2,177,924"
"Oct 16, 2024",245.93,250.23,245.50,248.10,248.10,0.94%,"1,500,133"
"Oct 15, 2024",246.71,248.70,245.36,245.79,245.79,0.21%,"1,858,037"
"Oct 14, 2024",242.65,246.17,241.96,245.27,245.27,1.22%,"1,735,882"
"Oct 11, 2024",240.08,242.54,239.55,242.31,242.31,1.46%,"1,663,835"
"Oct 10, 2024",237.45,238.94,236.29,238.82,238.82,0.48%,"1,900,711"
"Oct 9, 2024",237.11,238.66,235.88,237.68,237.68,0.05%,"2,046,736"
"Oct 8, 2024",237.68,238.94,237.31,237.56,237.56,0.29%,"1,783,213"
"Oct 7, 2024",237.70,238.15,235.29,236.87,236.87,-0.83%,"1,684,066"
"Oct 4, 2024",241.72,243.18,237.19,238.86,238.86,-0.74%,"2,137,949"
"Oct 3, 2024",242.43,243.00,239.60,240.63,240.63,-1.12%,"1,990,156"
"Oct 2, 2024",245.05,246.19,242.21,243.35,243.35,-0.90%,"2,568,262"
"Oct 1, 2024",246.17,247.35,243.66,245.55,245.55,-0.38%,"1,925,000"
"Sep 30, 2024",245.00,247.01,243.46,246.48,246.48,0.93%,"2,923,206"
"Sep 27, 2024",244.68,247.48,243.94,244.22,244.22,0.41%,"1,954,544"
"Sep 26, 2024",247.00,248.30,242.35,243.23,243.23,-0.92%,"2,398,738"
"Sep 25, 2024",247.54,249.29,245.08,245.50,245.50,-1.39%,"2,347,258"
"Sep 24, 2024",243.19,249.03,241.56,248.96,248.96,2.03%,"2,772,711"
"Sep 23, 2024",245.09,245.36,242.86,244.00,244.00,-0.57%,"2,740,567"
"Sep 20, 2024",243.48,245.62,242.54,245.39,245.39,-1.23%,"6,802,799"
"Sep 19, 2024",250.00,254.01,246.05,248.44,248.44,-1.10%,"3,406,678"
"Sep 18, 2024",254.01,254.56,250.53,251.20,251.20,-0.93%,"1,568,183"
"Sep 17, 2024",253.27,255.06,253.00,253.55,253.55,0.44%,"1,640,445"
"Sep 16, 2024",250.88,253.59,249.48,252.43,252.43,1.33%,"1,651,114"
"Sep 13, 2024",249.94,252.00,248.55,249.12,249.12,0.09%,"2,267,787"
"Sep 12, 2024",247.92,249.52,245.41,248.89,248.89,0.56%,"1,867,980"
"Sep 11, 2024",250.64,251.50,243.43,247.50,247.50,-2.01%,"2,372,194"
"Sep 10, 2024",251.85,252.62,249.62,252.58,252.58,0.59%,"1,694,658"
"Sep 9, 2024",250.71,252.14,249.82,251.11,251.11,0.59%,"2,162,452"
"Sep 6, 2024",251.40,253.67,249.24,249.63,249.63,-0.76%,"2,406,225"
"Sep 5, 2024",255.80,256.11,249.87,251.53,251.53,-1.63%,"2,562,529"
"Sep 4, 2024",255.44,258.07,252.09,255.70,255.70,0.19%,"2,558,099"
"Sep 3, 2024",255.87,256.95,254.05,255.21,255.21,-0.34%,"2,585,798"
"Aug 30, 2024",251.92,256.30,251.92,256.09,256.09,1.14%,"2,386,564"
"Aug 29, 2024",253.81,254.65,251.39,253.20,251.88,0.21%,"1,287,795"
"Aug 28, 2024",250.47,254.39,249.81,252.67,251.36,0.93%,"2,359,782"
"Aug 27, 2024",248.49,250.50,248.05,250.35,249.05,1.01%,"1,466,246"
"Aug 26, 2024",247.76,249.55,247.00,247.84,246.55,0.40%,"1,680,550"
"Aug 23, 2024",245.00,246.99,244.03,246.85,245.57,1.04%,"2,449,222"
"Aug 22, 2024",246.03,247.00,242.83,244.32,243.05,-0.57%,"2,722,350"
"Aug 21, 2024",247.73,248.30,245.00,245.73,244.45,-0.31%,"1,482,850"
"Aug 20, 2024",246.07,247.24,245.31,246.50,245.22,0.17%,"1,552,013"
"Aug 19, 2024",245.00,246.66,244.17,246.07,244.79,0.63%,"1,686,486"
"Aug 16, 2024",244.00,245.40,243.40,244.53,243.26,0.34%,"1,951,386"
"Aug 15, 2024",243.93,245.27,242.75,243.71,242.44,1.03%,"2,127,983"
"Aug 14, 2024",237.97,242.25,237.31,241.22,239.96,1.66%,"1,903,113"
"Aug 13, 2024",238.03,239.00,235.23,237.27,236.04,0.22%,"1,486,284"
"Aug 12, 2024",238.35,238.35,234.90,236.75,235.52,-0.32%,"1,782,063"
"Aug 9, 2024",240.47,240.47,236.95,237.52,236.28,-1.26%,"1,621,058"
"Aug 8, 2024",237.24,240.89,236.90,240.54,239.29,1.56%,"1,444,831"
"Aug 7, 2024",239.85,241.94,236.47,236.84,235.61,-0.72%,"1,939,343"
"Aug 6, 2024",235.38,241.51,234.73,238.55,237.31,1.57%,"2,514,582"
"Aug 5, 2024",237.01,237.97,231.26,234.87,233.65,-2.13%,"2,494,424"
"Aug 2, 2024",243.53,243.90,235.70,239.97,238.72,-1.84%,"2,114,653"
