date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",135.98,138.67,135.98,137.54,137.54,2.02%,"5,028,981"
"Nov 22, 2024",131.68,135.09,131.68,134.82,134.82,2.63%,"3,677,530"
"Nov 21, 2024",131.77,132.55,131.01,131.37,131.37,-0.55%,"3,014,861"
"Nov 20, 2024",133.38,133.42,130.82,132.09,132.09,-0.83%,"3,848,561"
"Nov 19, 2024",134.74,134.74,132.67,133.20,133.20,-1.43%,"3,836,043"
"Nov 18, 2024",132.30,135.31,132.03,135.13,135.13,0.79%,"4,038,431"
"Nov 15, 2024",132.28,134.11,132.09,134.07,132.47,1.08%,"3,337,614"
"Nov 14, 2024",133.65,133.93,132.04,132.64,131.06,-0.78%,"2,971,310"
"Nov 13, 2024",130.65,134.31,129.80,133.68,132.09,2.72%,"5,345,566"
"Nov 12, 2024",131.93,132.30,130.01,130.14,128.59,-1.12%,"3,243,546"
"Nov 11, 2024",132.66,133.73,131.24,131.61,130.04,-0.63%,"4,684,099"
"Nov 8, 2024",134.11,134.12,132.24,132.44,130.86,-1.27%,"3,111,704"
"Nov 7, 2024",135.15,135.40,134.04,134.15,132.55,0.17%,"3,075,746"
"Nov 6, 2024",135.35,135.79,132.20,133.92,132.32,0.06%,"5,624,560"
"Nov 5, 2024",132.70,133.86,132.07,133.84,132.25,0.63%,"2,537,939"
"Nov 4, 2024",134.36,134.77,132.10,133.00,131.42,-0.78%,"2,422,184"
"Nov 1, 2024",134.58,135.37,133.43,134.05,132.45,-0.01%,"2,266,708"
"Oct 31, 2024",133.65,134.92,133.03,134.06,132.46,0.19%,"3,303,629"
"Oct 30, 2024",134.00,135.32,133.60,133.80,132.21,-0.38%,"2,754,597"
"Oct 29, 2024",134.75,136.07,133.97,134.31,132.71,-0.76%,"3,061,701"
"Oct 28, 2024",137.33,137.79,135.17,135.34,133.73,-1.52%,"4,069,014"
"Oct 25, 2024",138.34,140.33,137.18,137.43,135.79,-0.66%,"4,916,651"
"Oct 24, 2024",145.00,145.01,136.57,138.35,136.70,5.28%,"11,959,772"
"Oct 23, 2024",131.24,132.10,130.55,131.41,129.84,0.06%,"3,454,470"
"Oct 22, 2024",130.82,132.10,129.77,131.33,129.77,-,"3,280,064"
