date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",32.26,32.71,32.24,32.53,32.53,0.93%,"6,376,083"
"Nov 22, 2024",32.50,32.60,32.14,32.23,32.23,-0.43%,"3,346,859"
"Nov 21, 2024",32.17,32.48,32.02,32.37,32.37,0.78%,"2,945,210"
"Nov 20, 2024",32.09,32.25,31.95,32.12,32.12,-0.31%,"2,542,812"
"Nov 19, 2024",31.85,32.35,31.59,32.22,32.22,1.03%,"4,669,765"
"Nov 18, 2024",31.63,31.99,31.59,31.89,31.89,0.69%,"4,798,384"
"Nov 15, 2024",31.29,31.72,31.27,31.67,31.67,1.18%,"11,472,726"
"Nov 14, 2024",31.27,31.44,30.99,31.30,31.30,-0.03%,"4,972,552"
"Nov 13, 2024",31.49,31.55,31.11,31.31,31.31,0.35%,"3,603,054"
"Nov 12, 2024",31.23,31.45,31.03,31.20,31.20,-0.26%,"5,025,696"
"Nov 11, 2024",31.48,31.48,31.18,31.28,31.28,-0.35%,"5,103,825"
"Nov 8, 2024",31.15,31.54,30.97,31.39,31.39,1.49%,"4,396,142"
"Nov 7, 2024",31.15,31.36,30.87,30.93,30.93,-0.58%,"5,265,768"
"Nov 6, 2024",32.11,32.19,30.65,31.11,31.11,-2.90%,"9,271,531"
"Nov 5, 2024",31.54,32.04,31.33,32.04,32.04,1.10%,"3,328,587"
"Nov 4, 2024",31.60,32.02,31.58,31.69,31.69,0.80%,"4,448,664"
"Nov 1, 2024",31.87,32.44,31.38,31.44,31.44,-1.01%,"6,317,474"
"Oct 31, 2024",32.26,32.44,31.75,31.76,31.76,-2.04%,"5,129,573"
"Oct 30, 2024",32.38,32.95,32.36,32.42,32.42,0.40%,"4,583,629"
"Oct 29, 2024",32.30,32.53,32.15,32.29,32.29,-0.22%,"5,000,639"
"Oct 28, 2024",32.20,32.49,32.20,32.36,32.36,0.81%,"3,445,477"
"Oct 25, 2024",32.87,32.93,32.04,32.10,32.10,-2.16%,"3,824,495"
"Oct 24, 2024",32.80,32.97,32.58,32.81,32.81,-0.09%,"3,281,031"
"Oct 23, 2024",32.79,33.03,32.73,32.84,32.84,0.21%,"3,439,395"
"Oct 22, 2024",32.62,33.05,32.57,32.77,32.77,0.55%,"4,203,246"
"Oct 21, 2024",33.10,33.24,32.59,32.59,32.59,-1.81%,"3,822,511"
"Oct 18, 2024",33.16,33.19,32.97,33.19,33.19,0.42%,"3,576,603"
"Oct 17, 2024",33.14,33.24,32.93,33.05,33.05,-0.30%,"3,045,382"
"Oct 16, 2024",32.92,33.24,32.81,33.15,33.15,1.01%,"3,977,719"
"Oct 15, 2024",32.90,33.21,32.75,32.82,32.82,0.12%,"5,124,944"
"Oct 14, 2024",32.52,32.89,32.40,32.78,32.78,0.71%,"2,654,025"
"Oct 11, 2024",32.25,32.56,32.22,32.55,32.55,1.18%,"3,381,941"
"Oct 10, 2024",32.25,32.31,31.98,32.17,32.17,-0.22%,"2,941,250"
"Oct 9, 2024",32.33,32.42,32.15,32.24,32.24,-0.25%,"4,125,271"
"Oct 8, 2024",32.52,32.59,32.25,32.32,32.32,-0.31%,"2,581,577"
"Oct 7, 2024",32.30,32.47,32.16,32.42,32.42,-,"2,483,600"
"Oct 4, 2024",32.34,32.49,32.13,32.42,32.42,-0.46%,"3,421,743"
"Oct 3, 2024",32.72,32.73,32.40,32.57,32.57,-0.61%,"2,352,478"
"Oct 2, 2024",32.55,32.93,32.48,32.77,32.77,-,"3,511,766"
"Oct 1, 2024",33.40,33.45,32.76,32.77,32.77,-1.62%,"5,449,220"
"Sep 30, 2024",33.09,33.36,32.83,33.31,33.31,0.57%,"7,616,573"
"Sep 27, 2024",33.14,33.36,32.93,33.12,33.12,0.70%,"3,886,209"
"Sep 26, 2024",33.06,33.14,32.76,32.89,32.89,-0.45%,"2,803,574"
"Sep 25, 2024",33.18,33.23,32.91,33.04,33.04,-0.24%,"3,117,983"
"Sep 24, 2024",33.18,33.48,33.02,33.12,33.12,-0.42%,"5,255,449"
"Sep 23, 2024",33.26,33.43,33.12,33.26,33.26,0.57%,"3,663,719"
"Sep 20, 2024",32.58,33.08,32.49,33.07,33.07,0.79%,"11,124,335"
"Sep 19, 2024",33.23,33.28,32.61,32.81,32.81,-0.76%,"4,973,728"
"Sep 18, 2024",33.30,33.65,33.02,33.06,33.06,-1.93%,"6,176,542"
"Sep 17, 2024",34.10,34.17,33.59,33.71,33.28,-0.97%,"5,655,980"
"Sep 16, 2024",34.14,34.29,33.95,34.04,33.60,0.24%,"8,744,028"
"Sep 13, 2024",33.76,34.00,33.65,33.96,33.52,1.16%,"3,787,021"
"Sep 12, 2024",33.85,33.99,33.42,33.57,33.14,-0.83%,"7,102,885"
"Sep 11, 2024",33.71,33.88,33.18,33.85,33.41,-0.62%,"6,807,259"
"Sep 10, 2024",33.98,34.17,33.78,34.06,33.62,0.59%,"4,454,956"
"Sep 9, 2024",33.53,33.98,33.52,33.86,33.42,1.17%,"4,823,528"
"Sep 6, 2024",33.71,33.86,33.28,33.47,33.04,-0.36%,"5,246,890"
"Sep 5, 2024",33.87,34.02,33.36,33.59,33.16,-0.09%,"4,597,901"
