date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",292.12,293.19,289.92,291.49,291.49,0.26%,"709,292"
"Nov 22, 2024",287.70,291.39,286.89,290.73,290.73,1.10%,"649,777"
"Nov 21, 2024",285.93,287.78,283.30,287.56,287.56,1.18%,"518,119"
"Nov 20, 2024",281.64,284.85,279.24,284.20,284.20,0.91%,"507,722"
"Nov 19, 2024",280.36,283.51,279.24,281.64,281.64,0.46%,"1,028,533"
"Nov 18, 2024",280.71,282.48,279.63,280.36,280.36,-0.16%,"799,968"
"Nov 15, 2024",286.49,286.49,280.14,280.80,280.80,-1.86%,"522,708"
"Nov 14, 2024",289.46,290.41,285.36,286.13,286.13,-1.35%,"439,197"
"Nov 13, 2024",288.10,291.42,286.67,290.04,290.04,0.74%,"514,026"
"Nov 12, 2024",286.42,289.40,284.82,287.92,287.92,1.02%,"925,713"
"Nov 11, 2024",285.30,288.39,284.79,285.01,285.01,0.01%,"692,900"
"Nov 8, 2024",282.33,287.21,281.41,284.98,284.98,1.66%,"556,951"
"Nov 7, 2024",278.88,281.30,276.96,280.34,280.34,0.43%,"410,568"
"Nov 6, 2024",283.56,283.56,276.44,279.13,279.13,-0.20%,"841,451"
"Nov 5, 2024",277.26,281.19,276.25,279.68,279.68,0.89%,"384,579"
"Nov 4, 2024",275.89,278.46,273.28,277.22,277.22,0.63%,"475,118"
"Nov 1, 2024",273.39,276.09,271.02,275.48,275.48,0.28%,"1,047,078"
"Oct 31, 2024",275.63,278.53,273.43,274.72,274.72,-0.33%,"1,204,778"
"Oct 30, 2024",280.00,280.00,269.96,275.63,275.63,4.54%,"993,911"
"Oct 29, 2024",262.64,265.72,261.13,263.65,263.65,0.30%,"909,634"
"Oct 28, 2024",266.25,268.12,261.70,262.86,262.86,-0.68%,"645,732"
"Oct 25, 2024",266.92,268.79,264.36,264.65,264.65,-0.12%,"532,425"
"Oct 24, 2024",266.59,268.02,264.77,264.97,264.97,-0.61%,"321,365"
"Oct 23, 2024",265.74,267.57,265.74,266.59,266.59,-0.37%,"487,884"
"Oct 22, 2024",266.77,268.26,265.16,267.59,267.59,-0.19%,"378,841"
"Oct 21, 2024",267.60,269.86,266.71,268.09,268.09,0.18%,"432,748"
"Oct 18, 2024",267.29,268.99,266.36,267.62,267.62,0.13%,"439,244"
"Oct 17, 2024",270.79,271.85,266.60,267.27,267.27,-1.23%,"486,548"
"Oct 16, 2024",269.57,271.33,268.14,270.60,270.60,0.38%,"597,622"
"Oct 15, 2024",271.33,273.41,268.91,269.57,269.57,0.13%,"500,668"
"Oct 14, 2024",268.28,269.64,267.02,269.23,269.23,0.37%,"601,763"
"Oct 11, 2024",270.08,270.08,266.97,268.23,268.23,-0.02%,"484,825"
"Oct 10, 2024",275.91,275.96,266.44,268.28,268.28,-3.17%,"666,440"
"Oct 9, 2024",272.22,277.27,271.53,277.06,277.06,1.78%,"609,644"
"Oct 8, 2024",267.27,272.62,267.27,272.22,272.22,2.36%,"563,016"
"Oct 7, 2024",265.58,267.73,264.48,265.94,265.94,0.10%,"567,139"
"Oct 4, 2024",270.02,270.47,263.97,265.67,265.67,-1.85%,"761,911"
"Oct 3, 2024",267.02,271.60,265.83,270.67,270.67,1.01%,"1,363,585"
"Oct 2, 2024",266.63,268.19,264.88,267.96,267.96,-0.25%,"557,513"
"Oct 1, 2024",269.29,270.09,267.36,268.62,268.62,0.25%,"898,260"
"Sep 30, 2024",264.25,268.45,262.82,267.96,267.96,1.40%,"794,823"
"Sep 27, 2024",266.06,266.49,264.09,264.25,264.25,-0.28%,"751,965"
"Sep 26, 2024",265.00,266.24,263.62,264.99,264.99,-0.06%,"484,851"
"Sep 25, 2024",264.99,266.17,264.68,265.16,265.16,0.14%,"497,953"
"Sep 24, 2024",264.74,265.27,261.75,264.79,264.79,-0.18%,"619,037"
"Sep 23, 2024",265.90,266.57,263.83,265.27,265.27,0.16%,"506,686"
"Sep 20, 2024",265.09,265.98,263.42,264.85,264.85,-0.42%,"1,639,884"
"Sep 19, 2024",267.65,267.65,265.04,265.96,265.96,0.45%,"692,607"
"Sep 18, 2024",266.36,266.50,263.49,264.76,264.76,-0.85%,"807,237"
"Sep 17, 2024",269.18,269.21,266.31,267.02,267.02,-0.88%,"564,070"
"Sep 16, 2024",270.87,272.52,268.54,269.40,269.40,0.23%,"873,459"
"Sep 13, 2024",269.37,270.65,266.31,268.79,268.79,-0.22%,"1,023,297"
"Sep 12, 2024",271.63,271.71,267.25,269.37,268.98,-0.83%,"793,541"
"Sep 11, 2024",271.69,271.93,264.82,271.63,271.24,-0.72%,"925,013"
"Sep 10, 2024",274.03,275.61,271.71,273.60,273.20,0.13%,"666,571"
